date,price
1997-12-31,24402.0
1998-01-02,24914.0
1998-01-05,25734.0
1998-01-06,25734.0
1998-01-07,25961.0
1998-01-08,25675.0
1998-01-09,25773.0
1998-01-12,25731.0
1998-01-13,26066.0
1998-01-14,26219.0
1998-01-15,26300.0
1998-01-16,26683.0
1998-01-19,26381.0
1998-01-20,26803.0
1998-01-21,26483.0
1998-01-22,26703.0
1998-01-23,26368.0
1998-01-26,26500.0
1998-01-27,26754.0
1998-01-28,26966.0
1998-01-29,27191.0
1998-01-30,27549.0
1998-02-02,27737.0
1998-02-03,27525.0
1998-02-04,27920.0
1998-02-05,28206.0
1998-02-06,28389.0
1998-02-09,28267.0
1998-02-10,28708.0
1998-02-11,28923.0
1998-02-12,28464.0
1998-02-13,28477.0
1998-02-16,28613.0
1998-02-17,28945.0
1998-02-18,28701.0
1998-02-19,28247.0
1998-02-20,27847.0
1998-02-23,27759.0
1998-02-24,27774.0
1998-02-25,28564.0
1998-02-26,28591.0
1998-02-27,28543.0
1998-03-02,29299.0
1998-03-03,29431.0
1998-03-04,29262.0
1998-03-05,29414.0
1998-03-06,29846.0
1998-03-09,30282.0
1998-03-10,30426.0
1998-03-11,30424.0
1998-03-12,30285.0
1998-03-13,30739.0
1998-03-16,31283.0
1998-03-17,31378.0
1998-03-18,31510.0
1998-03-19,31602.0
1998-03-20,32205.0
1998-03-23,32554.0
1998-03-24,33625.0
1998-03-25,34006.0
1998-03-26,34118.0
1998-03-27,33782.0
1998-03-30,34213.0
1998-03-31,34545.0
1998-04-01,35582.0
1998-04-02,36261.0
1998-04-03,36073.0
1998-04-06,37437.0
1998-04-07,36407.0
1998-04-08,35104.0
1998-04-09,34516.0
1998-04-10,34960.0
1998-04-13,34960.0
1998-04-14,35697.0
1998-04-15,36483.0
1998-04-16,35690.0
1998-04-17,35829.0
1998-04-20,35729.0
1998-04-21,35948.0
1998-04-22,35812.0
1998-04-23,34504.0
1998-04-24,33181.0
1998-04-27,31136.0
1998-04-28,32632.0
1998-04-29,31463.0
1998-04-30,32764.0
1998-05-01,32764.0
1998-05-04,34218.0
1998-05-05,33840.0
1998-05-06,33825.0
1998-05-07,33496.0
1998-05-08,34296.0
1998-05-11,35260.0
1998-05-12,34760.0
1998-05-13,34335.0
1998-05-14,34167.0
1998-05-15,34145.0
1998-05-18,32984.0
1998-05-19,34099.0
1998-05-20,34011.0
1998-05-21,34592.0
1998-05-22,34838.0
1998-05-25,35651.0
1998-05-26,35839.0
1998-05-27,34665.0
1998-05-28,34487.0
1998-05-29,34396.0
1998-06-01,33852.0
1998-06-02,34372.0
1998-06-03,34675.0
1998-06-04,34567.0
1998-06-05,35046.0
1998-06-08,35451.0
1998-06-09,35026.0
1998-06-10,35185.0
1998-06-11,34355.0
1998-06-12,33450.0
1998-06-15,33067.0
1998-06-16,33333.0
1998-06-17,34294.0
1998-06-18,33740.0
1998-06-19,33106.0
1998-06-22,32596.0
1998-06-23,32984.0
1998-06-24,32676.0
1998-06-25,33535.0
1998-06-26,33096.0
1998-06-29,33613.0
1998-06-30,33354.0
1998-07-01,34331.0
1998-07-02,34611.0
1998-07-03,35006.0
1998-07-06,35626.0
1998-07-07,36002.0
1998-07-08,36451.0
1998-07-09,36397.0
1998-07-10,36368.0
1998-07-13,36641.0
1998-07-14,37293.0
1998-07-15,37405.0
1998-07-16,37486.0
1998-07-17,38281.0
1998-07-20,38767.0
1998-07-21,38508.0
1998-07-22,38069.0
1998-07-23,38010.0
1998-07-24,37632.0
1998-07-27,37112.0
1998-07-28,37122.0
1998-07-29,36514.0
1998-07-30,36966.0
1998-07-31,36636.0
1998-08-03,36185.0
1998-08-04,36102.0
1998-08-05,35387.0
1998-08-06,35231.0
1998-08-07,35678.0
1998-08-10,35080.0
1998-08-11,34101.0
1998-08-12,34601.0
1998-08-13,34597.0
1998-08-14,35292.0
1998-08-17,35670.0
1998-08-18,36544.0
1998-08-19,36107.0
1998-08-20,35853.0
1998-08-21,34379.0
1998-08-24,34484.0
1998-08-25,35441.0
1998-08-26,34565.0
1998-08-27,32984.0
1998-08-28,32093.0
1998-08-31,31534.0
1998-09-01,30612.0
1998-09-02,31405.0
1998-09-03,30395.0
1998-09-04,30207.0
1998-09-07,31041.0
1998-09-08,31834.0
1998-09-09,30802.0
1998-09-10,29128.0
1998-09-11,28345.0
1998-09-14,29748.0
1998-09-15,29555.0
1998-09-16,30138.0
