date,price
1996-10-08,590.0
1996-10-09,583.0
1996-10-10,585.0
1996-10-11,584.0
1996-10-14,584.0
1996-10-15,579.0
1996-10-16,561.0
1996-10-17,570.0
1996-10-18,570.0
1996-10-21,557.0
1996-10-22,557.0
1996-10-23,561.0
1996-10-24,561.0
1996-10-25,560.0
1996-10-28,562.0
1996-10-29,570.0
1996-10-30,570.0
1996-10-31,571.0
1996-11-01,574.0
1996-11-04,582.0
1996-11-05,584.0
1996-11-06,580.0
1996-11-07,583.0
1996-11-08,579.0
1996-11-11,588.0
1996-11-12,593.0
1996-11-13,597.0
1996-11-14,605.0
1996-11-15,603.0
1996-11-18,609.0
1996-11-19,607.0
1996-11-20,603.0
1996-11-21,603.0
1996-11-22,607.0
1996-11-25,607.0
1996-11-26,611.0
1996-11-27,604.0
1996-11-28,604.0
1996-11-29,617.0
1996-12-02,629.0
1996-12-03,636.0
1996-12-04,629.0
1996-12-05,637.0
1996-12-06,627.0
1996-12-09,627.0
1996-12-10,632.0
1996-12-11,609.0
1996-12-12,593.0
1996-12-13,600.0
1996-12-16,600.0
1996-12-17,613.0
1996-12-18,618.0
1996-12-19,626.0
1996-12-20,628.0
1996-12-23,638.0
1996-12-24,642.0
1996-12-26,650.0
1996-12-27,650.0
1996-12-30,649.0
1997-01-03,652.0
1997-01-06,657.0
1997-01-07,664.0
1997-01-08,665.0
1997-01-09,672.0
1997-01-10,671.0
1997-01-13,674.0
1997-01-14,688.0
1997-01-15,692.0
1997-01-16,686.0
1997-01-17,681.0
1997-01-20,687.0
1997-01-21,687.0
1997-01-22,680.0
1997-01-23,677.0
1997-01-24,662.0
1997-01-27,657.0
1997-01-28,666.0
1997-01-29,677.0
1997-01-30,689.0
1997-01-31,693.0
1997-02-03,706.0
1997-02-04,708.0
1997-02-05,699.0
1997-02-06,698.0
1997-02-07,703.0
1997-02-10,707.0
1997-02-11,708.0
1997-02-12,718.0
1997-02-13,725.0
1997-02-14,726.0
1997-02-17,734.0
1997-02-18,732.0
1997-02-19,730.0
1997-02-20,727.0
1997-02-21,741.0
1997-02-24,759.0
1997-02-25,753.0
1997-02-26,742.0
1997-02-27,724.0
1997-02-28,718.0
1997-03-03,717.0
1997-03-04,721.0
1997-03-05,721.0
1997-03-06,720.0
1997-03-07,730.0
1997-03-10,742.0
1997-03-11,727.0
1997-03-12,718.0
1997-03-13,709.0
1997-03-14,712.0
1997-03-17,703.0
1997-03-18,707.0
1997-03-19,709.0
1997-03-20,724.0
1997-03-21,730.0
1997-03-24,742.0
1997-03-25,745.0
1997-03-26,739.0
1997-03-31,706.0
1997-04-01,715.0
1997-04-02,729.0
1997-04-03,718.0
1997-04-04,722.0
1997-04-07,722.0
1997-04-08,717.0
1997-04-09,713.0
1997-04-10,706.0
1997-04-11,686.0
1997-04-14,690.0
1997-04-15,707.0
1997-04-16,716.0
1997-04-17,709.0
1997-04-18,704.0
1997-04-21,698.0
1997-04-22,715.0
1997-04-23,722.0
1997-04-24,710.0
1997-04-25,716.0
1997-04-28,717.0
1997-04-29,729.0
1997-04-30,723.0
1997-05-02,732.0
1997-05-05,738.0
1997-05-06,734.0
1997-05-07,725.0
1997-05-08,727.0
1997-05-09,724.0
1997-05-12,727.0
1997-05-13,729.0
1997-05-14,735.0
1997-05-15,743.0
1997-05-16,743.0
1997-05-19,745.0
1997-05-20,754.0
1997-05-21,765.0
1997-05-22,765.0
1997-05-23,768.0
1997-05-26,769.0
1997-05-27,765.0
1997-05-28,760.0
1997-05-29,767.0
1997-05-30,778.0
1997-06-02,792.0
1997-06-03,789.0
1997-06-04,790.0
1997-06-05,789.0
1997-06-06,803.0
1997-06-10,806.0
1997-06-11,804.0
1997-06-12,815.0
1997-06-13,813.0
1997-06-17,801.0
1997-06-18,817.0
1997-06-19,826.0
1997-06-20,823.0
1997-06-23,814.0
1997-06-24,825.0
1997-06-25,820.0
1997-06-26,812.0
1997-06-27,810.0
1997-06-30,809.0
1997-07-01,818.0
1997-07-02,824.0
1997-07-03,831.0
1997-07-04,838.0
1997-07-07,842.0
1997-07-08,846.0
1997-07-10,846.0
1997-07-11,851.0
1997-07-14,836.0
1997-07-15,808.0
1997-07-16,826.0
1997-07-17,815.0
1997-07-18,802.0
1997-07-21,791.0
1997-07-22,814.0
1997-07-23,822.0
1997-07-24,836.0
1997-07-25,841.0
1997-07-28,852.0
1997-07-29,849.0
1997-07-30,847.0
1997-07-31,850.0
1997-08-01,841.0
1997-08-04,833.0
1997-08-05,839.0
1997-08-06,857.0
1997-08-07,850.0
1997-08-08,851.0
1997-08-11,853.0
1997-08-12,841.0
1997-08-13,837.0
1997-08-14,841.0
1997-08-15,839.0
1997-08-19,850.0
1997-08-20,867.0
1997-08-21,862.0
1997-08-22,844.0
1997-08-25,847.0
1997-08-26,847.0
1997-08-27,862.0
1997-08-28,865.0
1997-08-29,833.0
1997-09-01,810.0
1997-09-02,827.0
1997-09-03,834.0
1997-09-04,832.0
1997-09-05,832.0
1997-09-08,832.0
1997-09-09,832.0
1997-09-10,808.0
1997-09-11,797.0
1997-09-12,816.0
1997-09-15,801.0
1997-09-16,821.0
1997-09-17,822.0
1997-09-18,821.0
1997-09-19,812.0
1997-09-22,808.0
1997-09-23,809.0
1997-09-24,817.0
1997-09-25,818.0
1997-09-26,826.0
1997-09-29,826.0
1997-09-30,823.0
1997-10-01,832.0
1997-10-02,835.0
1997-10-03,834.0
1997-10-06,838.0
1997-10-07,843.0
1997-10-08,831.0
1997-10-09,834.0
