date,anfci
1975-01-31,1.393
1975-02-28,0.619
1975-03-31,0.27
1975-04-30,-0.038
1975-05-31,-0.465
1975-06-30,-0.484
1975-07-31,-0.518
1975-08-31,-0.575
1975-09-30,-0.381
1975-10-31,-0.235
1975-11-30,-0.262
1975-12-31,-0.489
1976-01-31,-0.936
1976-02-29,-1.057
1976-03-31,-1.013
1976-04-30,-0.774
1976-05-31,-0.447
1976-06-30,-0.411
1976-07-31,-0.795
1976-08-31,-1.0
1976-09-30,-1.039
1976-10-31,-1.063
1976-11-30,-0.982
1976-12-31,-1.051
1977-01-31,-1.276
1977-02-28,-1.301
1977-03-31,-1.167
1977-04-30,-1.051
1977-05-31,-0.967
1977-06-30,-1.032
1977-07-31,-1.19
1977-08-31,-1.101
1977-09-30,-0.893
1977-10-31,-0.69
1977-11-30,-0.54
1977-12-31,-0.591
1978-01-31,-0.717
1978-02-28,-0.66
1978-03-31,-0.415
1978-04-30,-0.23
1978-05-31,-0.052
1978-06-30,0.037
1978-07-31,-0.044
1978-08-31,-0.287
1978-09-30,0.149
1978-10-31,1.274
1978-11-30,1.778
1978-12-31,1.148
1979-01-31,0.437
1979-02-28,-0.084
1979-03-31,-0.491
1979-04-30,-0.522
1979-05-31,-0.389
1979-06-30,0.004
1979-07-31,0.198
1979-08-31,0.703
1979-09-30,1.459
1979-10-31,2.0
1979-11-30,1.741
1979-12-31,1.285
1980-01-31,1.028
1980-02-29,1.81
1980-03-31,3.262
1980-04-30,3.603
1980-05-31,2.323
1980-06-30,1.334
1980-07-31,0.538
1980-08-31,0.702
1980-09-30,0.965
1980-10-31,1.155
1980-11-30,2.013
1980-12-31,2.609
1981-01-31,1.555
1981-02-28,0.852
1981-03-31,0.606
1981-04-30,0.981
1981-05-31,1.751
1981-06-30,2.749
1981-07-31,3.255
1981-08-31,2.937
1981-09-30,2.83
1981-10-31,2.701
1981-11-30,2.352
1981-12-31,2.233
1982-01-31,2.003
1982-02-28,2.224
1982-03-31,2.189
1982-04-30,2.345
1982-05-31,2.938
1982-06-30,3.577
1982-07-31,3.264
1982-08-31,3.748
1982-09-30,4.44
1982-10-31,2.479
1982-11-30,1.447
1982-12-31,1.219
1983-01-31,0.734
1983-02-28,0.482
1983-03-31,0.404
1983-04-30,0.174
1983-05-31,-0.116
1983-06-30,-0.203
1983-07-31,-0.133
1983-08-31,-0.201
1983-09-30,-0.34
1983-10-31,-0.309
1983-11-30,-0.19
1983-12-31,-0.064
1984-01-31,-0.342
1984-02-29,-0.513
1984-03-31,-0.327
1984-04-30,0.096
1984-05-31,0.716
1984-06-30,1.229
