date,bci
1974-06-30,100.7281
1974-07-31,100.2436
1974-08-31,99.59381
1974-09-30,98.758
1974-10-31,97.92079
1974-11-30,97.14102
1974-12-31,96.54681
1975-01-31,96.30905
1975-02-28,96.3252
1975-03-31,96.43883
1975-04-30,96.76512
1975-05-31,97.18275
1975-06-30,97.62244
1975-07-31,98.07083
1975-08-31,98.54567
1975-09-30,98.96372
1975-10-31,99.28145
1975-11-30,99.5257
1975-12-31,99.8282
1976-01-31,100.1354
1976-02-29,100.3913
1976-03-31,100.5416
1976-04-30,100.673
1976-05-31,100.6983
1976-06-30,100.6451
1976-07-31,100.507
1976-08-31,100.3302
1976-09-30,100.1593
1976-10-31,100.0277
1976-11-30,99.94734
1976-12-31,99.9675
1977-01-31,99.94285
1977-02-28,99.93579
1977-03-31,99.99791
1977-04-30,99.90281
1977-05-31,99.80191
1977-06-30,99.64813
1977-07-31,99.51749
1977-08-31,99.38734
1977-09-30,99.32832
1977-10-31,99.37423
1977-11-30,99.48032
1977-12-31,99.58247
1978-01-31,99.57504
1978-02-28,99.57603
1978-03-31,99.66888
1978-04-30,99.89359
1978-05-31,100.1653
1978-06-30,100.4128
1978-07-31,100.619
1978-08-31,100.7437
1978-09-30,100.835
1978-10-31,100.9075
1978-11-30,100.9426
1978-12-31,100.9002
1979-01-31,100.8751
1979-02-28,100.8973
1979-03-31,100.9608
1979-04-30,100.9975
1979-05-31,100.9554
1979-06-30,100.8174
1979-07-31,100.6162
1979-08-31,100.4302
1979-09-30,100.3009
1979-10-31,100.1672
1979-11-30,100.009
1979-12-31,99.87659
1980-01-31,99.80797
1980-02-29,99.61004
1980-03-31,99.05497
1980-04-30,98.30827
1980-05-31,97.65714
1980-06-30,97.43887
1980-07-31,97.64119
1980-08-31,98.11715
1980-09-30,98.56292
1980-10-31,98.86285
1980-11-30,98.9196
1980-12-31,98.74317
1981-01-31,98.52938
1981-02-28,98.42233
1981-03-31,98.44263
1981-04-30,98.55501
1981-05-31,98.64748
1981-06-30,98.61591
1981-07-31,98.51642
1981-08-31,98.4015
1981-09-30,98.18118
1981-10-31,97.9501
1981-11-30,97.77487
1981-12-31,97.71746
1982-01-31,97.71256
1982-02-28,97.70853
1982-03-31,97.67821
1982-04-30,97.60225
1982-05-31,97.48532
1982-06-30,97.40363
1982-07-31,97.30544
1982-08-31,97.21545
1982-09-30,97.20436
1982-10-31,97.26776
1982-11-30,97.4427
1982-12-31,97.79939
1983-01-31,98.26263
1983-02-28,98.73325
1983-03-31,99.01825
1983-04-30,99.19721
1983-05-31,99.39695
1983-06-30,99.65873
1983-07-31,99.95534
1983-08-31,100.1818
1983-09-30,100.3751
1983-10-31,100.582
1983-11-30,100.7812
1983-12-31,100.8579
1984-01-31,100.7143
1984-02-29,100.6221
1984-03-31,100.5715
1984-04-30,100.5577
1984-05-31,100.521
1984-06-30,100.465
1984-07-31,100.3334
1984-08-31,100.1312
1984-09-30,99.94907
1984-10-31,99.85944
1984-11-30,99.81838
1984-12-31,99.81525
1985-01-31,99.79241
