date,gap
1988-12-31,-6.4
1989-01-31,-3.4000000000000004
1989-02-28,-0.40000000000000036
1989-03-31,2.6
1989-04-30,2.3666666666666667
1989-05-31,2.1333333333333333
1989-06-30,1.9
1989-07-31,3.0666666666666664
1989-08-31,4.233333333333333
1989-09-30,5.4
1989-10-31,5.8
1989-11-30,6.2
1989-12-31,6.6
1990-01-31,5.933333333333333
1990-02-28,5.266666666666667
1990-03-31,4.6
1990-04-30,5.233333333333333
1990-05-31,5.866666666666666
1990-06-30,6.5
1990-07-31,6.2
1990-08-31,5.8999999999999995
1990-09-30,5.6
1990-10-31,7.2
1990-11-30,8.8
1990-12-31,10.4
1991-01-31,8.666666666666668
1991-02-28,6.933333333333334
1991-03-31,5.2
1991-04-30,1.4666666666666672
1991-05-31,-2.2666666666666657
1991-06-30,-6.0
1991-07-31,-6.2
1991-08-31,-6.3999999999999995
1991-09-30,-6.6
1991-10-31,-6.966666666666667
1991-11-30,-7.333333333333333
1991-12-31,-7.7
1992-01-31,-8.566666666666666
1992-02-29,-9.433333333333334
1992-03-31,-10.3
1992-04-30,-10.066666666666666
1992-05-31,-9.833333333333334
1992-06-30,-9.6
1992-07-31,-10.166666666666666
1992-08-31,-10.733333333333334
1992-09-30,-11.3
1992-10-31,-12.866666666666667
1992-11-30,-14.433333333333334
1992-12-31,-16.0
1993-01-31,-14.6
1993-02-28,-13.200000000000001
1993-03-31,-11.8
1993-04-30,-12.333333333333334
1993-05-31,-12.866666666666667
1993-06-30,-13.4
1993-07-31,-12.833333333333334
1993-08-31,-12.266666666666666
1993-09-30,-11.7
1993-10-31,-12.066666666666666
1993-11-30,-12.433333333333334
1993-12-31,-12.8
1994-01-31,-12.133333333333335
1994-02-28,-11.466666666666667
1994-03-31,-10.8
1994-04-30,-10.3
1994-05-31,-9.8
1994-06-30,-9.3
1994-07-31,-9.566666666666666
1994-08-31,-9.833333333333334
1994-09-30,-10.1
1994-10-31,-10.7
1994-11-30,-11.3
1994-12-31,-11.9
1995-01-31,-11.1
1995-02-28,-10.3
1995-03-31,-9.5
1995-04-30,-7.966666666666667
1995-05-31,-6.433333333333334
1995-06-30,-4.9
1995-07-31,-4.866666666666667
1995-08-31,-4.833333333333333
1995-09-30,-4.8
1995-10-31,-3.8
1995-11-30,-2.8
1995-12-31,-1.8
1996-01-31,-1.4333333333333333
1996-02-29,-1.0666666666666667
1996-03-31,-0.7
1996-04-30,0.5666666666666667
1996-05-31,1.8333333333333333
1996-06-30,3.1
1996-07-31,2.9333333333333336
1996-08-31,2.7666666666666666
1996-09-30,2.6
1996-10-31,2.6666666666666665
1996-11-30,2.7333333333333334
1996-12-31,2.8
1997-01-31,4.233333333333333
1997-02-28,5.666666666666666
1997-03-31,7.1
1997-04-30,8.6
1997-05-31,10.1
1997-06-30,11.6
1997-07-31,12.6
1997-08-31,13.6
1997-09-30,14.6
1997-10-31,12.233333333333333
1997-11-30,9.866666666666667
1997-12-31,7.5
1998-01-31,6.5
1998-02-28,5.5
1998-03-31,4.5
1998-04-30,4.5
1998-05-31,4.5
1998-06-30,4.5
1998-07-31,4.8
1998-08-31,5.1000000000000005
1998-09-30,5.4
1998-10-31,4.5
1998-11-30,3.6000000000000005
1998-12-31,2.7
1999-01-31,1.8666666666666667
1999-02-28,1.0333333333333334
1999-03-31,0.2
1999-04-30,-0.9000000000000001
1999-05-31,-2.0
1999-06-30,-3.1
1999-07-31,-3.6666666666666665
1999-08-31,-4.233333333333333
1999-09-30,-4.8
1999-10-31,-5.766666666666667
1999-11-30,-6.733333333333333
1999-12-31,-7.7
2000-01-31,-8.466666666666667
2000-02-29,-9.233333333333334
2000-03-31,-10.0
2000-04-30,-11.0
2000-05-31,-12.0
2000-06-30,-13.0
2000-07-31,-11.366666666666667
2000-08-31,-9.733333333333333
2000-09-30,-8.1
2000-10-31,-9.1
2000-11-30,-10.1
2000-12-31,-11.1
2001-01-31,-10.7
2001-02-28,-10.3
2001-03-31,-9.9
2001-04-30,-10.433333333333334
2001-05-31,-10.966666666666667
2001-06-30,-11.5
2001-07-31,-11.333333333333334
2001-08-31,-11.166666666666666
2001-09-30,-11.0
2001-10-31,-11.333333333333334
2001-11-30,-11.666666666666666
2001-12-31,-12.0
2002-01-31,-11.533333333333333
2002-02-28,-11.066666666666666
2002-03-31,-10.6
2002-04-30,-10.833333333333334
2002-05-31,-11.066666666666666
2002-06-30,-11.3
2002-07-31,-11.333333333333334
2002-08-31,-11.366666666666667
2002-09-30,-11.4
2002-10-31,-11.700000000000001
2002-11-30,-12.0
2002-12-31,-12.3
2003-01-31,-12.3
2003-02-28,-12.3
2003-03-31,-12.3
2003-04-30,-10.600000000000001
2003-05-31,-8.9
2003-06-30,-7.2
2003-07-31,-6.966666666666667
2003-08-31,-6.733333333333333
2003-09-30,-6.5
2003-10-31,-5.866666666666666
2003-11-30,-5.233333333333333
2003-12-31,-4.6
2004-01-31,-3.9666666666666663
2004-02-29,-3.333333333333333
2004-03-31,-2.7
2004-04-30,-4.033333333333333
2004-05-31,-5.366666666666667
2004-06-30,-6.7
2004-07-31,-6.766666666666667
2004-08-31,-6.833333333333334
2004-09-30,-6.9
2004-10-31,-5.966666666666667
2004-11-30,-5.033333333333333
2004-12-31,-4.1
2005-01-31,-3.5999999999999996
2005-02-28,-3.1
2005-03-31,-2.6
2005-04-30,-1.1333333333333333
2005-05-31,0.3333333333333335
2005-06-30,1.8
2005-07-31,0.5666666666666667
2005-08-31,-0.6666666666666667
2005-09-30,-1.9
2005-10-31,-1.7666666666666666
2005-11-30,-1.6333333333333333
2005-12-31,-1.5
2006-01-31,-1.9666666666666666
2006-02-28,-2.433333333333333
2006-03-31,-2.9
2006-04-30,-2.2
2006-05-31,-1.5000000000000002
2006-06-30,-0.8
2006-07-31,-0.9333333333333333
2006-08-31,-1.0666666666666667
2006-09-30,-1.2
2006-10-31,-0.9333333333333333
2006-11-30,-0.6666666666666666
2006-12-31,-0.4
2007-01-31,0.23333333333333328
2007-02-28,0.8666666666666666
2007-03-31,1.5
2007-04-30,4.333333333333334
2007-05-31,7.166666666666667
2007-06-30,10.0
2007-07-31,11.566666666666666
2007-08-31,13.133333333333333
2007-09-30,14.7
2007-10-31,12.2
2007-11-30,9.7
2007-12-31,7.2
2008-01-31,8.033333333333333
2008-02-29,8.866666666666667
2008-03-31,9.7
2008-04-30,11.066666666666666
2008-05-31,12.433333333333334
2008-06-30,13.8
2008-07-31,13.933333333333334
2008-08-31,14.066666666666666
2008-09-30,14.2
2008-10-31,11.833333333333332
2008-11-30,9.466666666666665
2008-12-31,7.1
2009-01-31,5.133333333333333
2009-02-28,3.1666666666666665
2009-03-31,1.2
2009-04-30,3.666666666666666
2009-05-31,6.133333333333333
2009-06-30,8.6
2009-07-31,9.299999999999999
2009-08-31,10.0
2009-09-30,10.7
2009-10-31,9.2
2009-11-30,7.699999999999999
2009-12-31,6.2
2010-01-31,7.7
2010-02-28,9.2
2010-03-31,10.7
2010-04-30,13.9
2010-05-31,17.1
2010-06-30,20.3
2010-07-31,23.8
2010-08-31,27.3
2010-09-30,30.8
