date,gap
1990-12-31,3.0
1991-01-31,3.033333333333333
1991-02-28,3.066666666666667
1991-03-31,3.1
1991-04-30,3.5333333333333337
1991-05-31,3.966666666666667
1991-06-30,4.4
1991-07-31,4.7
1991-08-31,5.0
1991-09-30,5.3
1991-10-31,6.333333333333333
1991-11-30,7.366666666666667
1991-12-31,8.4
1992-01-31,8.5
1992-02-29,8.6
1992-03-31,8.7
1992-04-30,9.066666666666666
1992-05-31,9.433333333333334
1992-06-30,9.8
1992-07-31,10.0
1992-08-31,10.200000000000001
1992-09-30,10.4
1992-10-31,10.700000000000001
1992-11-30,11.0
1992-12-31,11.3
1993-01-31,11.233333333333334
1993-02-28,11.166666666666666
1993-03-31,11.1
1993-04-30,11.333333333333334
1993-05-31,11.566666666666666
1993-06-30,11.8
1993-07-31,11.866666666666667
1993-08-31,11.933333333333334
1993-09-30,12.0
1993-10-31,12.133333333333333
1993-11-30,12.266666666666667
1993-12-31,12.4
1994-01-31,12.466666666666667
1994-02-28,12.533333333333333
1994-03-31,12.6
1994-04-30,12.666666666666666
1994-05-31,12.733333333333334
1994-06-30,12.8
1994-07-31,12.666666666666668
1994-08-31,12.533333333333333
1994-09-30,12.4
1994-10-31,12.366666666666667
1994-11-30,12.333333333333334
1994-12-31,12.3
1995-01-31,12.3
1995-02-28,12.3
1995-03-31,12.3
1995-04-30,12.033333333333333
1995-05-31,11.766666666666667
1995-06-30,11.5
1995-07-31,11.0
1995-08-31,10.5
1995-09-30,10.0
1995-10-31,9.3
1995-11-30,8.6
1995-12-31,7.9
1996-01-31,6.8
1996-02-29,5.699999999999999
1996-03-31,4.6
1996-04-30,3.733333333333333
1996-05-31,2.8666666666666663
1996-06-30,2.0
1996-07-31,1.2999999999999998
1996-08-31,0.5999999999999999
1996-09-30,-0.1
1996-10-31,-0.7
1996-11-30,-1.3
1996-12-31,-1.9
1997-01-31,-2.1
1997-02-28,-2.3
1997-03-31,-2.5
1997-04-30,-2.933333333333333
1997-05-31,-3.3666666666666667
1997-06-30,-3.8
1997-07-31,-4.533333333333333
1997-08-31,-5.266666666666667
1997-09-30,-6.0
1997-10-31,-6.466666666666667
1997-11-30,-6.933333333333334
1997-12-31,-7.4
1998-01-31,-7.433333333333334
1998-02-28,-7.466666666666667
1998-03-31,-7.5
1998-04-30,-7.5
1998-05-31,-7.5
1998-06-30,-7.5
1998-07-31,-7.5
1998-08-31,-7.5
1998-09-30,-7.5
1998-10-31,-8.033333333333333
1998-11-30,-8.566666666666666
1998-12-31,-9.1
1999-01-31,-9.299999999999999
1999-02-28,-9.5
1999-03-31,-9.7
1999-04-30,-9.766666666666666
1999-05-31,-9.833333333333334
1999-06-30,-9.9
1999-07-31,-10.433333333333334
1999-08-31,-10.966666666666667
1999-09-30,-11.5
1999-10-31,-11.566666666666666
1999-11-30,-11.633333333333333
1999-12-31,-11.7
2000-01-31,-11.7
2000-02-29,-11.7
2000-03-31,-11.7
2000-04-30,-11.4
2000-05-31,-11.1
2000-06-30,-10.8
2000-07-31,-10.9
2000-08-31,-11.0
2000-09-30,-11.1
2000-10-31,-11.1
2000-11-30,-11.1
2000-12-31,-11.1
2001-01-31,-11.033333333333333
2001-02-28,-10.966666666666667
2001-03-31,-10.9
2001-04-30,-11.033333333333333
2001-05-31,-11.166666666666668
2001-06-30,-11.3
2001-07-31,-11.033333333333333
2001-08-31,-10.766666666666667
2001-09-30,-10.5
2001-10-31,-10.3
2001-11-30,-10.1
2001-12-31,-9.9
2002-01-31,-9.866666666666667
2002-02-28,-9.833333333333334
2002-03-31,-9.8
2002-04-30,-9.333333333333334
2002-05-31,-8.866666666666667
2002-06-30,-8.4
2002-07-31,-8.166666666666668
2002-08-31,-7.933333333333334
2002-09-30,-7.7
2002-10-31,-7.466666666666667
2002-11-30,-7.233333333333333
2002-12-31,-7.0
2003-01-31,-6.9
2003-02-28,-6.8
2003-03-31,-6.7
2003-04-30,-6.6000000000000005
2003-05-31,-6.5
2003-06-30,-6.4
2003-07-31,-6.133333333333334
2003-08-31,-5.866666666666666
2003-09-30,-5.6
