date,gap
1980-12-31,7.7
1981-01-31,7.666666666666667
1981-02-28,7.633333333333333
1981-03-31,7.6
1981-04-30,8.233333333333333
1981-05-31,8.866666666666667
1981-06-30,9.5
1981-07-31,10.466666666666667
1981-08-31,11.433333333333334
1981-09-30,12.4
1981-10-31,12.266666666666667
1981-11-30,12.133333333333333
1981-12-31,12.0
1982-01-31,11.233333333333333
1982-02-28,10.466666666666667
1982-03-31,9.7
1982-04-30,8.799999999999999
1982-05-31,7.8999999999999995
1982-06-30,7.0
1982-07-31,7.866666666666666
1982-08-31,8.733333333333333
1982-09-30,9.6
1982-10-31,10.833333333333334
1982-11-30,12.066666666666666
1982-12-31,13.3
1983-01-31,12.733333333333334
1983-02-28,12.166666666666666
1983-03-31,11.6
1983-04-30,11.966666666666667
1983-05-31,12.333333333333332
1983-06-30,12.7
1983-07-31,11.933333333333334
1983-08-31,11.166666666666666
1983-09-30,10.4
1983-10-31,11.833333333333334
1983-11-30,13.266666666666666
1983-12-31,14.7
1984-01-31,13.799999999999999
1984-02-29,12.9
1984-03-31,12.0
1984-04-30,11.2
1984-05-31,10.4
1984-06-30,9.6
1984-07-31,8.8
1984-08-31,8.0
1984-09-30,7.2
1984-10-31,7.166666666666667
1984-11-30,7.133333333333333
1984-12-31,7.1
1985-01-31,6.033333333333333
1985-02-28,4.966666666666667
1985-03-31,3.9
1985-04-30,3.5666666666666664
1985-05-31,3.2333333333333334
1985-06-30,2.9
1985-07-31,2.2
1985-08-31,1.5000000000000002
1985-09-30,0.8
1985-10-31,-0.3999999999999999
1985-11-30,-1.5999999999999999
1985-12-31,-2.8
1986-01-31,-2.2666666666666666
1986-02-28,-1.7333333333333332
1986-03-31,-1.2
1986-04-30,-1.9333333333333333
1986-05-31,-2.666666666666667
1986-06-30,-3.4
1986-07-31,-4.0
1986-08-31,-4.6
1986-09-30,-5.2
1986-10-31,-7.133333333333334
1986-11-30,-9.066666666666666
1986-12-31,-11.0
1987-01-31,-12.433333333333334
1987-02-28,-13.866666666666667
1987-03-31,-15.3
1987-04-30,-15.133333333333335
1987-05-31,-14.966666666666667
1987-06-30,-14.8
1987-07-31,-14.9
1987-08-31,-15.0
1987-09-30,-15.1
1987-10-31,-16.633333333333333
1987-11-30,-18.166666666666664
1987-12-31,-19.7
1988-01-31,-20.9
1988-02-29,-22.1
1988-03-31,-23.3
1988-04-30,-22.166666666666668
1988-05-31,-21.03333333333333
1988-06-30,-19.9
1988-07-31,-21.433333333333334
1988-08-31,-22.966666666666665
1988-09-30,-24.5
1988-10-31,-24.233333333333334
1988-11-30,-23.966666666666665
1988-12-31,-23.7
1989-01-31,-23.633333333333333
1989-02-28,-23.566666666666666
1989-03-31,-23.5
1989-04-30,-22.7
1989-05-31,-21.900000000000002
1989-06-30,-21.1
1989-07-31,-19.133333333333333
1989-08-31,-17.166666666666668
1989-09-30,-15.2
1989-10-31,-14.266666666666666
1989-11-30,-13.333333333333334
1989-12-31,-12.4
1990-01-31,-13.733333333333333
1990-02-28,-15.066666666666666
1990-03-31,-16.4
1990-04-30,-15.766666666666666
1990-05-31,-15.133333333333333
1990-06-30,-14.5
1990-07-31,-15.200000000000001
1990-08-31,-15.9
1990-09-30,-16.6
1990-10-31,-16.400000000000002
1990-11-30,-16.2
1990-12-31,-16.0
1991-01-31,-14.5
1991-02-28,-13.0
1991-03-31,-11.5
1991-04-30,-12.833333333333334
1991-05-31,-14.166666666666666
1991-06-30,-15.5
1991-07-31,-15.266666666666667
1991-08-31,-15.033333333333333
1991-09-30,-14.8
1991-10-31,-14.6
1991-11-30,-14.4
1991-12-31,-14.2
1992-01-31,-14.733333333333333
1992-02-29,-15.266666666666667
1992-03-31,-15.8
1992-04-30,-14.433333333333334
1992-05-31,-13.066666666666666
1992-06-30,-11.7
1992-07-31,-11.766666666666666
1992-08-31,-11.833333333333334
1992-09-30,-11.9
1992-10-31,-12.033333333333333
1992-11-30,-12.166666666666668
1992-12-31,-12.3
1993-01-31,-12.333333333333334
1993-02-28,-12.366666666666667
1993-03-31,-12.4
1993-04-30,-11.966666666666667
1993-05-31,-11.533333333333333
1993-06-30,-11.1
1993-07-31,-11.4
1993-08-31,-11.7
1993-09-30,-12.0
1993-10-31,-11.833333333333334
1993-11-30,-11.666666666666666
1993-12-31,-11.5
1994-01-31,-11.7
1994-02-28,-11.9
1994-03-31,-12.1
1994-04-30,-11.866666666666667
1994-05-31,-11.633333333333333
1994-06-30,-11.4
1994-07-31,-10.766666666666667
