date,gap
2000-12-31,0.5
2001-01-31,0.4666666666666667
2001-02-28,0.43333333333333335
2001-03-31,0.4
2001-04-30,0.43333333333333335
2001-05-31,0.4666666666666667
2001-06-30,0.5
2001-07-31,1.3333333333333335
2001-08-31,2.166666666666667
2001-09-30,3.0
2001-10-31,3.6
2001-11-30,4.2
2001-12-31,4.8
2002-01-31,5.233333333333333
2002-02-28,5.666666666666666
2002-03-31,6.1
2002-04-30,6.733333333333333
2002-05-31,7.366666666666666
2002-06-30,8.0
2002-07-31,7.766666666666667
2002-08-31,7.533333333333333
2002-09-30,7.3
2002-10-31,6.066666666666666
2002-11-30,4.833333333333334
2002-12-31,3.6
2003-01-31,2.3666666666666667
2003-02-28,1.1333333333333333
2003-03-31,-0.1
2003-04-30,-1.4000000000000001
2003-05-31,-2.7
2003-06-30,-4.0
2003-07-31,-3.8333333333333335
2003-08-31,-3.6666666666666665
2003-09-30,-3.5
2003-10-31,-3.2333333333333334
2003-11-30,-2.966666666666667
2003-12-31,-2.7
2004-01-31,-2.566666666666667
2004-02-29,-2.433333333333333
2004-03-31,-2.3
2004-04-30,-2.5
2004-05-31,-2.6999999999999997
2004-06-30,-2.9
2004-07-31,-3.3
2004-08-31,-3.6999999999999997
2004-09-30,-4.1
2004-10-31,-4.566666666666666
2004-11-30,-5.033333333333333
2004-12-31,-5.5
2005-01-31,-5.633333333333334
2005-02-28,-5.766666666666667
2005-03-31,-5.9
2005-04-30,-4.966666666666667
2005-05-31,-4.033333333333333
2005-06-30,-3.1
2005-07-31,-2.6333333333333333
2005-08-31,-2.1666666666666665
2005-09-30,-1.7
2005-10-31,-2.1
2005-11-30,-2.5
2005-12-31,-2.9
2006-01-31,-3.1
2006-02-28,-3.3
2006-03-31,-3.5
2006-04-30,-4.166666666666667
2006-05-31,-4.833333333333333
2006-06-30,-5.5
2006-07-31,-5.833333333333333
2006-08-31,-6.166666666666667
2006-09-30,-6.5
2006-10-31,-5.8
2006-11-30,-5.1000000000000005
2006-12-31,-4.4
2007-01-31,-3.8666666666666667
2007-02-28,-3.333333333333333
2007-03-31,-2.8
2007-04-30,-1.633333333333333
2007-05-31,-0.46666666666666634
2007-06-30,0.7
