date,global_cci
1980-01-31,99.34095
1980-02-29,99.12093
1980-03-31,98.82182
1980-04-30,98.62769
1980-05-31,98.60776
1980-06-30,98.74187
1980-07-31,98.95405
1980-08-31,99.22122
1980-09-30,99.43127
1980-10-31,99.48634
1980-11-30,99.35814
1980-12-31,99.13089
1981-01-31,99.00896
1981-02-28,98.87897
1981-03-31,98.82332
1981-04-30,98.89198
1981-05-31,98.98402
1981-06-30,98.96656
1981-07-31,98.92127
1981-08-31,98.8643
1981-09-30,98.76559
1981-10-31,98.62894
1981-11-30,98.54125
1981-12-31,98.61375
1982-01-31,98.78574
1982-02-28,98.85405
1982-03-31,98.90746
1982-04-30,99.01356
1982-05-31,99.06254
1982-06-30,98.99979
1982-07-31,98.87241
1982-08-31,98.80267
1982-09-30,98.81287
1982-10-31,98.87259
1982-11-30,98.9241
1982-12-31,99.0004
1983-01-31,99.18839
1983-02-28,99.52805
1983-03-31,99.95944
1983-04-30,100.3083
1983-05-31,100.489
1983-06-30,100.5409
1983-07-31,100.5438
1983-08-31,100.5196
1983-09-30,100.4943
1983-10-31,100.5316
1983-11-30,100.6817
1983-12-31,100.8921
1984-01-31,101.0593
1984-02-29,101.0827
1984-03-31,101.0253
1984-04-30,100.9061
1984-05-31,100.8151
1984-06-30,100.7703
1984-07-31,100.8257
1984-08-31,100.9252
1984-09-30,100.9948
1984-10-31,100.9791
1984-11-30,100.9722
1984-12-31,100.9957
1985-01-31,101.0494
1985-02-28,101.0248
1985-03-31,100.9801
1985-04-30,100.9496
1985-05-31,100.9233
1985-06-30,100.9361
1985-07-31,100.9349
1985-08-31,100.9364
1985-09-30,100.9707
1985-10-31,101.0382
1985-11-30,101.1349
1985-12-31,101.2595
1986-01-31,101.3754
1986-02-28,101.431
1986-03-31,101.4444
1986-04-30,101.4413
1986-05-31,101.4302
1986-06-30,101.4344
1986-07-31,101.401
1986-08-31,101.3475
1986-09-30,101.3062
1986-10-31,101.2951
1986-11-30,101.2287
1986-12-31,101.161
1987-01-31,101.1494
1987-02-28,101.1846
1987-03-31,101.2376
1987-04-30,101.2946
1987-05-31,101.3263
1987-06-30,101.3761
1987-07-31,101.4409
1987-08-31,101.4719
1987-09-30,101.4353
1987-10-31,101.3225
1987-11-30,101.2202
1987-12-31,101.2691
1988-01-31,101.3943
1988-02-29,101.5036
1988-03-31,101.577
1988-04-30,101.6053
1988-05-31,101.6397
1988-06-30,101.6711
1988-07-31,101.7178
1988-08-31,101.8011
1988-09-30,101.8439
1988-10-31,101.8277
1988-11-30,101.7899
1988-12-31,101.7486
1989-01-31,101.7246
1989-02-28,101.6169
1989-03-31,101.4479
1989-04-30,101.2913
1989-05-31,101.2062
1989-06-30,101.2064
1989-07-31,101.28
1989-08-31,101.3785
1989-09-30,101.4885
1989-10-31,101.4875
1989-11-30,101.4388
1989-12-31,101.411
1990-01-31,101.3939
1990-02-28,101.3337
1990-03-31,101.2754
1990-04-30,101.2394
1990-05-31,101.1514
1990-06-30,101.0264
1990-07-31,100.8091
1990-08-31,100.4275
1990-09-30,100.0111
1990-10-31,99.73892
1990-11-30,99.67307
1990-12-31,99.71469
1991-01-31,99.8077
1991-02-28,100.0611
1991-03-31,100.4274
1991-04-30,100.5594
1991-05-31,100.5453
1991-06-30,100.499
1991-07-31,100.4383
1991-08-31,100.3932
1991-09-30,100.3333
1991-10-31,100.148
1991-11-30,99.89031
1991-12-31,99.70679
1992-01-31,99.65446
1992-02-29,99.74929
1992-03-31,99.91198
1992-04-30,100.0085
1992-05-31,100.0096
1992-06-30,99.90165
1992-07-31,99.70008
1992-08-31,99.478
1992-09-30,99.29044
1992-10-31,99.22993
1992-11-30,99.35826
1992-12-31,99.50846
1993-01-31,99.57876
1993-02-28,99.57907
1993-03-31,99.57162
1993-04-30,99.54383
1993-05-31,99.43184
1993-06-30,99.27731
1993-07-31,99.15273
1993-08-31,99.10366
1993-09-30,99.12408
1993-10-31,99.21885
1993-11-30,99.39526
1993-12-31,99.69999
1994-01-31,100.0173
1994-02-28,100.2339
1994-03-31,100.3752
1994-04-30,100.5199
1994-05-31,100.6663
1994-06-30,100.7896
1994-07-31,100.8835
1994-08-31,100.9865
1994-09-30,101.0583
1994-10-31,101.0812
1994-11-30,101.0652
1994-12-31,101.0411
1995-01-31,100.9974
1995-02-28,100.876
1995-03-31,100.7392
1995-04-30,100.6935
1995-05-31,100.7138
1995-06-30,100.8065
1995-07-31,100.8735
1995-08-31,100.854
1995-09-30,100.7259
1995-10-31,100.6143
1995-11-30,100.5424
1995-12-31,100.5243
1996-01-31,100.5322
1996-02-29,100.5704
1996-03-31,100.6454
1996-04-30,100.6681
1996-05-31,100.659
1996-06-30,100.6783
1996-07-31,100.7107
1996-08-31,100.7486
1996-09-30,100.7653
1996-10-31,100.7681
1996-11-30,100.7539
1996-12-31,100.7284
1997-01-31,100.7587
1997-02-28,100.8439
1997-03-31,100.9538
1997-04-30,101.0925
1997-05-31,101.2531
1997-06-30,101.4026
1997-07-31,101.5035
1997-08-31,101.5257
1997-09-30,101.5093
1997-10-31,101.4532
1997-11-30,101.4067
1997-12-31,101.3741
1998-01-31,101.4313
1998-02-28,101.5145
1998-03-31,101.5501
1998-04-30,101.5586
1998-05-31,101.5227
1998-06-30,101.4576
1998-07-31,101.4015
1998-08-31,101.3353
1998-09-30,101.2831
1998-10-31,101.2886
1998-11-30,101.3938
1998-12-31,101.506
1999-01-31,101.6554
1999-02-28,101.7519
1999-03-31,101.746
