date,cci
1975-01-01,99.96062
1975-02-01,100.6289
1975-03-01,101.0798
1975-04-01,101.0941
1975-05-01,100.8346
1975-06-01,100.4997
1975-07-01,100.2502
1975-08-01,100.1008
1975-09-01,100.0596
1975-10-01,100.1656
1975-11-01,100.42
1975-12-01,100.7909
1976-01-01,101.0691
1976-02-01,101.0519
1976-03-01,100.9294
1976-04-01,100.8581
1976-05-01,100.7519
1976-06-01,100.6849
1976-07-01,100.6658
1976-08-01,100.7046
1976-09-01,100.7212
1976-10-01,100.6169
1976-11-01,100.369
1976-12-01,100.2457
1977-01-01,100.1679
1977-02-01,100.0535
1977-03-01,100.0067
1977-04-01,100.0997
1977-05-01,100.1977
1977-06-01,100.1986
1977-07-01,100.1564
1977-08-01,100.2804
1977-09-01,100.4235
1977-10-01,100.6227
1977-11-01,100.9562
1977-12-01,101.3444
1978-01-01,101.6591
1978-02-01,101.7791
1978-03-01,101.6075
1978-04-01,101.2841
1978-05-01,100.9141
1978-06-01,100.4478
1978-07-01,99.94025
1978-08-01,99.57409
1978-09-01,99.72403
1978-10-01,100.1042
1978-11-01,100.3937
1978-12-01,100.6323
1979-01-01,100.8197
1979-02-01,100.8992
1979-03-01,100.791
1979-04-01,100.5352
1979-05-01,99.95616
1979-06-01,99.36197
1979-07-01,99.12593
1979-08-01,99.28366
1979-09-01,99.54757
1979-10-01,99.70306
1979-11-01,99.78789
1979-12-01,99.8258
1980-01-01,99.85255
1980-02-01,99.87801
1980-03-01,99.85937
1980-04-01,99.78647
1980-05-01,99.81131
1980-06-01,99.87769
1980-07-01,99.91798
1980-08-01,100.1192
1980-09-01,100.4394
1980-10-01,100.739
1980-11-01,100.9037
1980-12-01,101.0991
1981-01-01,101.273
1981-02-01,101.2933
1981-03-01,101.1056
1981-04-01,100.7135
1981-05-01,100.2554
1981-06-01,99.84228
1981-07-01,99.46228
1981-08-01,99.28262
1981-09-01,99.36496
1981-10-01,99.51263
1981-11-01,99.52068
1981-12-01,99.36062
1982-01-01,99.17234
1982-02-01,99.09184
1982-03-01,99.10703
1982-04-01,99.13827
1982-05-01,99.02318
1982-06-01,98.70699
1982-07-01,98.24684
1982-08-01,98.01719
1982-09-01,97.84031
1982-10-01,97.65917
1982-11-01,97.60352
1982-12-01,97.9494
1983-01-01,98.51002
1983-02-01,99.06544
1983-03-01,99.46681
1983-04-01,99.63496
1983-05-01,99.60212
1983-06-01,99.56551
1983-07-01,99.6985
1983-08-01,99.96563
1983-09-01,100.322
1983-10-01,100.7786
1983-11-01,101.3784
1983-12-01,101.9609
1984-01-01,102.3387
1984-02-01,102.3791
1984-03-01,102.2914
1984-04-01,102.1435
1984-05-01,101.9491
1984-06-01,101.8161
1984-07-01,101.8085
1984-08-01,101.8576
1984-09-01,101.8804
1984-10-01,101.8418
1984-11-01,101.7309
1984-12-01,101.6005
1985-01-01,101.4559
1985-02-01,101.1637
1985-03-01,100.7075
1985-04-01,100.1472
1985-05-01,99.85419
1985-06-01,99.85225
1985-07-01,100.111
1985-08-01,100.4368
1985-09-01,100.5466
1985-10-01,100.4069
1985-11-01,100.1235
1985-12-01,100.1928
1986-01-01,100.3441
1986-02-01,100.3574
1986-03-01,100.1328
1986-04-01,99.67811
1986-05-01,99.22193
1986-06-01,98.67158
1986-07-01,98.06907
1986-08-01,97.80915
1986-09-01,97.91219
1986-10-01,98.28406
1986-11-01,98.50236
1986-12-01,98.66329
1987-01-01,98.72018
1987-02-01,98.65498
1987-03-01,98.64288
1987-04-01,98.78524
1987-05-01,99.01078
1987-06-01,99.26569
1987-07-01,99.50963
1987-08-01,99.57169
1987-09-01,99.57123
1987-10-01,99.52335
1987-11-01,99.22867
1987-12-01,99.31831
1988-01-01,99.665
1988-02-01,99.95828
1988-03-01,100.2442
1988-04-01,100.4102
1988-05-01,100.4539
1988-06-01,100.5377
1988-07-01,100.7242
1988-08-01,100.8922
1988-09-01,100.9934
1988-10-01,100.8844
1988-11-01,100.6686
1988-12-01,100.473
1989-01-01,100.1098
1989-02-01,99.49396
1989-03-01,98.89503
1989-04-01,98.44545
1989-05-01,97.96363
1989-06-01,97.40366
1989-07-01,97.22627
1989-08-01,97.40759
1989-09-01,97.61657
