date,cci
1977-01-01,100.2671
1977-02-01,100.8086
1977-03-01,101.186
1977-04-01,101.2072
1977-05-01,100.9513
1977-06-01,100.409
1977-07-01,99.73875
1977-08-01,99.13177
1977-09-01,98.80492
1977-10-01,98.93058
1977-11-01,99.2863
1977-12-01,99.4677
1978-01-01,99.54863
1978-02-01,99.73035
1978-03-01,99.92209
1978-04-01,100.0672
1978-05-01,100.2901
1978-06-01,100.4124
1978-07-01,100.5765
1978-08-01,100.7849
1978-09-01,100.9053
1978-10-01,100.8006
1978-11-01,100.5476
1978-12-01,100.5412
1979-01-01,100.7317
1979-02-01,100.97
1979-03-01,101.1555
1979-04-01,100.998
1979-05-01,100.6786
1979-06-01,100.3301
1979-07-01,100.3561
1979-08-01,100.5948
1979-09-01,100.8007
1979-10-01,100.7442
1979-11-01,100.345
1979-12-01,99.89718
1980-01-01,99.62223
1980-02-01,99.60899
1980-03-01,99.74992
1980-04-01,99.75436
1980-05-01,99.5155
1980-06-01,99.10595
1980-07-01,98.84727
1980-08-01,98.70377
1980-09-01,98.54116
1980-10-01,98.27004
1980-11-01,98.00854
1980-12-01,97.84552
1981-01-01,97.59414
1981-02-01,97.12424
1981-03-01,96.78299
1981-04-01,97.01829
1981-05-01,97.36562
1981-06-01,97.56716
1981-07-01,97.56301
1981-08-01,97.45898
1981-09-01,97.36146
1981-10-01,97.31212
1981-11-01,97.21614
1981-12-01,97.23016
1982-01-01,97.35034
1982-02-01,97.56767
1982-03-01,97.91703
1982-04-01,98.09064
1982-05-01,98.10444
1982-06-01,97.95521
1982-07-01,97.77605
1982-08-01,97.64703
1982-09-01,97.60507
1982-10-01,97.60361
1982-11-01,97.55457
1982-12-01,97.66844
1983-01-01,98.16476
1983-02-01,99.15815
1983-03-01,100.3314
1983-04-01,100.7884
1983-05-01,100.2514
1983-06-01,99.281
1983-07-01,98.45872
1983-08-01,97.83378
1983-09-01,97.40677
1983-10-01,97.24665
1983-11-01,97.4099
1983-12-01,97.76204
1984-01-01,98.15291
1984-02-01,98.57252
1984-03-01,99.09872
1984-04-01,99.64693
1984-05-01,100.1211
1984-06-01,100.3736
1984-07-01,100.4076
1984-08-01,100.2949
1984-09-01,100.1411
1984-10-01,100.0291
1984-11-01,100.0042
1984-12-01,100.0158
1985-01-01,100.1127
1985-02-01,100.2615
1985-03-01,100.4189
1985-04-01,100.5528
1985-05-01,100.6538
1985-06-01,100.6013
1985-07-01,100.5705
1985-08-01,100.577
1985-09-01,100.5076
1985-10-01,100.2828
1985-11-01,99.92673
1985-12-01,99.79159
1986-01-01,99.89803
1986-02-01,100.2396
1986-03-01,100.6763
1986-04-01,100.9316
1986-05-01,100.833
1986-06-01,100.5645
1986-07-01,100.2577
1986-08-01,100.0902
1986-09-01,100.2546
1986-10-01,100.7871
1986-11-01,101.2338
1986-12-01,101.4722
1987-01-01,101.4347
1987-02-01,101.0386
1987-03-01,100.5626
1987-04-01,100.1966
1987-05-01,100.0093
1987-06-01,99.80664
1987-07-01,99.65775
1987-08-01,99.58949
1987-09-01,99.56621
1987-10-01,99.55791
1987-11-01,99.5636
1987-12-01,99.7888
1988-01-01,100.132
1988-02-01,100.4675
1988-03-01,100.8097
1988-04-01,101.1475
1988-05-01,101.4399
1988-06-01,101.787
1988-07-01,102.1371
1988-08-01,102.4474
1988-09-01,102.6726
1988-10-01,102.7937
1988-11-01,102.9306
1988-12-01,103.2216
1989-01-01,103.5167
1989-02-01,103.5952
1989-03-01,103.5471
1989-04-01,103.5256
1989-05-01,103.6262
1989-06-01,103.7381
1989-07-01,103.7831
1989-08-01,103.7724
1989-09-01,103.7617
1989-10-01,103.8619
1989-11-01,104.081
1989-12-01,104.3925
1990-01-01,104.6857
1990-02-01,104.6241
1990-03-01,104.3671
1990-04-01,104.1248
1990-05-01,104.0752
1990-06-01,104.0996
1990-07-01,104.0007
1990-08-01,103.6484
1990-09-01,103.2471
1990-10-01,103.0113
1990-11-01,103.0587
1990-12-01,103.3078
1991-01-01,103.5996
1991-02-01,103.6177
1991-03-01,103.4434
1991-04-01,103.1982
1991-05-01,103.0497
1991-06-01,102.9485
1991-07-01,102.7764
1991-08-01,102.4481
1991-09-01,102.0832
1991-10-01,101.8264
1991-11-01,101.7045
1991-12-01,101.714
1992-01-01,101.7736
1992-02-01,101.7147
1992-03-01,101.5606
1992-04-01,101.4162
1992-05-01,101.4523
1992-06-01,101.5423
1992-07-01,101.5652
1992-08-01,101.4841
1992-09-01,101.3239
1992-10-01,101.0828
1992-11-01,100.7231
1992-12-01,100.4128
1993-01-01,100.2076
1993-02-01,100.0227
1993-03-01,99.83831
1993-04-01,99.71488
1993-05-01,99.80836
1993-06-01,99.98569
1993-07-01,100.07
1993-08-01,100.0016
1993-09-01,99.92342
1993-10-01,100.0799
1993-11-01,100.5563
1993-12-01,101.2922
1994-01-01,102.112
1994-02-01,102.6672
1994-03-01,102.9705
1994-04-01,103.1791
1994-05-01,103.4612
1994-06-01,103.7867
1994-07-01,103.9844
1994-08-01,103.9239
1994-09-01,103.6566
1994-10-01,103.3071
1994-11-01,102.8325
1994-12-01,102.3717
1995-01-01,102.0433
1995-02-01,101.7288
1995-03-01,101.4008
1995-04-01,101.0996
1995-05-01,100.9219
1995-06-01,100.8145
1995-07-01,100.5823
1995-08-01,100.1657
1995-09-01,99.70271
1995-10-01,99.43832
1995-11-01,99.50985
1995-12-01,99.59697
1996-01-01,99.35799
1996-02-01,98.90147
1996-03-01,98.53423
1996-04-01,98.45598
1996-05-01,98.65253
1996-06-01,98.78788
1996-07-01,98.80326
1996-08-01,98.81573
1996-09-01,98.79806
1996-10-01,98.76935
1996-11-01,98.7281
1996-12-01,98.59632
1997-01-01,98.42995
1997-02-01,98.33069
1997-03-01,98.4091
1997-04-01,98.5453
1997-05-01,98.61536
1997-06-01,98.59202
1997-07-01,98.69478
1997-08-01,98.90532
1997-09-01,99.22028
1997-10-01,99.35606
1997-11-01,99.38199
1997-12-01,99.41515
1998-01-01,99.56068
1998-02-01,99.82777
1998-03-01,100.018
1998-04-01,100.0847
1998-05-01,100.0949
1998-06-01,100.0276
1998-07-01,99.98327
1998-08-01,99.99721
1998-09-01,100.0503
1998-10-01,100.1394
1998-11-01,100.1907
1998-12-01,100.1569
1999-01-01,100.1515
1999-02-01,100.1281
1999-03-01,100.1725
1999-04-01,100.3408
1999-05-01,100.4958
1999-06-01,100.5794
1999-07-01,100.762
1999-08-01,100.9864
1999-09-01,101.1072
1999-10-01,101.1235
1999-11-01,101.0238
1999-12-01,100.7871
2000-01-01,100.4485
2000-02-01,100.0823
2000-03-01,100.0383
2000-04-01,100.1405
2000-05-01,100.2725
2000-06-01,100.3094
2000-07-01,100.3072
2000-08-01,100.246
2000-09-01,100.0491
2000-10-01,99.96583
2000-11-01,100.1419
2000-12-01,100.0426
2001-01-01,99.91907
2001-02-01,99.9252
2001-03-01,100.0215
2001-04-01,100.0365
2001-05-01,100.0445
2001-06-01,99.9444
2001-07-01,99.72232
2001-08-01,99.51805
2001-09-01,99.40685
2001-10-01,99.45139
2001-11-01,99.62669
2001-12-01,99.80948
2002-01-01,99.95841
2002-02-01,100.0159
2002-03-01,100.0132
2002-04-01,99.9959
2002-05-01,99.90811
2002-06-01,99.7284
2002-07-01,99.50666
2002-08-01,99.39152
2002-09-01,99.49653
2002-10-01,99.60899
2002-11-01,99.67749
2002-12-01,99.59788
2003-01-01,99.33095
2003-02-01,99.04984
2003-03-01,98.74664
2003-04-01,98.54739
2003-05-01,98.42271
2003-06-01,98.47173
2003-07-01,98.64038
2003-08-01,98.84175
2003-09-01,99.10907
2003-10-01,99.2589
2003-11-01,99.28409
2003-12-01,99.28862
2004-01-01,99.2592
2004-02-01,99.28088
2004-03-01,99.36329
2004-04-01,99.33427
2004-05-01,99.21468
2004-06-01,99.11182
2004-07-01,99.06829
2004-08-01,99.0124
2004-09-01,98.98792
2004-10-01,98.95607
2004-11-01,98.97235
2004-12-01,99.13374
2005-01-01,99.3254
2005-02-01,99.43171
2005-03-01,99.50018
2005-04-01,99.43198
2005-05-01,99.28591
2005-06-01,99.16038
2005-07-01,98.95007
2005-08-01,98.77622
2005-09-01,98.68908
2005-10-01,98.87553
2005-11-01,99.18758
2005-12-01,99.61623
2006-01-01,99.96241
2006-02-01,100.0855
2006-03-01,100.15
2006-04-01,100.1294
2006-05-01,100.1147
2006-06-01,100.0807
2006-07-01,100.0363
2006-08-01,100.0587
2006-09-01,100.2188
2006-10-01,100.39
2006-11-01,100.4602
2006-12-01,100.516
2007-01-01,100.7394
2007-02-01,100.8771
2007-03-01,100.8981
2007-04-01,100.9063
2007-05-01,100.8997
2007-06-01,100.9147
2007-07-01,100.829
2007-08-01,100.652
2007-09-01,100.4238
2007-10-01,100.1045
2007-11-01,99.7519
2007-12-01,99.43394
2008-01-01,99.14156
2008-02-01,98.95408
2008-03-01,98.77296
2008-04-01,98.49233
2008-05-01,98.14628
2008-06-01,97.74924
2008-07-01,97.54052
2008-08-01,97.56871
2008-09-01,97.69718
2008-10-01,97.64365
2008-11-01,97.56277
2008-12-01,97.64256
2009-01-01,97.76199
2009-02-01,97.90221
2009-03-01,97.99324
2009-04-01,98.0785
2009-05-01,98.37616
2009-06-01,98.80444
2009-07-01,99.25965
2009-08-01,99.71265
2009-09-01,99.99074
2009-10-01,100.1203
2009-11-01,100.1843
2009-12-01,100.277
2010-01-01,100.322
2010-02-01,100.25
2010-03-01,100.0555
2010-04-01,99.93655
2010-05-01,99.81209
2010-06-01,99.91482
2010-07-01,100.2385
2010-08-01,100.6047
2010-09-01,100.8297
2010-10-01,100.8157
2010-11-01,100.6134
2010-12-01,100.4535
2011-01-01,100.4064
2011-02-01,100.3565
2011-03-01,100.2521
2011-04-01,100.1388
2011-05-01,100.0095
2011-06-01,99.95179
2011-07-01,99.80322
2011-08-01,99.49671
2011-09-01,99.05683
2011-10-01,98.68616
2011-11-01,98.52805
2011-12-01,98.49539
2012-01-01,98.61511
2012-02-01,98.73907
2012-03-01,98.91532
2012-04-01,99.19645
2012-05-01,99.29401
2012-06-01,99.27934
2012-07-01,99.23206
2012-08-01,99.08543
2012-09-01,98.99535
2012-10-01,99.02979
2012-11-01,99.02191
2012-12-01,99.1282
2013-01-01,99.31145
2013-02-01,99.4715
2013-03-01,99.48212
2013-04-01,99.4034
2013-05-01,99.33569
2013-06-01,99.2782
2013-07-01,99.33219
2013-08-01,99.55531
2013-09-01,99.82291
2013-10-01,99.96051
2013-11-01,99.9163
2013-12-01,99.67442
2014-01-01,99.50227
2014-02-01,99.41362
2014-03-01,99.37466
2014-04-01,99.34183
2014-05-01,99.35152
2014-06-01,99.43447
2014-07-01,99.45367
2014-08-01,99.44467
2014-09-01,99.44398
2014-10-01,99.5489
2014-11-01,99.68116
2014-12-01,99.63443
2015-01-01,99.55145
2015-02-01,99.56453
2015-03-01,99.70916
2015-04-01,99.82631
2015-05-01,99.80721
2015-06-01,99.7301
2015-07-01,99.67622
2015-08-01,99.67145
2015-09-01,99.60472
2015-10-01,99.50375
2015-11-01,99.53399
2015-12-01,99.60861
2016-01-01,99.76465
2016-02-01,99.91901
2016-03-01,100.0342
2016-04-01,100.0992
2016-05-01,100.1839
2016-06-01,100.2384
2016-07-01,100.2286
2016-08-01,100.1998
2016-09-01,100.1685
2016-10-01,100.1849
2016-11-01,100.2456
2016-12-01,100.3788
2017-01-01,100.5159
2017-02-01,100.6294
2017-03-01,100.7309
2017-04-01,100.8591
2017-05-01,100.928
2017-06-01,100.9538
2017-07-01,100.9694
2017-08-01,101.0152
2017-09-01,101.1915
2017-10-01,101.3922
2017-11-01,101.586
2017-12-01,101.7342
2018-01-01,101.749
2018-02-01,101.6841
2018-03-01,101.5675
2018-04-01,101.4663
2018-05-01,101.3155
2018-06-01,101.1886
2018-07-01,101.1436
2018-08-01,101.1637
2018-09-01,101.2022
2018-10-01,101.1965
2018-11-01,101.1988
2018-12-01,101.1276
2019-01-01,101.037
2019-02-01,101.0005
2019-03-01,100.9828
2019-04-01,100.9599
2019-05-01,100.9544
2019-06-01,100.7871
2019-07-01,100.6922
2019-08-01,100.7059
2019-09-01,100.6934
2019-10-01,100.7077
2019-11-01,100.7483
2019-12-01,100.8144
2020-01-01,100.7456
2020-02-01,100.3597
2020-03-01,99.58833
2020-04-01,98.86346
2020-05-01,98.90656
2020-06-01,99.30348
2020-07-01,99.5448
2020-08-01,99.6786
2020-09-01,99.67976
2020-10-01,99.36692
2020-11-01,99.12932
2020-12-01,99.24079
2021-01-01,99.42012
2021-02-01,99.70158
2021-03-01,100.0015
2021-04-01,100.2096
2021-05-01,100.6843
2021-06-01,101.0292
2021-07-01,101.1925
2021-08-01,101.1564
2021-09-01,100.943
2021-10-01,100.667
2021-11-01,100.2755
2021-12-01,99.89149
2022-01-01,99.57877
2022-02-01,99.08295
2022-03-01,98.21175
2022-04-01,97.58474
2022-05-01,97.04975
2022-06-01,96.52995
2022-07-01,95.98318
2022-08-01,95.80331
2022-09-01,95.82632
2022-10-01,96.00113
2022-11-01,96.24815
2022-12-01,96.53835
2023-01-01,96.90021
2023-02-01,97.1465
2023-03-01,97.24034
2023-04-01,97.25212
2023-05-01,97.28256
2023-06-01,97.40017
2023-07-01,97.4584
2023-08-01,97.36746
2023-09-01,97.23923
2023-10-01,97.3089
2023-11-01,97.57221
2023-12-01,97.91899
2024-01-01,98.15762
