date,cci
1975-01-01,99.14669
1975-02-01,99.25037
1975-03-01,99.30368
1975-04-01,99.26061
1975-05-01,99.17912
1975-06-01,99.06936
1975-07-01,98.97519
1975-08-01,98.88901
1975-09-01,98.84596
1975-10-01,99.0101
1975-11-01,99.52257
1975-12-01,100.3374
1976-01-01,100.9041
1976-02-01,101.1064
1976-03-01,101.0859
1976-04-01,101.0391
1976-05-01,101.0437
1976-06-01,101.1049
1976-07-01,101.1511
1976-08-01,101.1672
1976-09-01,101.1487
1976-10-01,101.0855
1976-11-01,100.9807
1976-12-01,100.9131
1977-01-01,100.9481
1977-02-01,101.0093
1977-03-01,101.0395
1977-04-01,100.9385
1977-05-01,100.7285
1977-06-01,100.46
1977-07-01,100.2268
1977-08-01,100.0447
1977-09-01,99.89006
1977-10-01,99.88163
1977-11-01,100.0456
1977-12-01,100.324
1978-01-01,100.4107
1978-02-01,100.2525
1978-03-01,99.96251
1978-04-01,99.78356
1978-05-01,99.79336
1978-06-01,99.88863
1978-07-01,99.9702
1978-08-01,100.0426
1978-09-01,100.1326
1978-10-01,100.2165
1978-11-01,100.3254
1978-12-01,100.461
1979-01-01,100.487
1979-02-01,100.3828
1979-03-01,100.218
1979-04-01,100.0615
1979-05-01,99.95128
1979-06-01,99.85628
1979-07-01,99.78644
1979-08-01,99.6929
1979-09-01,99.53783
1979-10-01,99.38793
1979-11-01,99.17975
1979-12-01,98.8696
1980-01-01,98.64175
1980-02-01,98.43898
1980-03-01,98.19051
1980-04-01,98.01473
1980-05-01,97.883
1980-06-01,97.79546
1980-07-01,97.71786
1980-08-01,97.66907
1980-09-01,97.60389
1980-10-01,97.46175
1980-11-01,97.23194
1980-12-01,96.90083
1981-01-01,96.68169
1981-02-01,96.56633
1981-03-01,96.54412
1981-04-01,96.52256
1981-05-01,96.54434
1981-06-01,96.61403
1981-07-01,96.67625
1981-08-01,96.74096
1981-09-01,96.82113
1981-10-01,96.8681
1981-11-01,96.8863
1981-12-01,96.88624
1982-01-01,96.86634
1982-02-01,96.81297
1982-03-01,96.72038
1982-04-01,96.64401
1982-05-01,96.59828
1982-06-01,96.63289
1982-07-01,96.68369
