date,cci
1975-01-01,98.08396
1975-02-01,97.9999
1975-03-01,98.05235
1975-04-01,98.16753
1975-05-01,98.25916
1975-06-01,98.27284
1975-07-01,98.25414
1975-08-01,98.27121
1975-09-01,98.36987
1975-10-01,98.49297
1975-11-01,98.56164
1975-12-01,98.53204
1976-01-01,98.5067
1976-02-01,98.65282
1976-03-01,99.11649
1976-04-01,99.76531
1976-05-01,100.4419
1976-06-01,101.0323
1976-07-01,101.5065
1976-08-01,101.8038
1976-09-01,101.8347
1976-10-01,101.6593
1976-11-01,101.2999
1976-12-01,100.7597
1977-01-01,100.2254
1977-02-01,99.95599
1977-03-01,100.1656
1977-04-01,100.6411
1977-05-01,101.1287
1977-06-01,101.4549
1977-07-01,101.6348
1977-08-01,101.6956
1977-09-01,101.6468
1977-10-01,101.5683
1977-11-01,101.5452
1977-12-01,101.6305
1978-01-01,101.7539
1978-02-01,101.8154
1978-03-01,101.741
1978-04-01,101.6007
1978-05-01,101.4851
1978-06-01,101.4483
1978-07-01,101.4261
1978-08-01,101.3186
1978-09-01,101.0574
1978-10-01,100.7592
1978-11-01,100.5984
1978-12-01,100.7182
1979-01-01,101.0029
1979-02-01,101.3077
1979-03-01,101.5232
1979-04-01,101.6199
1979-05-01,101.5482
1979-06-01,101.2569
1979-07-01,100.8803
1979-08-01,100.5826
1979-09-01,100.487
1979-10-01,100.5258
1979-11-01,100.6197
1979-12-01,100.7221
1980-01-01,100.8092
1980-02-01,100.8624
1980-03-01,100.8674
1980-04-01,100.8464
1980-05-01,100.8221
1980-06-01,100.8075
1980-07-01,100.7989
1980-08-01,100.7875
1980-09-01,100.764
1980-10-01,100.7272
1980-11-01,100.6665
1980-12-01,100.5583
1981-01-01,100.3866
1981-02-01,100.1096
1981-03-01,99.69068
1981-04-01,99.23315
1981-05-01,98.8749
1981-06-01,98.72054
1981-07-01,98.67467
1981-08-01,98.62023
1981-09-01,98.48825
1981-10-01,98.33627
1981-11-01,98.2662
1981-12-01,98.36208
1982-01-01,98.54611
1982-02-01,98.71565
1982-03-01,98.79198
1982-04-01,98.78368
1982-05-01,98.69614
1982-06-01,98.5257
1982-07-01,98.33292
1982-08-01,98.19025
1982-09-01,98.15192
1982-10-01,98.17376
1982-11-01,98.20953
1982-12-01,98.24712
1983-01-01,98.33076
1983-02-01,98.5482
1983-03-01,98.97179
1983-04-01,99.46584
1983-05-01,99.84669
1983-06-01,99.9725
1983-07-01,99.94605
1983-08-01,99.89655
1983-09-01,99.91367
1983-10-01,100.0046
1983-11-01,100.1704
1983-12-01,100.4083
1984-01-01,100.6394
1984-02-01,100.7569
1984-03-01,100.6808
1984-04-01,100.527
1984-05-01,100.4481
1984-06-01,100.5523
1984-07-01,100.7477
1984-08-01,100.9084
1984-09-01,100.9486
1984-10-01,100.9328
1984-11-01,100.9564
1984-12-01,101.0824
1985-01-01,101.2392
1985-02-01,101.3154
1985-03-01,101.2251
1985-04-01,101.0521
1985-05-01,100.9122
1985-06-01,100.8965
1985-07-01,100.9828
1985-08-01,101.1539
1985-09-01,101.4143
1985-10-01,101.7215
1985-11-01,102.037
1985-12-01,102.3295
1986-01-01,102.5706
1986-02-01,102.7036
1986-03-01,102.6638
1986-04-01,102.5072
1986-05-01,102.2819
1986-06-01,102.0179
1986-07-01,101.7841
1986-08-01,101.6762
1986-09-01,101.7733
1986-10-01,101.9695
1986-11-01,102.1342
1986-12-01,102.174
1987-01-01,102.1256
1987-02-01,102.0362
1987-03-01,101.9332
1987-04-01,101.8332
1987-05-01,101.7472
1987-06-01,101.6806
1987-07-01,101.6209
1987-08-01,101.5523
1987-09-01,101.4638
1987-10-01,101.3659
1987-11-01,101.273
1987-12-01,101.1948
1988-01-01,101.1229
1988-02-01,101.0493
1988-03-01,100.9798
1988-04-01,100.9476
1988-05-01,101.0159
1988-06-01,101.2421
1988-07-01,101.5427
1988-08-01,101.8192
1988-09-01,102.0102
1988-10-01,102.1674
1988-11-01,102.3659
1988-12-01,102.6475
1989-01-01,102.9236
