date,cci
1995-01-01,100.5045
1995-02-01,100.4051
1995-03-01,100.2344
1995-04-01,99.99262
1995-05-01,99.9221
1995-06-01,100.0551
1995-07-01,100.3492
1995-08-01,100.5545
1995-09-01,100.7005
1995-10-01,100.8254
1995-11-01,100.9172
1995-12-01,101.0273
1996-01-01,101.1568
1996-02-01,101.2119
1996-03-01,101.1561
1996-04-01,100.9986
1996-05-01,100.8503
1996-06-01,100.647
1996-07-01,100.3413
1996-08-01,100.128
1996-09-01,99.98956
1996-10-01,99.84535
1996-11-01,99.77624
1996-12-01,99.73514
1997-01-01,99.61609
1997-02-01,99.36044
1997-03-01,98.7722
1997-04-01,97.81704
1997-05-01,97.21059
1997-06-01,96.87879
1997-07-01,96.62953
1997-08-01,96.48435
1997-09-01,96.36371
1997-10-01,96.1888
1997-11-01,96.06724
1997-12-01,95.99076
1998-01-01,95.93504
1998-02-01,96.02299
1998-03-01,96.34182
1998-04-01,96.89847
1998-05-01,97.3008
1998-06-01,97.56761
1998-07-01,97.7914
1998-08-01,97.87157
1998-09-01,97.83291
1998-10-01,97.68038
1998-11-01,97.52457
1998-12-01,97.30032
1999-01-01,96.92254
1999-02-01,96.57558
1999-03-01,96.37511
1999-04-01,96.43304
1999-05-01,96.51566
1999-06-01,96.74504
1999-07-01,96.71368
1999-08-01,96.55676
1999-09-01,96.67978
1999-10-01,97.22134
1999-11-01,97.64807
1999-12-01,97.92682
2000-01-01,97.98952
2000-02-01,97.93161
2000-03-01,97.90603
2000-04-01,98.09432
2000-05-01,98.32001
2000-06-01,98.44608
2000-07-01,98.51803
2000-08-01,98.7029
2000-09-01,98.89194
2000-10-01,99.01467
2000-11-01,98.93658
2000-12-01,98.81371
2001-01-01,99.17067
2001-02-01,99.72201
2001-03-01,100.1432
2001-04-01,100.2787
2001-05-01,100.1545
2001-06-01,100.1679
2001-07-01,100.2577
2001-08-01,100.3676
2001-09-01,100.5515
2001-10-01,100.821
2001-11-01,101.069
2001-12-01,101.2346
2002-01-01,101.3589
2002-02-01,101.5059
2002-03-01,101.6816
2002-04-01,101.9911
2002-05-01,102.0717
2002-06-01,101.9556
2002-07-01,101.6635
2002-08-01,101.2121
2002-09-01,100.8196
2002-10-01,100.6414
2002-11-01,100.7067
2002-12-01,100.7717
2003-01-01,100.8178
2003-02-01,100.8136
2003-03-01,100.7983
2003-04-01,100.6697
2003-05-01,100.4377
2003-06-01,100.2446
2003-07-01,100.0114
2003-08-01,99.9127
2003-09-01,99.85079
2003-10-01,99.40247
2003-11-01,99.13914
2003-12-01,98.90587
2004-01-01,98.69204
2004-02-01,98.47421
2004-03-01,98.51669
2004-04-01,98.83012
2004-05-01,99.34589
2004-06-01,99.7112
2004-07-01,100.0532
2004-08-01,99.96283
2004-09-01,99.80163
2004-10-01,99.88087
2004-11-01,100.254
2004-12-01,100.7243
2005-01-01,101.0355
2005-02-01,101.1609
2005-03-01,101.1659
2005-04-01,101.2559
2005-05-01,101.4025
2005-06-01,101.601
2005-07-01,101.6147
2005-08-01,101.4278
2005-09-01,101.3179
2005-10-01,101.371
2005-11-01,101.5909
2005-12-01,101.6728
2006-01-01,101.8678
2006-02-01,101.9903
2006-03-01,102.1123
2006-04-01,102.1584
2006-05-01,102.1318
2006-06-01,102.0673
2006-07-01,101.9067
2006-08-01,101.7582
2006-09-01,101.6882
2006-10-01,101.6965
2006-11-01,101.7428
2006-12-01,101.8685
2007-01-01,101.9337
2007-02-01,101.9467
2007-03-01,101.8036
2007-04-01,101.5794
2007-05-01,101.5621
2007-06-01,101.5878
2007-07-01,101.6002
2007-08-01,101.5383
2007-09-01,101.15
2007-10-01,100.5321
2007-11-01,99.80171
2007-12-01,99.47634
2008-01-01,99.79379
2008-02-01,100.4086
2008-03-01,100.8771
2008-04-01,100.8888
2008-05-01,100.5355
2008-06-01,100.1692
2008-07-01,100.2565
2008-08-01,100.4435
2008-09-01,100.336
2008-10-01,99.87687
2008-11-01,99.36624
2008-12-01,98.87984
2009-01-01,98.64921
2009-02-01,98.57201
2009-03-01,98.91985
2009-04-01,99.35258
2009-05-01,99.74182
2009-06-01,99.73827
2009-07-01,99.64066
2009-08-01,99.68344
2009-09-01,99.61372
2009-10-01,99.60302
2009-11-01,99.73125
2009-12-01,99.65036
2010-01-01,99.56241
2010-02-01,99.6714
2010-03-01,99.88073
2010-04-01,100.053
2010-05-01,100.1044
2010-06-01,100.1143
2010-07-01,99.94881
2010-08-01,99.64095
2010-09-01,99.31779
2010-10-01,99.03092
2010-11-01,98.9278
2010-12-01,98.80106
2011-01-01,98.69055
2011-02-01,98.51117
2011-03-01,98.18504
2011-04-01,97.97275
2011-05-01,97.75818
2011-06-01,97.60796
2011-07-01,97.68224
2011-08-01,97.71249
2011-09-01,97.5997
2011-10-01,97.29729
2011-11-01,96.75045
2011-12-01,96.48047
2012-01-01,96.50468
2012-02-01,96.54125
2012-03-01,96.33218
2012-04-01,96.23573
2012-05-01,96.26414
2012-06-01,96.61387
2012-07-01,97.02982
2012-08-01,97.27997
2012-09-01,97.10815
2012-10-01,96.76492
2012-11-01,96.5936
2012-12-01,96.61429
2013-01-01,96.86871
2013-02-01,97.46459
2013-03-01,97.88742
2013-04-01,98.11829
2013-05-01,98.36291
2013-06-01,98.56049
2013-07-01,98.85492
2013-08-01,99.2454
2013-09-01,99.5523
2013-10-01,99.72085
2013-11-01,99.77459
2013-12-01,99.73357
2014-01-01,99.88603
2014-02-01,100.1786
2014-03-01,100.5845
2014-04-01,100.9193
2014-05-01,101.0646
2014-06-01,101.1314
2014-07-01,101.0553
2014-08-01,101.0281
2014-09-01,101.1618
2014-10-01,101.5161
2014-11-01,101.8774
2014-12-01,102.0774
