date,cci
1975-01-01,99.71506
1975-02-01,99.99641
1975-03-01,100.299
1975-04-01,100.6015
1975-05-01,100.8116
1975-06-01,100.8473
1975-07-01,100.8119
1975-08-01,100.7652
1975-09-01,100.7596
1975-10-01,100.8866
1975-11-01,101.2822
1975-12-01,101.8083
1976-01-01,102.2328
1976-02-01,102.4724
1976-03-01,102.5523
1976-04-01,102.5587
1976-05-01,102.5591
1976-06-01,102.5957
1976-07-01,102.6851
1976-08-01,102.7814
1976-09-01,102.8795
1976-10-01,102.9183
1976-11-01,102.8752
1976-12-01,102.7269
1977-01-01,102.4926
1977-02-01,102.1902
1977-03-01,101.8786
1977-04-01,101.5755
1977-05-01,101.3773
1977-06-01,101.3776
1977-07-01,101.4814
1977-08-01,101.5965
1977-09-01,101.7223
1977-10-01,101.8346
1977-11-01,101.9516
1977-12-01,102.022
1978-01-01,102.0
1978-02-01,101.9668
1978-03-01,101.9606
1978-04-01,102.0102
1978-05-01,102.1404
1978-06-01,102.3232
1978-07-01,102.5392
1978-08-01,102.7875
1978-09-01,103.0611
1978-10-01,103.2913
1978-11-01,103.458
1978-12-01,103.5519
1979-01-01,103.5997
1979-02-01,103.5703
1979-03-01,103.5195
1979-04-01,103.4265
1979-05-01,103.2455
1979-06-01,102.9979
1979-07-01,102.7621
1979-08-01,102.5359
1979-09-01,102.2808
1979-10-01,101.9559
1979-11-01,101.5808
1979-12-01,101.1761
1980-01-01,100.7547
1980-02-01,100.5336
1980-03-01,100.3957
1980-04-01,100.3019
1980-05-01,100.2377
1980-06-01,100.1144
1980-07-01,100.0257
1980-08-01,99.98682
1980-09-01,99.83067
1980-10-01,99.43913
1980-11-01,98.89918
1980-12-01,98.51011
1981-01-01,98.17068
1981-02-01,97.76825
1981-03-01,97.326
1981-04-01,97.02113
1981-05-01,96.85857
1981-06-01,96.5916
1981-07-01,96.26866
1981-08-01,95.92395
1981-09-01,95.90031
1981-10-01,96.04118
1981-11-01,96.0985
1981-12-01,96.16822
1982-01-01,96.24869
1982-02-01,96.36314
1982-03-01,96.67131
1982-04-01,96.97072
1982-05-01,97.15707
1982-06-01,97.11691
1982-07-01,96.7335
1982-08-01,96.31114
1982-09-01,95.99802
1982-10-01,96.01634
1982-11-01,96.20698
1982-12-01,96.58752
1983-01-01,97.35381
1983-02-01,98.30718
1983-03-01,99.2411
1983-04-01,99.75618
1983-05-01,99.86346
1983-06-01,99.85352
1983-07-01,99.80491
1983-08-01,99.78627
1983-09-01,99.71281
1983-10-01,99.74919
1983-11-01,99.99873
1983-12-01,100.2749
1984-01-01,100.4281
1984-02-01,100.2619
1984-03-01,99.95573
1984-04-01,99.65533
1984-05-01,99.39411
1984-06-01,99.20171
1984-07-01,99.36509
1984-08-01,99.66029
1984-09-01,99.95761
1984-10-01,100.1185
1984-11-01,100.2747
1984-12-01,100.283
1985-01-01,100.1454
1985-02-01,100.0013
1985-03-01,99.91822
1985-04-01,99.90263
1985-05-01,99.9053
1985-06-01,99.91414
1985-07-01,100.009
1985-08-01,100.1416
1985-09-01,100.2904
1985-10-01,100.4047
1985-11-01,100.4675
1985-12-01,100.5923
1986-01-01,100.8067
1986-02-01,101.0047
1986-03-01,101.1351
1986-04-01,101.2347
1986-05-01,101.3169
1986-06-01,101.445
1986-07-01,101.573
1986-08-01,101.6865
1986-09-01,101.7137
1986-10-01,101.6991
1986-11-01,101.6619
1986-12-01,101.6104
1987-01-01,101.4828
1987-02-01,101.2949
