date,cci
1975-01-01,96.62189
1975-02-01,96.79384
1975-03-01,97.33311
1975-04-01,98.18968
1975-05-01,98.85545
1975-06-01,99.37466
1975-07-01,99.88564
1975-08-01,100.3089
1975-09-01,100.6662
1975-10-01,101.0717
1975-11-01,101.3752
1975-12-01,101.586
1976-01-01,101.7774
1976-02-01,101.875
1976-03-01,101.6737
1976-04-01,101.1544
1976-05-01,100.6855
1976-06-01,100.2976
1976-07-01,99.94469
1976-08-01,99.68496
1976-09-01,99.41106
1976-10-01,99.10999
1976-11-01,98.9295
1976-12-01,98.85682
1977-01-01,98.89919
1977-02-01,98.94907
1977-03-01,98.9492
1977-04-01,98.84277
1977-05-01,98.78063
1977-06-01,98.81299
1977-07-01,98.9514
1977-08-01,99.1365
1977-09-01,99.30698
1977-10-01,99.42202
1977-11-01,99.49815
1977-12-01,99.49426
1978-01-01,99.44292
1978-02-01,99.45427
1978-03-01,99.55989
1978-04-01,99.70148
1978-05-01,99.83266
1978-06-01,99.98481
1978-07-01,100.136
1978-08-01,100.266
1978-09-01,100.4131
1978-10-01,100.5435
1978-11-01,100.6117
1978-12-01,100.638
1979-01-01,100.6402
1979-02-01,100.6067
1979-03-01,100.4952
1979-04-01,100.2654
1979-05-01,99.99101
1979-06-01,99.67448
1979-07-01,99.31393
1979-08-01,99.01227
1979-09-01,98.71543
1979-10-01,98.30657
1979-11-01,97.90288
1979-12-01,97.43469
1980-01-01,96.84174
1980-02-01,96.33385
1980-03-01,95.94672
1980-04-01,95.63492
1980-05-01,95.45152
1980-06-01,95.44508
1980-07-01,95.63553
1980-08-01,95.81321
1980-09-01,95.97076
1980-10-01,96.1254
1980-11-01,96.1614
1980-12-01,96.09035
1981-01-01,96.01512
1981-02-01,95.9935
1981-03-01,96.1134
1981-04-01,96.30704
1981-05-01,96.43851
1981-06-01,96.52502
1981-07-01,96.60538
1981-08-01,96.65357
1981-09-01,96.70575
1981-10-01,96.81207
1981-11-01,96.98458
1981-12-01,97.29825
1982-01-01,97.71852
1982-02-01,97.99506
1982-03-01,98.07126
1982-04-01,98.01519
1982-05-01,97.94336
1982-06-01,97.86936
1982-07-01,97.77567
1982-08-01,97.68765
1982-09-01,97.55987
1982-10-01,97.36399
1982-11-01,97.21667
1982-12-01,97.16047
1983-01-01,97.31125
1983-02-01,97.70684
1983-03-01,98.57122
1983-04-01,99.91889
1983-05-01,100.8979
1983-06-01,101.3466
1983-07-01,101.4367
1983-08-01,101.4319
1983-09-01,101.3909
1983-10-01,101.3791
1983-11-01,101.5099
1983-12-01,101.7487
1984-01-01,101.9902
1984-02-01,102.0264
1984-03-01,101.7204
1984-04-01,101.1774
1984-05-01,100.8432
1984-06-01,100.8029
1984-07-01,100.9074
1984-08-01,101.0211
1984-09-01,101.1251
1984-10-01,101.2033
1984-11-01,101.1382
1984-12-01,100.8406
1985-01-01,100.3146
1985-02-01,99.95493
1985-03-01,99.68314
1985-04-01,99.41114
1985-05-01,99.29219
1985-06-01,99.3498
1985-07-01,99.53444
1985-08-01,99.7282
1985-09-01,99.95425
1985-10-01,100.2039
1985-11-01,100.3348
1985-12-01,100.3404
1986-01-01,100.2392
1986-02-01,100.0902
1986-03-01,99.78288
1986-04-01,99.28993
1986-05-01,98.93307
1986-06-01,98.81803
1986-07-01,98.85956
1986-08-01,98.93787
1986-09-01,98.87787
1986-10-01,98.82731
1986-11-01,98.67359
1986-12-01,98.69601
1987-01-01,98.74443
1987-02-01,98.77698
1987-03-01,98.70789
1987-04-01,98.72765
1987-05-01,98.7912
1987-06-01,98.76412
1987-07-01,98.81554
1987-08-01,98.98874
