date,cci
1986-06-01,101.5791
1986-07-01,101.6099
1986-08-01,101.6375
1986-09-01,101.5966
1986-10-01,101.5568
1986-11-01,101.5386
1986-12-01,101.4415
1987-01-01,101.2867
1987-02-01,101.1174
1987-03-01,100.9578
1987-04-01,100.8984
1987-05-01,101.0032
1987-06-01,101.3133
1987-07-01,101.6857
1987-08-01,101.9879
1987-09-01,102.0895
1987-10-01,101.9525
1987-11-01,101.7259
1987-12-01,101.6305
1988-01-01,101.737
1988-02-01,101.9493
1988-03-01,102.1784
1988-04-01,102.3543
1988-05-01,102.3927
1988-06-01,102.3837
1988-07-01,102.4691
1988-08-01,102.5996
1988-09-01,102.5892
1988-10-01,102.5171
1988-11-01,102.402
1988-12-01,102.3579
1989-01-01,102.3175
1989-02-01,102.1597
1989-03-01,102.0587
1989-04-01,102.1093
1989-05-01,102.2598
1989-06-01,102.4294
1989-07-01,102.4978
1989-08-01,102.6123
1989-09-01,102.6704
1989-10-01,102.7944
1989-11-01,102.8526
1989-12-01,102.8397
1990-01-01,102.5666
1990-02-01,102.2895
1990-03-01,102.0029
1990-04-01,101.8558
1990-05-01,101.8787
1990-06-01,102.0185
1990-07-01,102.031
1990-08-01,101.566
1990-09-01,100.7147
1990-10-01,100.4751
1990-11-01,100.6044
1990-12-01,100.7279
1991-01-01,100.6578
1991-02-01,101.0262
1991-03-01,101.5343
1991-04-01,101.7318
1991-05-01,101.8831
1991-06-01,101.8442
1991-07-01,101.7522
1991-08-01,101.6442
1991-09-01,101.5771
1991-10-01,101.3435
1991-11-01,100.9868
1991-12-01,100.5868
1992-01-01,100.3641
1992-02-01,100.2113
1992-03-01,99.9159
1992-04-01,99.62101
1992-05-01,99.33649
1992-06-01,98.9535
1992-07-01,98.22073
1992-08-01,97.32365
1992-09-01,96.80459
1992-10-01,96.5544
1992-11-01,96.55566
1992-12-01,96.62855
1993-01-01,96.76575
1993-02-01,96.89149
1993-03-01,97.14465
1993-04-01,97.52883
1993-05-01,97.65924
1993-06-01,97.30317
1993-07-01,96.95013
