date,cci
1987-11-01,103.4431
1987-12-01,103.2626
1988-01-01,103.1457
1988-02-01,103.025
1988-03-01,102.8188
1988-04-01,102.5519
1988-05-01,102.1868
1988-06-01,101.8902
1988-07-01,101.6482
1988-08-01,101.5626
1988-09-01,101.7177
1988-10-01,102.2661
1988-11-01,103.2735
1988-12-01,103.7949
1989-01-01,103.8691
1989-02-01,103.6219
1989-03-01,103.1917
1989-04-01,102.6018
1989-05-01,101.8154
1989-06-01,101.3252
1989-07-01,101.0645
1989-08-01,100.8968
1989-09-01,100.5018
1989-10-01,99.54261
1989-11-01,98.06138
1989-12-01,97.06275
1990-01-01,96.61886
1990-02-01,96.49267
1990-03-01,96.5819
1990-04-01,97.04523
1990-05-01,97.83784
1990-06-01,98.24818
1990-07-01,98.35629
1990-08-01,98.24832
1990-09-01,97.90842
1990-10-01,97.32671
1990-11-01,96.46401
1990-12-01,95.8336
1991-01-01,95.48798
1991-02-01,95.27414
1991-03-01,95.17921
1991-04-01,95.16912
1991-05-01,95.28349
1991-06-01,95.27061
1991-07-01,95.22332
1991-08-01,95.21685
1991-09-01,95.356
1991-10-01,95.78166
1991-11-01,96.53166
1991-12-01,97.1151
1992-01-01,97.63821
1992-02-01,98.22085
1992-03-01,98.47352
1992-04-01,98.41528
1992-05-01,98.22119
1992-06-01,97.90527
1992-07-01,97.51469
1992-08-01,97.07044
1992-09-01,96.95795
1992-10-01,97.2458
1992-11-01,97.79828
1992-12-01,97.98745
1993-01-01,97.64142
1993-02-01,96.85512
1993-03-01,96.33636
1993-04-01,96.31628
1993-05-01,96.69292
1993-06-01,97.05132
1993-07-01,97.41236
1993-08-01,97.87441
1993-09-01,98.25227
1993-10-01,98.74059
1993-11-01,99.53606
1993-12-01,100.3491
1994-01-01,101.4841
1994-02-01,103.0267
1994-03-01,104.0836
1994-04-01,104.617
1994-05-01,104.7622
1994-06-01,104.6696
1994-07-01,104.3598
1994-08-01,103.8161
1994-09-01,103.6691
1994-10-01,104.2401
1994-11-01,105.3126
1994-12-01,105.9368
1995-01-01,105.9833
1995-02-01,105.5186
1995-03-01,105.1342
1995-04-01,104.9101
1995-05-01,104.7994
1995-06-01,104.8528
1995-07-01,104.9535
1995-08-01,104.7642
1995-09-01,103.6265
1995-10-01,101.5001
1995-11-01,100.1009
1995-12-01,99.32449
1996-01-01,98.94592
1996-02-01,98.87038
1996-03-01,98.9493
1996-04-01,99.13087
1996-05-01,99.53111
1996-06-01,100.0273
1996-07-01,100.4204
1996-08-01,100.7644
1996-09-01,100.9728
1996-10-01,101.0379
1996-11-01,101.1222
1996-12-01,101.3057
1997-01-01,101.5018
1997-02-01,101.7237
1997-03-01,101.8888
1997-04-01,101.9717
1997-05-01,101.9138
1997-06-01,101.8037
1997-07-01,101.6718
1997-08-01,101.6386
1997-09-01,101.7834
1997-10-01,101.8778
1997-11-01,101.8407
1997-12-01,101.7195
1998-01-01,101.5766
1998-02-01,101.5361
1998-03-01,101.6633
1998-04-01,101.781
1998-05-01,101.8669
1998-06-01,101.8988
1998-07-01,101.8055
1998-08-01,101.4361
1998-09-01,100.8771
1998-10-01,100.5602
1998-11-01,100.6202
1998-12-01,100.8371
1999-01-01,100.8757
1999-02-01,100.8195
1999-03-01,100.9443
1999-04-01,101.212
1999-05-01,101.5202
1999-06-01,101.698
1999-07-01,101.6475
1999-08-01,101.5413
1999-09-01,101.535
1999-10-01,101.6491
1999-11-01,101.7745
1999-12-01,101.9714
2000-01-01,102.1563
2000-02-01,102.2054
2000-03-01,102.032
2000-04-01,101.8004
2000-05-01,101.6862
2000-06-01,101.6207
2000-07-01,101.5169
2000-08-01,101.2233
2000-09-01,100.8521
2000-10-01,100.6979
2000-11-01,100.8589
2000-12-01,101.0905
2001-01-01,101.1319
2001-02-01,100.8503
2001-03-01,100.4241
