date,cci
1975-01-01,101.3003
1975-02-01,101.5331
1975-03-01,101.5043
1975-04-01,101.3751
1975-05-01,101.3212
1975-06-01,101.3978
1975-07-01,101.5942
1975-08-01,101.7564
1975-09-01,101.9193
1975-10-01,102.1445
1975-11-01,102.3568
1975-12-01,102.648
1976-01-01,103.0636
1976-02-01,103.3123
1976-03-01,103.4062
1976-04-01,103.4123
1976-05-01,103.3584
1976-06-01,103.2271
1976-07-01,103.0095
1976-08-01,102.8368
1976-09-01,102.6697
1976-10-01,102.4708
1976-11-01,102.3724
1976-12-01,102.3467
1977-01-01,102.3046
1977-02-01,102.1211
1977-03-01,101.678
1977-04-01,101.0463
1977-05-01,100.6666
1977-06-01,100.6595
1977-07-01,100.9422
1977-08-01,101.2349
1977-09-01,101.5705
1977-10-01,102.0021
1977-11-01,102.2667
1977-12-01,102.4105
1978-01-01,102.524
1978-02-01,102.5981
1978-03-01,102.6747
1978-04-01,102.7724
1978-05-01,102.8104
1978-06-01,102.7742
1978-07-01,102.6781
1978-08-01,102.6013
1978-09-01,102.5195
1978-10-01,102.3824
1978-11-01,102.1951
1978-12-01,101.8911
1979-01-01,101.5201
1979-02-01,101.2872
1979-03-01,101.1327
1979-04-01,100.9644
1979-05-01,100.8121
1979-06-01,100.7323
1979-07-01,100.696
1979-08-01,100.6688
1979-09-01,100.6471
1979-10-01,100.6854
1979-11-01,100.6538
1979-12-01,100.4637
1980-01-01,100.0997
1980-02-01,99.80946
1980-03-01,99.67564
1980-04-01,99.64217
1980-05-01,99.64811
1980-06-01,99.66103
1980-07-01,99.67113
1980-08-01,99.67831
1980-09-01,99.68205
1980-10-01,99.67425
1980-11-01,99.63547
1980-12-01,99.54276
1981-01-01,99.4084
1981-02-01,99.3727
1981-03-01,99.57418
1981-04-01,99.92142
1981-05-01,100.1555
1981-06-01,100.2948
1981-07-01,100.401
1981-08-01,100.4398
1981-09-01,100.4387
1981-10-01,100.448
1981-11-01,100.5421
1981-12-01,100.8104
1982-01-01,101.2628
1982-02-01,101.5616
1982-03-01,101.6254
1982-04-01,101.5939
1982-05-01,101.5003
1982-06-01,101.3029
1982-07-01,100.9784
1982-08-01,100.7197
1982-09-01,100.4679
1982-10-01,100.1712
1982-11-01,100.037
1982-12-01,100.036
1983-01-01,100.0366
1983-02-01,99.80598
1983-03-01,99.27355
1983-04-01,98.49744
1983-05-01,97.93297
1983-06-01,97.62458
1983-07-01,97.50631
1983-08-01,97.44617
1983-09-01,97.36439
1983-10-01,97.29356
1983-11-01,97.1964
1983-12-01,97.03661
1984-01-01,96.87597
1984-02-01,96.77018
1984-03-01,96.66543
1984-04-01,96.50417
1984-05-01,96.32993
1984-06-01,96.18446
1984-07-01,96.01805
1984-08-01,95.83493
1984-09-01,95.59566
1984-10-01,95.40031
1984-11-01,95.46362
1984-12-01,96.04639
1985-01-01,97.12808
1985-02-01,97.82414
1985-03-01,98.1293
1985-04-01,98.24789
1985-05-01,98.10397
1985-06-01,97.75065
1985-07-01,97.3029
1985-08-01,97.29085
1985-09-01,97.86656
1985-10-01,98.94819
1985-11-01,99.7234
1985-12-01,100.208
1986-01-01,100.5764
1986-02-01,100.6769
1986-03-01,100.5346
1986-04-01,100.251
1986-05-01,99.9877
1986-06-01,99.80148
1986-07-01,99.88087
1986-08-01,100.046
1986-09-01,100.1974
1986-10-01,100.2562
1986-11-01,100.1714
1986-12-01,99.993
1987-01-01,99.74567
1987-02-01,99.55412
1987-03-01,99.4418
1987-04-01,99.36391
1987-05-01,99.21416
1987-06-01,99.16669
1987-07-01,99.32413
1987-08-01,99.60669
1987-09-01,99.96434
1987-10-01,100.2263
1987-11-01,100.3769
1987-12-01,100.5052
1988-01-01,100.601
1988-02-01,100.6649
1988-03-01,100.7173
1988-04-01,100.8145
1988-05-01,100.943
1988-06-01,101.0014
1988-07-01,101.0685
1988-08-01,101.1596
1988-09-01,101.2651
1988-10-01,101.3649
1988-11-01,101.4289
1988-12-01,101.3697
1989-01-01,101.3219
1989-02-01,101.1995
1989-03-01,101.0344
1989-04-01,100.914
1989-05-01,100.8028
1989-06-01,100.7683
1989-07-01,100.8553
1989-08-01,100.9876
1989-09-01,101.1189
1989-10-01,101.2326
1989-11-01,101.3424
1989-12-01,101.4053
1990-01-01,101.4225
1990-02-01,101.377
1990-03-01,101.3218
1990-04-01,101.1877
1990-05-01,101.0235
1990-06-01,100.9451
1990-07-01,100.8511
1990-08-01,100.6065
1990-09-01,100.1631
1990-10-01,99.93661
1990-11-01,99.8237
1990-12-01,99.69286
1991-01-01,99.57645
1991-02-01,99.7751
1991-03-01,100.1292
1991-04-01,100.1109
1991-05-01,99.86898
1991-06-01,99.53448
1991-07-01,99.38345
1991-08-01,99.43217
1991-09-01,99.56171
1991-10-01,99.60132
1991-11-01,99.59484
1991-12-01,99.54993
1992-01-01,99.62934
1992-02-01,99.87897
1992-03-01,100.1221
1992-04-01,100.2114
1992-05-01,100.0762
1992-06-01,99.79141
1992-07-01,99.60764
1992-08-01,99.6546
1992-09-01,99.83476
1992-10-01,99.90826
1992-11-01,99.76164
1992-12-01,99.57196
1993-01-01,99.50454
1993-02-01,99.71787
1993-03-01,100.035
1993-04-01,100.0734
1993-05-01,99.53506
1993-06-01,99.03957
1993-07-01,98.76122
1993-08-01,98.819
1993-09-01,99.10614
1993-10-01,99.36428
1993-11-01,99.50362
1993-12-01,99.688
1994-01-01,99.90511
1994-02-01,100.1254
1994-03-01,100.3489
1994-04-01,100.5963
1994-05-01,100.7644
1994-06-01,100.7751
1994-07-01,100.7766
1994-08-01,100.9216
1994-09-01,101.1545
1994-10-01,101.1989
1994-11-01,101.1158
1994-12-01,101.0228
1995-01-01,100.912
1995-02-01,100.9286
1995-03-01,101.0857
1995-04-01,101.3526
1995-05-01,101.604
1995-06-01,101.5904
1995-07-01,101.2147
1995-08-01,100.6782
1995-09-01,99.90529
1995-10-01,99.21215
1995-11-01,98.78609
1995-12-01,98.63933
1996-01-01,98.82383
1996-02-01,99.05003
1996-03-01,99.16239
1996-04-01,99.09805
1996-05-01,98.95924
1996-06-01,98.83996
1996-07-01,98.7537
1996-08-01,98.7262
1996-09-01,98.72335
1996-10-01,98.73148
1996-11-01,98.81302
1996-12-01,99.01917
1997-01-01,99.20274
1997-02-01,99.31365
1997-03-01,99.34739
1997-04-01,99.49807
1997-05-01,99.88712
1997-06-01,100.4654
1997-07-01,100.7826
1997-08-01,100.9136
1997-09-01,100.9044
1997-10-01,100.7721
1997-11-01,100.5942
1997-12-01,100.4027
1998-01-01,100.2568
1998-02-01,100.3813
1998-03-01,100.6261
1998-04-01,100.7907
1998-05-01,100.96
1998-06-01,101.1286
1998-07-01,101.4013
1998-08-01,101.6131
1998-09-01,101.6901
1998-10-01,101.5962
1998-11-01,101.4148
1998-12-01,101.2836
1999-01-01,101.2598
1999-02-01,101.2135
1999-03-01,101.0889
1999-04-01,101.0037
1999-05-01,101.0566
1999-06-01,101.2544
1999-07-01,101.5382
1999-08-01,101.7966
1999-09-01,102.0043
1999-10-01,102.1228
1999-11-01,102.1559
1999-12-01,102.0842
2000-01-01,101.9908
2000-02-01,101.9742
2000-03-01,102.0836
2000-04-01,102.2295
2000-05-01,102.3125
2000-06-01,102.3406
2000-07-01,102.2942
2000-08-01,102.0712
2000-09-01,101.903
2000-10-01,102.0233
2000-11-01,102.2553
2000-12-01,102.525
2001-01-01,102.6291
2001-02-01,102.4675
2001-03-01,102.1495
2001-04-01,101.7602
2001-05-01,101.3348
2001-06-01,101.0634
2001-07-01,100.8711
2001-08-01,100.6634
2001-09-01,100.5447
2001-10-01,100.6566
2001-11-01,100.9002
2001-12-01,101.1148
2002-01-01,101.2304
2002-02-01,101.2643
2002-03-01,101.2584
2002-04-01,101.2715
2002-05-01,101.4114
2002-06-01,101.3736
2002-07-01,101.1721
2002-08-01,100.9398
2002-09-01,100.8133
2002-10-01,100.8743
2002-11-01,100.9335
2002-12-01,100.8387
2003-01-01,100.4686
2003-02-01,99.98627
2003-03-01,99.62807
2003-04-01,99.55245
2003-05-01,99.59089
2003-06-01,99.64032
2003-07-01,99.65112
2003-08-01,99.60408
2003-09-01,99.57878
2003-10-01,99.66866
2003-11-01,99.84783
2003-12-01,100.1189
2004-01-01,100.3867
2004-02-01,100.4244
2004-03-01,100.2928
2004-04-01,100.0907
2004-05-01,100.0609
2004-06-01,100.105
2004-07-01,100.21
2004-08-01,100.3247
2004-09-01,100.4128
2004-10-01,100.4443
2004-11-01,100.3863
2004-12-01,100.3563
2005-01-01,100.2845
2005-02-01,100.2073
2005-03-01,100.023
2005-04-01,99.67373
2005-05-01,99.43609
2005-06-01,99.53075
2005-07-01,99.621
2005-08-01,99.77409
2005-09-01,99.73737
2005-10-01,99.36607
2005-11-01,99.188
2005-12-01,99.40199
2006-01-01,99.65994
2006-02-01,99.75042
2006-03-01,99.73683
2006-04-01,99.7085
2006-05-01,99.47739
2006-06-01,99.45139
2006-07-01,99.70364
2006-08-01,99.94578
2006-09-01,100.147
2006-10-01,100.3445
2006-11-01,100.4163
2006-12-01,100.4642
2007-01-01,100.5309
2007-02-01,100.6315
2007-03-01,100.7918
2007-04-01,101.1069
2007-05-01,101.554
2007-06-01,101.7565
2007-07-01,101.6194
2007-08-01,101.2328
2007-09-01,100.7447
2007-10-01,100.2457
2007-11-01,99.70327
2007-12-01,99.3018
2008-01-01,98.87637
2008-02-01,98.63094
2008-03-01,98.37574
2008-04-01,98.0103
2008-05-01,97.56743
2008-06-01,97.20904
2008-07-01,97.16733
2008-08-01,97.33755
2008-09-01,97.47813
2008-10-01,97.48927
2008-11-01,97.56278
2008-12-01,97.51089
2009-01-01,97.43201
2009-02-01,97.36661
2009-03-01,97.48164
2009-04-01,97.87199
2009-05-01,98.20781
2009-06-01,98.453
2009-07-01,98.58228
2009-08-01,98.70562
2009-09-01,99.1237
2009-10-01,99.57101
2009-11-01,99.90662
2009-12-01,100.0101
2010-01-01,99.92117
2010-02-01,99.57775
2010-03-01,99.16901
2010-04-01,98.81863
2010-05-01,98.492
2010-06-01,98.34652
2010-07-01,98.451
2010-08-01,98.69351
2010-09-01,98.91456
2010-10-01,99.16619
2010-11-01,99.30613
2010-12-01,99.06297
2011-01-01,98.6883
2011-02-01,98.38145
2011-03-01,98.16242
2011-04-01,98.07323
2011-05-01,98.10641
2011-06-01,98.08308
2011-07-01,97.96291
2011-08-01,97.68269
2011-09-01,97.56694
2011-10-01,97.55197
2011-11-01,97.38087
2011-12-01,97.30495
2012-01-01,97.51556
