date,cci
1975-01-01,96.91897
1975-02-01,96.20615
1975-03-01,95.49467
1975-04-01,94.96516
1975-05-01,94.76198
1975-06-01,95.01893
1975-07-01,95.5587
1975-08-01,96.13969
1975-09-01,96.6718
1975-10-01,97.1392
1975-11-01,97.57198
1975-12-01,98.08244
1976-01-01,98.68426
1976-02-01,99.28565
1976-03-01,99.84326
1976-04-01,100.2645
1976-05-01,100.3535
1976-06-01,99.894
1976-07-01,99.06375
1976-08-01,98.13846
1976-09-01,97.31464
1976-10-01,96.87927
1976-11-01,97.0261
1976-12-01,97.53544
1977-01-01,98.13107
1977-02-01,98.47466
1977-03-01,98.57755
1977-04-01,98.7091
1977-05-01,99.04188
1977-06-01,99.77203
1977-07-01,100.7864
1977-08-01,101.9401
1977-09-01,103.0492
1977-10-01,103.9967
1977-11-01,104.6311
1977-12-01,105.0775
1978-01-01,105.3559
1978-02-01,105.4379
1978-03-01,105.4725
1978-04-01,105.4521
1978-05-01,105.4295
1978-06-01,105.2867
1978-07-01,105.0094
1978-08-01,104.5778
1978-09-01,103.9921
1978-10-01,103.2003
1978-11-01,102.1804
1978-12-01,101.2281
1979-01-01,100.7176
1979-02-01,101.0462
1979-03-01,101.8857
1979-04-01,102.8613
1979-05-01,103.4673
1979-06-01,103.3514
1979-07-01,102.7159
1979-08-01,101.9296
1979-09-01,101.1565
1979-10-01,100.3858
1979-11-01,99.70155
1979-12-01,99.04595
1980-01-01,98.3997
1980-02-01,97.68212
1980-03-01,97.14544
1980-04-01,97.08496
1980-05-01,97.11636
1980-06-01,96.99183
1980-07-01,96.82045
1980-08-01,96.94095
1980-09-01,97.08553
1980-10-01,97.26691
1980-11-01,97.12998
1980-12-01,97.02973
1981-01-01,97.16075
1981-02-01,97.15374
1981-03-01,96.95194
1981-04-01,96.81815
1981-05-01,97.03281
1981-06-01,97.02027
1981-07-01,96.89729
1981-08-01,96.98174
1981-09-01,97.16008
1981-10-01,97.05471
1981-11-01,97.10501
1981-12-01,97.16146
1982-01-01,97.44284
1982-02-01,97.72417
1982-03-01,98.31468
1982-04-01,99.02084
1982-05-01,99.81523
1982-06-01,100.3822
1982-07-01,100.583
1982-08-01,100.644
1982-09-01,100.7046
1982-10-01,101.0077
1982-11-01,101.3352
1982-12-01,101.4613
1983-01-01,101.5796
1983-02-01,101.674
1983-03-01,101.9039
1983-04-01,102.0061
1983-05-01,102.072
1983-06-01,102.194
1983-07-01,102.3997
1983-08-01,102.5294
1983-09-01,102.5344
1983-10-01,102.5991
1983-11-01,102.8843
1983-12-01,103.2102
1984-01-01,103.2757
1984-02-01,103.0873
1984-03-01,102.6421
1984-04-01,102.1165
1984-05-01,101.3033
1984-06-01,100.6414
1984-07-01,100.2659
1984-08-01,100.1661
1984-09-01,100.3093
1984-10-01,100.4888
1984-11-01,100.6842
1984-12-01,100.6301
1985-01-01,100.1245
1985-02-01,99.5869
1985-03-01,99.32922
1985-04-01,99.11147
1985-05-01,98.92828
1985-06-01,98.84876
1985-07-01,98.97314
1985-08-01,99.18475
1985-09-01,99.50427
1985-10-01,99.75211
1985-11-01,99.88381
