date,cci
1985-01-01,103.2403
1985-02-01,103.4127
1985-03-01,103.6923
1985-04-01,104.1213
1985-05-01,104.397
1985-06-01,104.5152
1985-07-01,104.4947
1985-08-01,104.2587
1985-09-01,103.6555
1985-10-01,102.6943
1985-11-01,102.149
1985-12-01,102.0305
1986-01-01,102.1324
1986-02-01,102.1495
1986-03-01,101.9747
1986-04-01,101.764
1986-05-01,101.5204
1986-06-01,101.387
1986-07-01,101.2999
1986-08-01,101.1621
1986-09-01,101.0687
1986-10-01,101.032
1986-11-01,100.9514
1986-12-01,100.8698
1987-01-01,100.8344
1987-02-01,100.7169
1987-03-01,100.5517
1987-04-01,100.4604
1987-05-01,100.3504
1987-06-01,100.3353
1987-07-01,100.323
1987-08-01,100.4019
1987-09-01,100.496
1987-10-01,100.5192
1987-11-01,100.5977
1987-12-01,100.8679
1988-01-01,101.2331
1988-02-01,101.4095
1988-03-01,101.4267
1988-04-01,101.4381
1988-05-01,101.5107
1988-06-01,101.5317
1988-07-01,101.4931
1988-08-01,101.5803
1988-09-01,101.7716
1988-10-01,101.9154
1988-11-01,101.965
1988-12-01,102.055
1989-01-01,102.2731
1989-02-01,102.4735
1989-03-01,102.65
1989-04-01,102.8045
1989-05-01,102.9217
1989-06-01,102.9794
1989-07-01,103.0238
1989-08-01,102.9608
1989-09-01,102.7999
1989-10-01,102.5387
1989-11-01,102.0354
1989-12-01,101.6268
1990-01-01,101.4913
1990-02-01,101.5208
1990-03-01,101.7175
1990-04-01,101.9726
1990-05-01,102.0474
1990-06-01,102.061
1990-07-01,101.9342
1990-08-01,101.5546
1990-09-01,101.2474
1990-10-01,101.1786
1990-11-01,101.2089
1990-12-01,101.1823
1991-01-01,101.1842
1991-02-01,101.2247
1991-03-01,101.2915
1991-04-01,101.3094
1991-05-01,101.2801
1991-06-01,101.236
1991-07-01,101.229
1991-08-01,101.223
1991-09-01,101.1148
1991-10-01,100.9186
1991-11-01,100.7234
1991-12-01,100.6552
1992-01-01,100.4947
1992-02-01,100.3784
1992-03-01,100.2987
1992-04-01,100.3578
1992-05-01,100.4765
1992-06-01,100.5272
1992-07-01,100.3531
1992-08-01,100.0196
1992-09-01,99.8234
1992-10-01,99.74626
1992-11-01,99.61009
1992-12-01,99.62142
1993-01-01,99.73771
1993-02-01,99.97225
1993-03-01,100.1816
1993-04-01,100.3399
1993-05-01,100.4388
1993-06-01,100.5502
1993-07-01,100.7676
1993-08-01,101.0538
1993-09-01,101.5049
1993-10-01,101.9951
1993-11-01,102.2067
1993-12-01,102.1709
