date,cci
1975-01-01,94.97253
1975-02-01,95.15717
1975-03-01,95.42643
1975-04-01,95.82855
1975-05-01,96.20532
1975-06-01,96.6171
1975-07-01,97.1315
1975-08-01,97.577
1975-09-01,98.02117
1975-10-01,98.49061
1975-11-01,98.69218
1975-12-01,98.53617
1976-01-01,98.10018
1976-02-01,97.78512
1976-03-01,97.59315
1976-04-01,97.44276
1976-05-01,97.36076
1976-06-01,97.30177
1976-07-01,97.23024
1976-08-01,97.17943
1976-09-01,97.15751
1976-10-01,97.19838
1976-11-01,97.38358
1976-12-01,97.80145
1977-01-01,98.36187
1977-02-01,98.7093
1977-03-01,98.82037
1977-04-01,98.8219
1977-05-01,98.87978
1977-06-01,99.19753
1977-07-01,99.79285
1977-08-01,100.3455
1977-09-01,100.9251
1977-10-01,101.6045
1977-11-01,102.2105
1977-12-01,102.8025
1978-01-01,103.3977
1978-02-01,103.7098
1978-03-01,103.7118
1978-04-01,103.489
1978-05-01,103.2379
1978-06-01,102.9916
1978-07-01,102.7063
1978-08-01,102.5073
1978-09-01,102.3124
1978-10-01,102.0313
1978-11-01,101.7602
1978-12-01,101.4014
1979-01-01,100.9339
1979-02-01,100.6073
1979-03-01,100.4168
1979-04-01,100.2636
1979-05-01,100.1463
1979-06-01,99.98272
1979-07-01,99.72715
1979-08-01,99.53421
1979-09-01,99.35253
1979-10-01,99.11775
1979-11-01,98.93417
1979-12-01,98.81322
1980-01-01,98.69168
1980-02-01,98.55256
1980-03-01,98.38125
1980-04-01,98.13917
1980-05-01,97.9351
1980-06-01,97.771
1980-07-01,97.58056
1980-08-01,97.39339
1980-09-01,97.19457
1980-10-01,96.94633
1980-11-01,96.78694
1980-12-01,96.78261
1981-01-01,96.92147
1981-02-01,97.11791
1981-03-01,97.40454
1981-04-01,97.73581
1981-05-01,97.86675
1981-06-01,97.68349
1981-07-01,97.2377
1981-08-01,96.76446
1981-09-01,96.30084
1981-10-01,95.82834
1981-11-01,95.57101
1981-12-01,95.64083
1982-01-01,95.9642
1982-02-01,96.21205
1982-03-01,96.30372
1982-04-01,96.32445
1982-05-01,96.26835
1982-06-01,96.18306
1982-07-01,96.06043
1982-08-01,95.92183
1982-09-01,95.77531
1982-10-01,95.5888
1982-11-01,95.43662
1982-12-01,95.35513
1983-01-01,95.32948
1983-02-01,95.2096
1983-03-01,94.90141
1983-04-01,94.4866
1983-05-01,94.19997
1983-06-01,94.18256
1983-07-01,94.43732
1983-08-01,94.68124
1983-09-01,94.91757
1983-10-01,95.19207
1983-11-01,95.35657
1983-12-01,95.45622
1984-01-01,95.56503
1984-02-01,95.68614
1984-03-01,95.80857
1984-04-01,95.95139
1984-05-01,96.04142
1984-06-01,96.10118
1984-07-01,96.15892
1984-08-01,96.18884
1984-09-01,96.21875
1984-10-01,96.30024
1984-11-01,96.47866
1984-12-01,96.87714
1985-01-01,97.51813
1985-02-01,97.92491
1985-03-01,98.0192
1985-04-01,97.91277
1985-05-01,97.86291
1985-06-01,97.98173
1985-07-01,98.3026
1985-08-01,98.61173
1985-09-01,98.93783
1985-10-01,99.24306
1985-11-01,99.31196
1985-12-01,99.19068
1986-01-01,98.98572
1986-02-01,98.88594
1986-03-01,98.80509
1986-04-01,98.69662
1986-05-01,98.66762
1986-06-01,98.73985
1986-07-01,98.89536
1986-08-01,98.95458
1986-09-01,98.86747
1986-10-01,98.72049
1986-11-01,98.50939
1986-12-01,98.41853
1987-01-01,98.48603
1987-02-01,98.64509
1987-03-01,98.75562
