date,cci
1975-01-01,94.31562
1975-02-01,94.68395
1975-03-01,95.12886
1975-04-01,95.57777
1975-05-01,95.88956
1975-06-01,95.9486
1975-07-01,95.89598
1975-08-01,95.799
1975-09-01,95.70377
1975-10-01,95.73219
1975-11-01,95.90569
1975-12-01,96.11681
1976-01-01,96.22719
1976-02-01,96.12798
1976-03-01,95.90091
1976-04-01,95.64606
1976-05-01,95.4374
1976-06-01,95.30611
1976-07-01,95.17774
1976-08-01,95.00356
1976-09-01,94.88887
1976-10-01,94.99567
1976-11-01,95.38589
1976-12-01,95.91456
1977-01-01,96.38263
1977-02-01,96.55127
1977-03-01,96.48833
1977-04-01,96.39966
1977-05-01,96.42062
1977-06-01,96.7047
1977-07-01,97.13107
1977-08-01,97.56346
1977-09-01,97.96691
1977-10-01,98.24676
1977-11-01,98.38827
1977-12-01,98.44827
1978-01-01,98.41366
1978-02-01,98.41285
1978-03-01,98.47894
1978-04-01,98.55051
1978-05-01,98.677
1978-06-01,98.9472
1978-07-01,99.36267
1978-08-01,99.83916
1978-09-01,100.334
1978-10-01,100.6414
1978-11-01,100.7115
1978-12-01,100.6152
1979-01-01,100.4738
1979-02-01,100.2837
1979-03-01,100.0577
1979-04-01,99.74377
1979-05-01,99.45107
1979-06-01,99.2208
1979-07-01,99.04745
1979-08-01,98.83749
1979-09-01,98.58282
1979-10-01,98.29916
1979-11-01,98.00919
1979-12-01,97.75482
1980-01-01,97.61554
1980-02-01,97.69135
1980-03-01,97.97048
1980-04-01,98.25369
1980-05-01,98.41802
1980-06-01,98.40517
1980-07-01,98.32863
1980-08-01,98.21503
1980-09-01,98.0807
1980-10-01,98.04527
1980-11-01,98.19444
1980-12-01,98.34404
1981-01-01,98.43371
1981-02-01,98.37739
1981-03-01,98.24513
1981-04-01,98.04794
1981-05-01,97.87
1981-06-01,97.79435
1981-07-01,97.80936
1981-08-01,97.88438
1981-09-01,97.95465
1981-10-01,98.11792
1981-11-01,98.56406
1981-12-01,99.14034
1982-01-01,99.71983
1982-02-01,100.168
1982-03-01,100.3066
1982-04-01,100.2792
1982-05-01,100.1422
1982-06-01,99.61962
1982-07-01,99.05558
1982-08-01,98.57868
1982-09-01,98.12333
1982-10-01,97.63507
1982-11-01,97.25445
1982-12-01,96.99074
1983-01-01,96.83109
1983-02-01,97.0042
1983-03-01,97.32552
1983-04-01,97.56704
1983-05-01,97.67909
1983-06-01,97.82024
1983-07-01,97.97382
1983-08-01,98.07819
1983-09-01,98.14472
1983-10-01,98.15341
1983-11-01,98.25785
1983-12-01,98.50502
1984-01-01,98.7309
1984-02-01,98.85625
1984-03-01,98.93224
1984-04-01,99.01516
1984-05-01,99.36185
1984-06-01,99.80386
1984-07-01,100.2152
1984-08-01,100.6133
1984-09-01,101.0193
1984-10-01,101.3316
1984-11-01,101.4623
1984-12-01,101.5683
1985-01-01,101.6493
1985-02-01,101.4413
1985-03-01,101.1236
1985-04-01,101.01
1985-05-01,101.0259
1985-06-01,101.2013
1985-07-01,101.4651
1985-08-01,101.5782
1985-09-01,101.5216
1985-10-01,101.4097
1985-11-01,101.385
1985-12-01,101.4306
1986-01-01,101.6669
1986-02-01,101.9797
1986-03-01,102.3273
1986-04-01,102.536
1986-05-01,102.6043
1986-06-01,102.603
1986-07-01,102.5249
1986-08-01,102.5852
1986-09-01,102.8107
1986-10-01,103.0065
1986-11-01,103.0196
1986-12-01,102.9503
1987-01-01,102.976
1987-02-01,102.9589
1987-03-01,102.8549
1987-04-01,102.6492
1987-05-01,102.4604
1987-06-01,102.3387
1987-07-01,102.2917
1987-08-01,102.1895
1987-09-01,102.0011
1987-10-01,101.8968
1987-11-01,101.9754
1987-12-01,102.1507
1988-01-01,102.2094
1988-02-01,102.2052
1988-03-01,102.1831
1988-04-01,102.211
1988-05-01,102.1304
1988-06-01,102.1524
1988-07-01,102.2058
