date,cci
1982-04-01,100.6028
1982-05-01,100.4187
1982-06-01,100.2479
1982-07-01,100.1182
1982-08-01,100.0596
1982-09-01,100.0513
1982-10-01,100.0801
1982-11-01,100.1488
1982-12-01,100.2471
1983-01-01,100.3747
1983-02-01,100.5346
1983-03-01,100.6966
1983-04-01,100.8204
1983-05-01,100.8769
1983-06-01,100.9071
1983-07-01,100.9658
1983-08-01,101.0908
1983-09-01,101.245
1983-10-01,101.374
1983-11-01,101.4346
1983-12-01,101.449
1984-01-01,101.4444
1984-02-01,101.4381
1984-03-01,101.4427
1984-04-01,101.4719
1984-05-01,101.5361
1984-06-01,101.6132
1984-07-01,101.676
1984-08-01,101.7064
1984-09-01,101.7242
1984-10-01,101.7565
1984-11-01,101.8201
1984-12-01,101.8892
1985-01-01,101.9229
1985-02-01,101.8882
1985-03-01,101.8174
1985-04-01,101.7513
1985-05-01,101.7185
1985-06-01,101.7105
1985-07-01,101.7136
1985-08-01,101.7177
1985-09-01,101.7131
1985-10-01,101.686
1985-11-01,101.6233
1985-12-01,101.5397
1986-01-01,101.4493
1986-02-01,101.3568
1986-03-01,101.2574
1986-04-01,101.1374
1986-05-01,100.9821
1986-06-01,100.8042
1986-07-01,100.6166
1986-08-01,100.4268
1986-09-01,100.2418
1986-10-01,100.0752
1986-11-01,99.94865
1986-12-01,99.87611
1987-01-01,99.89856
1987-02-01,100.0652
1987-03-01,100.3193
1987-04-01,100.6065
1987-05-01,100.8946
1987-06-01,101.1611
1987-07-01,101.3794
1987-08-01,101.5266
1987-09-01,101.6401
1987-10-01,101.7614
1987-11-01,101.9142
1987-12-01,102.0748
1988-01-01,102.202
1988-02-01,102.2597
1988-03-01,102.2724
1988-04-01,102.2672
1988-05-01,102.2621
1988-06-01,102.2702
1988-07-01,102.3051
1988-08-01,102.373
1988-09-01,102.4379
1988-10-01,102.4444
1988-11-01,102.3454
1988-12-01,102.1862
1989-01-01,102.021
1989-02-01,101.8891
1989-03-01,101.797
1989-04-01,101.7588
1989-05-01,101.797
1989-06-01,101.8891
1989-07-01,102.0209
1989-08-01,102.186
1989-09-01,102.3452
1989-10-01,102.4444
1989-11-01,102.4387
1989-12-01,102.3758
1990-01-01,102.3104
1990-02-01,102.2753
1990-03-01,102.256
1990-04-01,102.2248
1990-05-01,102.1613
1990-06-01,102.0826
1990-07-01,102.0157
1990-08-01,101.9847
1990-09-01,101.9863
1990-10-01,102.0207
1990-11-01,102.0902
1990-12-01,102.1643
1991-01-01,102.2023
1991-02-01,102.1704
1991-03-01,102.0949
1991-04-01,102.0033
1991-05-01,101.9074
1991-06-01,101.8045
1991-07-01,101.6809
1991-08-01,101.524
1991-09-01,101.3538
1991-10-01,101.1973
1991-11-01,101.0758
1991-12-01,100.978
1992-01-01,100.8904
1992-02-01,100.8034
1992-03-01,100.7075
1992-04-01,100.5888
1992-05-01,100.4337
1992-06-01,100.2556
1992-07-01,100.0676
1992-08-01,99.87728
1992-09-01,99.69186
1992-10-01,99.52558
1992-11-01,99.40214
1992-12-01,99.33804
1993-01-01,99.37453
1993-02-01,99.55031
1993-03-01,99.77343
1993-04-01,99.92004
1993-05-01,99.88569
1993-06-01,99.71309
1993-07-01,99.44355
1993-08-01,99.10665
1993-09-01,98.80679
1993-10-01,98.69417
1993-11-01,98.89878
1993-12-01,99.27711
1994-01-01,99.66492
1994-02-01,99.95625
1994-03-01,100.1731
1994-04-01,100.3569
1994-05-01,100.5348
1994-06-01,100.7186
1994-07-01,100.9101
1994-08-01,101.1001
1994-09-01,101.2598
1994-10-01,101.3337
1994-11-01,101.2628
1994-12-01,101.0941
1995-01-01,100.8679
1995-02-01,100.6041
1995-03-01,100.3449
1995-04-01,100.1449
1995-05-01,100.0551
1995-06-01,100.049
1995-07-01,100.1125
1995-08-01,100.2494
1995-09-01,100.4183
1995-10-01,100.5787
1995-11-01,100.7052
1995-12-01,100.8093
1996-01-01,100.9053
1996-02-01,100.9971
