date,cci
1998-12-01,98.93985
1999-01-01,99.29426
1999-02-01,99.65509
1999-03-01,100.0063
1999-04-01,100.407
1999-05-01,100.8475
1999-06-01,101.1888
1999-07-01,101.447
1999-08-01,101.6295
1999-09-01,101.7576
1999-10-01,101.8179
1999-11-01,101.7811
1999-12-01,101.6164
2000-01-01,101.3577
2000-02-01,101.1499
2000-03-01,100.9601
2000-04-01,100.8004
2000-05-01,100.6664
2000-06-01,100.6521
2000-07-01,100.5812
2000-08-01,100.184
2000-09-01,99.33106
2000-10-01,98.56378
2000-11-01,97.90548
2000-12-01,97.74722
2001-01-01,98.10075
2001-02-01,98.59395
2001-03-01,99.06416
2001-04-01,99.47912
2001-05-01,99.86626
2001-06-01,100.0752
2001-07-01,100.0414
2001-08-01,99.81441
2001-09-01,99.50216
2001-10-01,99.57249
2001-11-01,99.96693
2001-12-01,100.4889
2002-01-01,100.9717
2002-02-01,101.3181
2002-03-01,101.5213
2002-04-01,101.5694
2002-05-01,101.6419
2002-06-01,101.7362
2002-07-01,101.6539
2002-08-01,101.3657
2002-09-01,100.8564
2002-10-01,100.2209
2002-11-01,99.70058
2002-12-01,99.44533
2003-01-01,99.26508
2003-02-01,99.07724
2003-03-01,98.86503
2003-04-01,98.88013
2003-05-01,98.93774
2003-06-01,98.93398
2003-07-01,98.98062
2003-08-01,99.06861
2003-09-01,99.15455
2003-10-01,99.36859
2003-11-01,99.61781
2003-12-01,99.74202
2004-01-01,99.70837
2004-02-01,99.59066
2004-03-01,99.51422
2004-04-01,99.52216
2004-05-01,99.31157
2004-06-01,99.02436
2004-07-01,98.76265
2004-08-01,98.59483
2004-09-01,98.53627
2004-10-01,98.46556
2004-11-01,98.36069
2004-12-01,98.42886
2005-01-01,98.90073
2005-02-01,99.65159
2005-03-01,100.1437
2005-04-01,100.199
2005-05-01,100.0105
2005-06-01,99.77539
2005-07-01,99.70695
2005-08-01,99.79574
2005-09-01,100.0113
2005-10-01,100.2578
2005-11-01,100.4099
2005-12-01,100.4362
2006-01-01,100.3355
2006-02-01,100.2
2006-03-01,100.0045
2006-04-01,99.72797
2006-05-01,99.51864
2006-06-01,99.40892
2006-07-01,99.33219
2006-08-01,99.32139
2006-09-01,99.34895
2006-10-01,99.36727
2006-11-01,99.3255
2006-12-01,99.21037
2007-01-01,99.16199
2007-02-01,99.24867
2007-03-01,99.38218
2007-04-01,99.58613
2007-05-01,99.86243
2007-06-01,100.1649
2007-07-01,100.4483
2007-08-01,100.6325
2007-09-01,100.7032
2007-10-01,100.7203
2007-11-01,100.6583
2007-12-01,100.582
2008-01-01,100.3973
2008-02-01,100.1049
2008-03-01,99.71951
2008-04-01,99.23589
2008-05-01,98.55626
2008-06-01,97.92932
2008-07-01,97.62396
2008-08-01,97.94966
2008-09-01,97.84586
2008-10-01,97.11548
2008-11-01,96.36597
2008-12-01,95.96455
2009-01-01,96.1072
2009-02-01,96.51
2009-03-01,97.27242
2009-04-01,98.71124
2009-05-01,100.0803
2009-06-01,101.0017
2009-07-01,101.6646
2009-08-01,102.2445
2009-09-01,102.5799
2009-10-01,102.7325
2009-11-01,102.5765
2009-12-01,102.3575
2010-01-01,102.1816
2010-02-01,102.0133
2010-03-01,101.9249
2010-04-01,101.9098
2010-05-01,101.9565
2010-06-01,102.0188
2010-07-01,101.9844
2010-08-01,101.8488
2010-09-01,101.7503
2010-10-01,101.7646
2010-11-01,101.8559
2010-12-01,101.7887
2011-01-01,101.4947
2011-02-01,100.9776
2011-03-01,100.3848
2011-04-01,100.1997
2011-05-01,100.2511
2011-06-01,100.2089
2011-07-01,100.0655
2011-08-01,99.83789
2011-09-01,99.76992
2011-10-01,99.89432
2011-11-01,99.99715
2011-12-01,99.8632
2012-01-01,99.8241
2012-02-01,100.0342
2012-03-01,100.3174
2012-04-01,100.5636
2012-05-01,100.5342
2012-06-01,100.2223
2012-07-01,99.94151
2012-08-01,99.77996
2012-09-01,99.68835
2012-10-01,99.701
2012-11-01,99.74622
2012-12-01,99.82605
2013-01-01,100.0006
2013-02-01,100.1455
2013-03-01,100.2803
2013-04-01,100.3349
2013-05-01,100.4436
2013-06-01,100.5208
2013-07-01,100.522
2013-08-01,100.485
2013-09-01,100.4843
2013-10-01,100.6977
2013-11-01,100.919
2013-12-01,101.0691
2014-01-01,101.1969
2014-02-01,101.2256
2014-03-01,101.1946
2014-04-01,101.0831
2014-05-01,100.915
2014-06-01,100.8703
2014-07-01,100.8468
2014-08-01,100.8893
2014-09-01,100.858
2014-10-01,100.6672
2014-11-01,100.4351
2014-12-01,100.2896
2015-01-01,100.2903
2015-02-01,100.3365
2015-03-01,100.3744
2015-04-01,100.4394
2015-05-01,100.3662
2015-06-01,100.1241
2015-07-01,100.0819
2015-08-01,100.2144
2015-09-01,100.4262
2015-10-01,100.611
2015-11-01,100.6027
2015-12-01,100.3607
2016-01-01,100.0664
2016-02-01,99.89243
2016-03-01,99.91199
2016-04-01,99.9622
2016-05-01,99.93522
2016-06-01,99.9647
2016-07-01,100.0978
2016-08-01,100.2064
2016-09-01,100.1797
2016-10-01,99.94832
2016-11-01,99.49683
2016-12-01,99.13898
2017-01-01,99.00787
2017-02-01,99.16222
2017-03-01,99.59917
2017-04-01,100.2627
2017-05-01,100.9763
2017-06-01,101.4455
2017-07-01,101.5796
2017-08-01,101.4958
2017-09-01,101.4001
2017-10-01,101.4636
2017-11-01,101.5932
2017-12-01,101.5895
2018-01-01,101.4911
2018-02-01,101.3562
2018-03-01,101.2573
2018-04-01,101.165
2018-05-01,101.0317
2018-06-01,100.736
2018-07-01,100.3496
2018-08-01,100.0624
2018-09-01,99.90397
2018-10-01,99.74924
2018-11-01,99.59535
2018-12-01,99.5981
2019-01-01,99.72277
2019-02-01,99.90417
2019-03-01,100.0255
2019-04-01,100.0328
2019-05-01,99.84314
2019-06-01,99.61873
2019-07-01,99.40878
2019-08-01,99.3298
2019-09-01,99.55354
2019-10-01,99.88305
2019-11-01,100.1798
2019-12-01,100.271
2020-01-01,99.97801
2020-02-01,98.96621
2020-03-01,97.55569
2020-04-01,96.69753
2020-05-01,96.73626
2020-06-01,97.17339
2020-07-01,97.60503
2020-08-01,97.89124
2020-09-01,98.06468
2020-10-01,98.60651
2020-11-01,99.03033
2020-12-01,99.08596
2021-01-01,99.26764
2021-02-01,99.57484
2021-03-01,99.9668
2021-04-01,100.3659
2021-05-01,100.7243
2021-06-01,100.8913
2021-07-01,100.6983
2021-08-01,100.5617
2021-09-01,100.625
2021-10-01,100.792
2021-11-01,100.8412
2021-12-01,100.7174
2022-01-01,100.6153
2022-02-01,100.5416
2022-03-01,100.5055
2022-04-01,100.3854
2022-05-01,99.99459
2022-06-01,99.29013
2022-07-01,98.58614
2022-08-01,98.34106
2022-09-01,98.32317
2022-10-01,98.25504
2022-11-01,98.21608
2022-12-01,98.32605
2023-01-01,98.44378
2023-02-01,98.57491
2023-03-01,98.82819
2023-04-01,99.21037
2023-05-01,99.63916
2023-06-01,100.0197
2023-07-01,100.2448
2023-08-01,100.2136
2023-09-01,99.97664
2023-10-01,99.75188
2023-11-01,99.65903
2023-12-01,99.70743
