date,cci
2001-04-01,104.7304
2001-05-01,104.0525
2001-06-01,103.9543
2001-07-01,104.4012
2001-08-01,104.5156
2001-09-01,103.7437
2001-10-01,102.6898
2001-11-01,101.8186
2001-12-01,100.7085
2002-01-01,99.30559
2002-02-01,98.96419
2002-03-01,99.36782
2002-04-01,99.9777
2002-05-01,100.5494
2002-06-01,100.9664
2002-07-01,101.3277
2002-08-01,101.6153
2002-09-01,101.7644
2002-10-01,101.9053
2002-11-01,102.0017
2002-12-01,101.5578
2003-01-01,100.6854
2003-02-01,99.82207
2003-03-01,99.34513
2003-04-01,99.71307
2003-05-01,100.1986
2003-06-01,100.584
2003-07-01,100.7284
2003-08-01,100.6601
2003-09-01,100.4632
2003-10-01,100.3024
2003-11-01,100.0449
2003-12-01,99.75021
2004-01-01,99.69481
2004-02-01,99.75056
2004-03-01,99.78872
2004-04-01,100.0135
2004-05-01,100.234
2004-06-01,100.2284
2004-07-01,99.95441
2004-08-01,99.77942
2004-09-01,99.86142
2004-10-01,100.0336
2004-11-01,100.4242
2004-12-01,101.0312
2005-01-01,101.677
2005-02-01,102.0616
2005-03-01,101.7419
2005-04-01,101.1287
2005-05-01,100.6413
2005-06-01,100.5259
2005-07-01,100.5513
2005-08-01,100.7014
2005-09-01,101.2582
2005-10-01,101.9236
2005-11-01,102.4517
2005-12-01,102.8321
2006-01-01,103.1329
2006-02-01,103.4099
2006-03-01,103.5826
2006-04-01,103.5621
2006-05-01,103.46
2006-06-01,103.4579
2006-07-01,103.5886
2006-08-01,103.6995
2006-09-01,103.7866
2006-10-01,103.7421
2006-11-01,103.4094
2006-12-01,102.9436
2007-01-01,102.4502
2007-02-01,102.2656
2007-03-01,102.3241
2007-04-01,102.4799
2007-05-01,102.5822
2007-06-01,102.5371
2007-07-01,102.4611
2007-08-01,102.3758
2007-09-01,102.1153
2007-10-01,101.8547
2007-11-01,101.6981
2007-12-01,101.6604
2008-01-01,101.5699
2008-02-01,101.3335
2008-03-01,100.8835
2008-04-01,100.1142
2008-05-01,99.2366
2008-06-01,98.38512
2008-07-01,97.73548
2008-08-01,97.36771
2008-09-01,97.0297
2008-10-01,96.68681
2008-11-01,96.45062
2008-12-01,96.04956
2009-01-01,95.64913
2009-02-01,95.3502
2009-03-01,95.25787
2009-04-01,95.38033
2009-05-01,95.46796
2009-06-01,95.74565
2009-07-01,95.9803
2009-08-01,95.77423
2009-09-01,95.51168
2009-10-01,95.32366
2009-11-01,95.35281
2009-12-01,95.46755
2010-01-01,95.69084
2010-02-01,95.88311
2010-03-01,96.09846
2010-04-01,96.40542
2010-05-01,96.82053
2010-06-01,97.18178
2010-07-01,97.43535
2010-08-01,97.78403
2010-09-01,98.23815
2010-10-01,98.54598
2010-11-01,98.65463
2010-12-01,98.68964
2011-01-01,98.76039
2011-02-01,98.83768
2011-03-01,98.72322
2011-04-01,98.52611
2011-05-01,98.54826
2011-06-01,98.78038
2011-07-01,98.94747
2011-08-01,98.89198
2011-09-01,98.76952
2011-10-01,98.70577
2011-11-01,98.66425
2011-12-01,98.72672
2012-01-01,99.08919
2012-02-01,99.43575
2012-03-01,99.6714
2012-04-01,99.91843
2012-05-01,99.97734
2012-06-01,99.9544
2012-07-01,100.0378
2012-08-01,100.0115
2012-09-01,99.88814
2012-10-01,100.0297
2012-11-01,100.2733
2012-12-01,100.6021
2013-01-01,100.7122
2013-02-01,100.4926
2013-03-01,100.189
2013-04-01,99.88263
2013-05-01,99.62012
2013-06-01,99.50671
