date,cci
1975-01-01,99.79343
1975-02-01,99.76393
1975-03-01,99.71193
1975-04-01,99.6404
1975-05-01,99.56706
1975-06-01,99.45135
1975-07-01,99.26771
1975-08-01,99.12133
1975-09-01,98.99792
1975-10-01,98.91011
1975-11-01,99.02084
1975-12-01,99.44198
1976-01-01,100.1235
1976-02-01,100.5772
1976-03-01,100.6408
1976-04-01,100.4589
1976-05-01,100.2738
1976-06-01,100.1743
1976-07-01,100.1361
1976-08-01,100.1209
1976-09-01,100.115
1976-10-01,100.1442
1976-11-01,100.2798
1976-12-01,100.6095
1977-01-01,101.1017
1977-02-01,101.4203
1977-03-01,101.4452
1977-04-01,101.2423
1977-05-01,101.0393
1977-06-01,100.8498
1977-07-01,100.6763
1977-08-01,100.5549
1977-09-01,100.4399
1977-10-01,100.3251
1977-11-01,100.3588
1977-12-01,100.6693
1978-01-01,101.1867
1978-02-01,101.477
1978-03-01,101.3813
1978-04-01,101.0154
1978-05-01,100.7202
1978-06-01,100.5603
1978-07-01,100.4745
1978-08-01,100.4356
1978-09-01,100.3917
1978-10-01,100.3048
1978-11-01,100.1953
1978-12-01,100.0837
1979-01-01,99.95596
1979-02-01,99.87458
1979-03-01,99.8176
1979-04-01,99.75972
1979-05-01,99.72938
1979-06-01,99.72199
1979-07-01,99.73029
1979-08-01,99.75169
1979-09-01,99.78006
1979-10-01,99.78426
1979-11-01,99.67976
1979-12-01,99.32452
1980-01-01,98.76801
1980-02-01,98.31728
1980-03-01,97.93653
1980-04-01,97.55325
1980-05-01,97.29434
1980-06-01,97.14634
1980-07-01,97.06968
1980-08-01,97.00214
1980-09-01,96.93547
1980-10-01,96.8383
1980-11-01,96.72284
1980-12-01,96.59741
1981-01-01,96.43733
1981-02-01,96.3103
1981-03-01,96.24725
1981-04-01,96.22484
1981-05-01,96.22839
1981-06-01,96.27439
1981-07-01,96.40689
1981-08-01,96.5069
1981-09-01,96.59376
1981-10-01,96.72507
1981-11-01,96.76527
1981-12-01,96.68819
1982-01-01,96.53676
1982-02-01,96.50019
1982-03-01,96.63151
1982-04-01,96.88414
1982-05-01,96.98059
1982-06-01,96.8829
1982-07-01,96.69612
1982-08-01,96.47689
1982-09-01,96.27551
1982-10-01,96.06598
1982-11-01,95.9474
1982-12-01,95.91959
1983-01-01,96.00177
1983-02-01,96.11568
1983-03-01,96.29266
1983-04-01,96.55972
1983-05-01,96.76258
1983-06-01,96.87708
1983-07-01,96.95089
1983-08-01,96.98901
1983-09-01,97.02464
1983-10-01,97.08093
1983-11-01,97.13552
1983-12-01,97.20872
1984-01-01,97.30898
1984-02-01,97.3597
1984-03-01,97.38818
1984-04-01,97.47488
1984-05-01,97.58037
