date,cci
1988-06-01,97.91946
1988-07-01,98.16445
1988-08-01,98.3884
1988-09-01,98.55128
1988-10-01,98.61727
1988-11-01,98.63886
1988-12-01,98.67915
1989-01-01,98.7785
1989-02-01,98.90244
1989-03-01,99.00312
1989-04-01,99.05624
1989-05-01,99.12106
1989-06-01,99.28735
1989-07-01,99.61057
1989-08-01,99.94553
1989-09-01,100.0742
1989-10-01,99.82187
1989-11-01,99.37919
1989-12-01,98.99008
1990-01-01,98.82953
1990-02-01,98.82795
1990-03-01,98.89057
1990-04-01,98.95789
1990-05-01,99.00179
1990-06-01,98.99363
1990-07-01,98.89555
1990-08-01,98.70395
1990-09-01,98.3829
1990-10-01,97.89096
1990-11-01,97.33753
1990-12-01,96.86694
1991-01-01,96.60394
1991-02-01,96.51644
1991-03-01,96.59225
1991-04-01,96.84026
1991-05-01,97.12833
1991-06-01,97.29615
1991-07-01,97.22791
1991-08-01,97.04533
1991-09-01,96.9171
1991-10-01,96.9825
1991-11-01,97.22092
1991-12-01,97.6256
1992-01-01,98.20451
1992-02-01,98.81485
1992-03-01,99.27439
1992-04-01,99.44141
1992-05-01,99.44537
1992-06-01,99.44149
1992-07-01,99.52828
1992-08-01,99.67309
1992-09-01,99.81346
1992-10-01,99.90065
1992-11-01,99.94744
1992-12-01,99.9763
1993-01-01,100.0079
1993-02-01,100.0674
1993-03-01,100.1962
1993-04-01,100.4357
1993-05-01,100.7411
1993-06-01,101.0643
1993-07-01,101.3691
1993-08-01,101.6305
1993-09-01,101.8075
1993-10-01,101.861
1993-11-01,101.8547
1993-12-01,101.8625
1994-01-01,101.9356
1994-02-01,102.0554
1994-03-01,102.1939
1994-04-01,102.3271
1994-05-01,102.43
1994-06-01,102.4611
1994-07-01,102.3769
1994-08-01,102.2188
1994-09-01,102.0245
1994-10-01,101.8134
1994-11-01,101.6085
1994-12-01,101.4399
1995-01-01,101.3413
1995-02-01,101.3112
1995-03-01,101.3682
1995-04-01,101.5377
1995-05-01,101.7523
1995-06-01,101.9289
1995-07-01,102.0014
1995-08-01,101.9913
1995-09-01,101.9192
1995-10-01,101.7995
1995-11-01,101.6966
1995-12-01,101.6917
