date,cci
2001-05-01,97.58542
2001-06-01,97.58934
2001-07-01,97.37901
2001-08-01,97.08223
2001-09-01,97.10949
2001-10-01,97.57919
2001-11-01,97.77168
2001-12-01,97.61003
2002-01-01,97.55053
2002-02-01,97.5201
2002-03-01,97.49456
2002-04-01,97.50826
2002-05-01,97.61741
2002-06-01,97.6789
2002-07-01,97.92585
2002-08-01,98.15915
2002-09-01,98.35123
2002-10-01,98.2883
2002-11-01,98.00071
2002-12-01,97.82594
2003-01-01,97.82464
2003-02-01,97.83096
2003-03-01,97.82729
2003-04-01,97.97952
2003-05-01,98.30859
2003-06-01,98.51765
2003-07-01,98.51361
2003-08-01,98.32265
2003-09-01,98.07348
2003-10-01,97.71108
2003-11-01,97.5156
2003-12-01,97.63477
2004-01-01,97.65687
2004-02-01,97.54982
2004-03-01,97.65984
2004-04-01,98.0715
2004-05-01,98.68442
2004-06-01,99.09212
2004-07-01,99.25563
2004-08-01,99.48996
2004-09-01,99.6159
2004-10-01,99.63866
2004-11-01,99.62196
2004-12-01,99.66521
2005-01-01,99.71276
2005-02-01,99.67664
2005-03-01,99.65876
2005-04-01,99.69652
2005-05-01,99.7392
2005-06-01,99.6517
2005-07-01,99.69064
2005-08-01,99.82402
2005-09-01,100.0036
2005-10-01,100.1769
2005-11-01,100.3562
2005-12-01,100.5702
2006-01-01,100.8295
2006-02-01,100.8716
2006-03-01,100.6898
2006-04-01,100.4703
2006-05-01,100.4633
2006-06-01,100.6414
2006-07-01,100.811
2006-08-01,100.8282
2006-09-01,100.8236
2006-10-01,100.8945
2006-11-01,101.0679
2006-12-01,101.2502
2007-01-01,101.2412
2007-02-01,101.2981
2007-03-01,101.2525
2007-04-01,101.429
2007-05-01,101.6321
2007-06-01,101.7173
2007-07-01,101.7815
2007-08-01,101.7879
2007-09-01,101.9371
2007-10-01,102.1632
2007-11-01,102.3781
2007-12-01,102.4122
2008-01-01,102.235
2008-02-01,102.0867
2008-03-01,102.0539
2008-04-01,102.2385
2008-05-01,102.2927
2008-06-01,102.1264
2008-07-01,101.9364
2008-08-01,102.0404
2008-09-01,102.071
2008-10-01,101.7849
2008-11-01,101.302
2008-12-01,100.8309
2009-01-01,99.96976
2009-02-01,98.96512
2009-03-01,98.49452
2009-04-01,98.74128
2009-05-01,99.24258
2009-06-01,99.57649
2009-07-01,99.71137
2009-08-01,99.92099
2009-09-01,99.90261
2009-10-01,99.85391
2009-11-01,99.80659
