date,cci
1986-06-01,102.8828
1986-07-01,102.9969
1986-08-01,102.9996
1986-09-01,103.0837
1986-10-01,103.096
1986-11-01,103.0025
1986-12-01,102.8957
1987-01-01,102.9508
1987-02-01,103.0227
1987-03-01,103.0617
1987-04-01,103.1196
1987-05-01,103.2523
1987-06-01,103.3829
1987-07-01,103.6208
1987-08-01,103.7773
1987-09-01,103.9125
1987-10-01,104.0609
1987-11-01,104.018
1987-12-01,103.78
1988-01-01,103.508
1988-02-01,103.2566
1988-03-01,102.9125
1988-04-01,102.6811
1988-05-01,102.5678
1988-06-01,102.4725
1988-07-01,102.4205
1988-08-01,102.2652
1988-09-01,102.2114
1988-10-01,102.4212
1988-11-01,102.6167
1988-12-01,102.6939
1989-01-01,102.7038
1989-02-01,102.7358
1989-03-01,102.6721
1989-04-01,102.4704
1989-05-01,102.2854
1989-06-01,102.2398
1989-07-01,102.0795
1989-08-01,102.0039
1989-09-01,102.1397
1989-10-01,102.3227
1989-11-01,102.5107
1989-12-01,102.62
1990-01-01,102.7887
1990-02-01,102.9926
1990-03-01,103.2295
1990-04-01,103.5702
1990-05-01,103.8631
1990-06-01,103.9416
1990-07-01,103.7634
1990-08-01,103.3318
1990-09-01,102.8734
1990-10-01,102.8585
1990-11-01,103.1655
1990-12-01,103.5073
1991-01-01,103.5359
1991-02-01,103.56
1991-03-01,103.7507
1991-04-01,103.8637
1991-05-01,103.8513
1991-06-01,103.7699
1991-07-01,103.7528
1991-08-01,103.6995
1991-09-01,103.7438
1991-10-01,103.8954
1991-11-01,104.0149
1991-12-01,103.9177
1992-01-01,103.6459
1992-02-01,103.1544
1992-03-01,102.7392
1992-04-01,102.6268
1992-05-01,102.704
1992-06-01,102.6686
1992-07-01,102.5411
1992-08-01,102.3859
1992-09-01,102.204
1992-10-01,101.9113
1992-11-01,101.7168
1992-12-01,101.4937
1993-01-01,101.0526
1993-02-01,100.5013
1993-03-01,100.0395
1993-04-01,99.76453
1993-05-01,99.48679
1993-06-01,99.21992
1993-07-01,99.04694
1993-08-01,99.01466
1993-09-01,99.01251
