date,cci
1995-10-01,97.90904
1995-11-01,97.69445
1995-12-01,97.59389
1996-01-01,97.34499
1996-02-01,97.03316
1996-03-01,96.87955
1996-04-01,96.98338
1996-05-01,97.15005
1996-06-01,97.3298
1996-07-01,97.45092
1996-08-01,97.61976
1996-09-01,97.647
1996-10-01,97.71957
1996-11-01,97.69535
1996-12-01,97.57308
1997-01-01,97.59784
1997-02-01,97.78677
1997-03-01,98.17547
1997-04-01,98.60194
1997-05-01,98.94164
1997-06-01,99.11495
1997-07-01,99.23557
1997-08-01,99.43723
1997-09-01,99.8344
1997-10-01,100.2122
1997-11-01,100.3344
1997-12-01,100.3247
1998-01-01,100.2463
1998-02-01,100.0034
1998-03-01,99.90755
1998-04-01,99.97112
1998-05-01,100.0307
1998-06-01,99.95455
1998-07-01,100.0711
1998-08-01,100.1605
1998-09-01,100.2327
1998-10-01,100.2757
1998-11-01,100.2646
1998-12-01,100.0914
1999-01-01,100.0642
1999-02-01,100.0498
1999-03-01,100.1249
1999-04-01,100.2922
1999-05-01,100.5676
1999-06-01,100.8677
1999-07-01,101.0864
1999-08-01,101.392
1999-09-01,101.6284
1999-10-01,101.6874
1999-11-01,101.7066
1999-12-01,101.7932
2000-01-01,101.9237
2000-02-01,101.9655
2000-03-01,102.0073
2000-04-01,101.9652
2000-05-01,101.8661
2000-06-01,101.781
2000-07-01,101.708
2000-08-01,101.6834
2000-09-01,101.5575
2000-10-01,101.425
2000-11-01,101.128
2000-12-01,100.7135
2001-01-01,100.2962
2001-02-01,99.95836
2001-03-01,99.70583
2001-04-01,99.50742
2001-05-01,99.46629
2001-06-01,99.47578
2001-07-01,99.31496
2001-08-01,99.12711
2001-09-01,98.98407
2001-10-01,99.12823
2001-11-01,99.49187
2001-12-01,100.014
2002-01-01,100.6836
2002-02-01,101.3157
2002-03-01,101.6409
2002-04-01,101.5958
2002-05-01,101.4855
2002-06-01,101.4598
2002-07-01,101.46
2002-08-01,101.2994
2002-09-01,101.0697
2002-10-01,100.8408
2002-11-01,100.6731
2002-12-01,100.4129
2003-01-01,100.1582
2003-02-01,99.94937
2003-03-01,99.72583
2003-04-01,99.69723
2003-05-01,99.88921
2003-06-01,100.2533
2003-07-01,100.6105
2003-08-01,100.884
2003-09-01,100.9586
2003-10-01,100.7057
2003-11-01,100.3972
2003-12-01,100.3339
2004-01-01,100.5579
2004-02-01,100.7261
2004-03-01,100.5908
2004-04-01,100.4558
2004-05-01,100.3897
2004-06-01,100.4686
2004-07-01,100.6261
2004-08-01,100.7911
2004-09-01,100.8383
2004-10-01,100.8036
2004-11-01,100.8094
2004-12-01,100.8823
2005-01-01,100.8658
2005-02-01,100.7819
2005-03-01,100.6301
2005-04-01,100.3898
2005-05-01,100.3086
2005-06-01,100.3551
2005-07-01,100.4636
2005-08-01,100.5955
2005-09-01,100.6583
2005-10-01,100.7803
2005-11-01,100.9766
2005-12-01,101.2174
2006-01-01,101.4477
2006-02-01,101.4561
2006-03-01,101.4029
2006-04-01,101.3512
2006-05-01,101.347
2006-06-01,101.2272
2006-07-01,101.1384
2006-08-01,101.1963
2006-09-01,101.303
2006-10-01,101.3604
2006-11-01,101.2717
2006-12-01,101.2096
2007-01-01,101.2172
2007-02-01,101.3781
2007-03-01,101.4835
2007-04-01,101.6576
2007-05-01,101.5748
2007-06-01,101.4239
2007-07-01,101.2592
2007-08-01,101.0969
2007-09-01,100.9984
2007-10-01,100.9344
2007-11-01,100.7207
2007-12-01,100.435
2008-01-01,100.0875
2008-02-01,99.79895
2008-03-01,99.65942
2008-04-01,99.36629
2008-05-01,98.87888
2008-06-01,98.27783
2008-07-01,97.89982
2008-08-01,97.93528
2008-09-01,98.07417
