date,cci
2004-01-01,108.7523
2004-02-01,108.6911
2004-03-01,108.4801
2004-04-01,108.0671
2004-05-01,107.3732
2004-06-01,106.7059
2004-07-01,106.0374
2004-08-01,105.4485
2004-09-01,105.3501
2004-10-01,105.5077
2004-11-01,105.7356
2004-12-01,106.0746
2005-01-01,106.1917
2005-02-01,105.9348
2005-03-01,105.3279
2005-04-01,104.7532
2005-05-01,104.3657
2005-06-01,104.0351
2005-07-01,103.7333
2005-08-01,103.3803
2005-09-01,103.2211
2005-10-01,103.5076
2005-11-01,103.9505
2005-12-01,104.3641
2006-01-01,104.7816
2006-02-01,105.0049
2006-03-01,105.0434
2006-04-01,104.6674
2006-05-01,103.593
2006-06-01,102.0446
2006-07-01,101.0095
2006-08-01,100.8436
2006-09-01,101.0031
2006-10-01,101.2528
2006-11-01,101.4698
2006-12-01,101.4684
2007-01-01,101.4531
2007-02-01,101.5361
2007-03-01,101.6781
2007-04-01,101.9402
2007-05-01,102.2308
2007-06-01,102.4897
2007-07-01,102.8825
2007-08-01,103.2431
2007-09-01,103.203
2007-10-01,102.8356
2007-11-01,102.2876
2007-12-01,101.81
2008-01-01,100.9291
2008-02-01,99.44447
2008-03-01,97.64017
2008-04-01,96.09269
2008-05-01,95.35212
2008-06-01,95.36643
2008-07-01,95.88677
2008-08-01,96.3414
2008-09-01,96.06033
2008-10-01,94.86372
2008-11-01,93.67816
2008-12-01,93.3121
2009-01-01,93.66709
2009-02-01,94.47641
2009-03-01,95.54605
2009-04-01,96.8766
2009-05-01,97.89169
2009-06-01,98.30508
2009-07-01,98.07418
2009-08-01,97.69428
2009-09-01,97.34933
2009-10-01,96.91924
2009-11-01,96.5484
2009-12-01,96.51701
2010-01-01,96.86688
2010-02-01,97.58186
2010-03-01,98.38696
2010-04-01,99.00183
2010-05-01,99.41599
2010-06-01,99.6836
2010-07-01,99.80743
2010-08-01,99.99261
2010-09-01,100.3367
2010-10-01,100.5698
2010-11-01,100.8655
2010-12-01,101.086
2011-01-01,101.3435
2011-02-01,101.6675
2011-03-01,101.8595
2011-04-01,101.988
2011-05-01,102.1597
2011-06-01,102.3907
2011-07-01,102.2116
2011-08-01,101.7773
2011-09-01,101.4499
2011-10-01,101.0787
2011-11-01,101.0724
2011-12-01,101.2801
2012-01-01,101.482
2012-02-01,101.5545
2012-03-01,101.3422
2012-04-01,100.9986
2012-05-01,100.976
2012-06-01,100.9721
2012-07-01,100.8737
2012-08-01,100.5379
2012-09-01,100.1447
2012-10-01,99.89798
2012-11-01,100.1646
2012-12-01,100.5148
2013-01-01,100.916
2013-02-01,101.1918
2013-03-01,101.4149
2013-04-01,101.6942
2013-05-01,102.0158
2013-06-01,102.1534
2013-07-01,102.173
2013-08-01,101.977
2013-09-01,101.7616
2013-10-01,101.8945
2013-11-01,102.0516
2013-12-01,101.7825
2014-01-01,101.3368
2014-02-01,101.1722
2014-03-01,101.5743
2014-04-01,102.0909
2014-05-01,102.1146
2014-06-01,101.8895
2014-07-01,101.7259
2014-08-01,101.6536
2014-09-01,101.5542
2014-10-01,101.2648
2014-11-01,100.9636
2014-12-01,100.6967
