date,cci
1975-01-01,96.89253
1975-02-01,97.29836
1975-03-01,97.82019
1975-04-01,98.2859
1975-05-01,98.56734
1975-06-01,98.71187
1975-07-01,98.77493
1975-08-01,98.7894
1975-09-01,98.81657
1975-10-01,98.9277
1975-11-01,99.17293
1975-12-01,99.46616
1976-01-01,99.69358
1976-02-01,99.77404
1976-03-01,99.78529
1976-04-01,99.83242
1976-05-01,99.98558
1976-06-01,100.1817
1976-07-01,100.323
1976-08-01,100.3318
1976-09-01,100.2616
1976-10-01,100.1814
1976-11-01,100.1403
1976-12-01,100.141
1977-01-01,100.1856
1977-02-01,100.2784
1977-03-01,100.3852
1977-04-01,100.4625
1977-05-01,100.4725
1977-06-01,100.4276
1977-07-01,100.333
1977-08-01,100.1848
1977-09-01,100.0172
1977-10-01,99.87012
1977-11-01,99.77582
1977-12-01,99.72543
1978-01-01,99.69241
1978-02-01,99.61221
1978-03-01,99.47431
1978-04-01,99.47305
1978-05-01,99.49724
1978-06-01,99.46143
1978-07-01,99.43506
1978-08-01,99.33629
1978-09-01,99.24139
1978-10-01,99.01192
1978-11-01,98.62542
1978-12-01,98.27516
1979-01-01,98.24982
1979-02-01,98.23451
1979-03-01,98.0434
1979-04-01,97.84727
1979-05-01,97.71627
1979-06-01,97.53304
1979-07-01,97.37135
1979-08-01,97.40817
1979-09-01,97.44877
1979-10-01,97.37322
1979-11-01,97.35517
1979-12-01,97.39511
1980-01-01,97.47986
1980-02-01,97.27154
1980-03-01,96.73009
1980-04-01,96.30981
1980-05-01,96.27487
1980-06-01,96.67149
1980-07-01,97.24512
1980-08-01,97.86894
1980-09-01,98.39467
1980-10-01,98.61813
1980-11-01,98.50801
1980-12-01,98.13569
1981-01-01,97.98567
1981-02-01,97.88979
1981-03-01,97.99059
1981-04-01,98.30675
1981-05-01,98.58509
1981-06-01,98.67999
1981-07-01,98.73473
1981-08-01,98.70944
1981-09-01,98.44422
1981-10-01,98.04984
1981-11-01,97.68962
1981-12-01,97.64383
1982-01-01,97.75028
1982-02-01,97.6624
1982-03-01,97.53255
1982-04-01,97.56945
1982-05-01,97.63757
1982-06-01,97.63278
1982-07-01,97.65004
1982-08-01,97.77594
1982-09-01,98.03615
1982-10-01,98.26945
1982-11-01,98.32732
1982-12-01,98.32396
1983-01-01,98.42515
1983-02-01,98.82806
1983-03-01,99.48321
1983-04-01,100.1867
1983-05-01,100.656
1983-06-01,100.8046
1983-07-01,100.7686
1983-08-01,100.6273
1983-09-01,100.5111
1983-10-01,100.5179
1983-11-01,100.7117
1983-12-01,101.0454
1984-01-01,101.3788
1984-02-01,101.5106
1984-03-01,101.5403
1984-04-01,101.4181
1984-05-01,101.3399
1984-06-01,101.2913
1984-07-01,101.3624
1984-08-01,101.4888
1984-09-01,101.5114
1984-10-01,101.3439
1984-11-01,101.1624
1984-12-01,101.0312
1985-01-01,101.0129
1985-02-01,100.9701
1985-03-01,100.9487
1985-04-01,100.9498
1985-05-01,100.9508
1985-06-01,101.0109
1985-07-01,100.9398
1985-08-01,100.7916
1985-09-01,100.6409
1985-10-01,100.543
1985-11-01,100.6489
1985-12-01,100.867
1986-01-01,101.0519
1986-02-01,101.14
1986-03-01,101.165
1986-04-01,101.2053
1986-05-01,101.2643
1986-06-01,101.3604
1986-07-01,101.3022
1986-08-01,101.1237
1986-09-01,100.9532
1986-10-01,100.8622
1986-11-01,100.682
1986-12-01,100.5306
1987-01-01,100.4986
1987-02-01,100.5286
1987-03-01,100.6011
1987-04-01,100.6803
1987-05-01,100.713
1987-06-01,100.7848
1987-07-01,100.8868
1987-08-01,100.8915
1987-09-01,100.7095
1987-10-01,100.3681
1987-11-01,100.098
1987-12-01,100.1689
1988-01-01,100.4277
1988-02-01,100.6644
1988-03-01,100.8249
1988-04-01,100.868
1988-05-01,100.9591
1988-06-01,101.0263
1988-07-01,101.0932
1988-08-01,101.2005
1988-09-01,101.1854
1988-10-01,101.0462
1988-11-01,100.9454
1988-12-01,100.9718
1989-01-01,101.1114
1989-02-01,101.0913
1989-03-01,100.948
1989-04-01,100.752
1989-05-01,100.6218
1989-06-01,100.59
1989-07-01,100.6386
1989-08-01,100.7196
1989-09-01,100.8713
1989-10-01,100.8542
1989-11-01,100.7303
1989-12-01,100.6563
1990-01-01,100.6537
1990-02-01,100.6357
1990-03-01,100.7045
1990-04-01,100.7568
1990-05-01,100.6273
1990-06-01,100.3423
1990-07-01,99.86092
1990-08-01,99.08856
1990-09-01,98.34657
1990-10-01,97.75354
1990-11-01,97.54295
1990-12-01,97.60697
1991-01-01,97.95465
1991-02-01,98.58894
1991-03-01,99.31223
1991-04-01,99.51653
1991-05-01,99.4995
1991-06-01,99.56474
1991-07-01,99.62606
1991-08-01,99.59038
1991-09-01,99.39061
1991-10-01,98.91525
1991-11-01,98.3261
1991-12-01,97.97945
1992-01-01,97.93081
1992-02-01,98.17536
1992-03-01,98.61414
1992-04-01,98.96271
1992-05-01,99.16116
1992-06-01,99.16701
1992-07-01,98.99251
1992-08-01,98.84028
1992-09-01,98.8298
1992-10-01,99.09079
1992-11-01,99.7146
1992-12-01,100.2222
1993-01-01,100.3551
1993-02-01,100.2392
1993-03-01,100.0521
1993-04-01,99.82066
1993-05-01,99.52497
1993-06-01,99.29503
1993-07-01,99.08138
1993-08-01,99.02661
1993-09-01,99.14845
1993-10-01,99.42997
1993-11-01,99.76839
1993-12-01,100.2595
1994-01-01,100.6824
1994-02-01,100.8334
1994-03-01,100.8226
1994-04-01,100.7928
1994-05-01,100.7301
1994-06-01,100.6233
1994-07-01,100.5505
1994-08-01,100.5967
1994-09-01,100.6677
1994-10-01,100.7621
1994-11-01,100.877
1994-12-01,101.0542
1995-01-01,101.1366
1995-02-01,101.0032
1995-03-01,100.7811
1995-04-01,100.6848
1995-05-01,100.6721
1995-06-01,100.7997
1995-07-01,100.9175
1995-08-01,100.8834
1995-09-01,100.6454
1995-10-01,100.4881
1995-11-01,100.41
1995-12-01,100.4341
1996-01-01,100.4504
1996-02-01,100.5219
1996-03-01,100.6673
1996-04-01,100.696
1996-05-01,100.6753
1996-06-01,100.7838
1996-07-01,100.943
1996-08-01,101.063
1996-09-01,101.1537
1996-10-01,101.2757
1996-11-01,101.3795
1996-12-01,101.3947
1997-01-01,101.4454
1997-02-01,101.5631
1997-03-01,101.6957
1997-04-01,101.8602
1997-05-01,102.0461
1997-06-01,102.2155
1997-07-01,102.3295
1997-08-01,102.3321
1997-09-01,102.343
1997-10-01,102.3361
1997-11-01,102.3177
1997-12-01,102.2861
1998-01-01,102.4385
1998-02-01,102.6015
1998-03-01,102.6091
1998-04-01,102.5876
1998-05-01,102.4888
1998-06-01,102.3699
1998-07-01,102.234
1998-08-01,102.042
1998-09-01,101.8018
1998-10-01,101.666
1998-11-01,101.7593
1998-12-01,101.9019
1999-01-01,102.1411
1999-02-01,102.3489
1999-03-01,102.3841
1999-04-01,102.3793
1999-05-01,102.4228
1999-06-01,102.4339
1999-07-01,102.3785
1999-08-01,102.317
1999-09-01,102.3068
1999-10-01,102.2862
1999-11-01,102.4039
1999-12-01,102.5672
2000-01-01,102.7963
2000-02-01,102.8489
2000-03-01,102.7685
2000-04-01,102.7501
2000-05-01,102.7249
2000-06-01,102.6267
2000-07-01,102.5935
2000-08-01,102.5589
2000-09-01,102.5094
2000-10-01,102.4011
2000-11-01,102.1504
2000-12-01,101.624
2001-01-01,101.1024
2001-02-01,100.7213
2001-03-01,100.5567
2001-04-01,100.5238
2001-05-01,100.6463
2001-06-01,100.7251
2001-07-01,100.6393
2001-08-01,100.3387
2001-09-01,99.90548
2001-10-01,99.74929
2001-11-01,99.89661
2001-12-01,100.2531
2002-01-01,100.5978
2002-02-01,100.8044
2002-03-01,100.9911
2002-04-01,101.0437
2002-05-01,101.0177
2002-06-01,100.7677
2002-07-01,100.433
2002-08-01,100.1572
2002-09-01,99.91587
2002-10-01,99.7337
2002-11-01,99.74871
2002-12-01,99.74618
2003-01-01,99.56802
2003-02-01,99.41
2003-03-01,99.49301
2003-04-01,99.92635
2003-05-01,100.3536
2003-06-01,100.5095
2003-07-01,100.5117
2003-08-01,100.4225
2003-09-01,100.3871
2003-10-01,100.5351
2003-11-01,100.827
2003-12-01,101.1297
2004-01-01,101.4088
2004-02-01,101.2953
2004-03-01,101.1277
2004-04-01,100.9568
2004-05-01,100.8785
2004-06-01,101.0162
2004-07-01,101.1275
2004-08-01,101.1028
2004-09-01,100.9841
2004-10-01,100.895
2004-11-01,100.9591
2004-12-01,101.0947
2005-01-01,101.08
2005-02-01,100.9246
2005-03-01,100.6953
2005-04-01,100.5071
2005-05-01,100.575
2005-06-01,100.8249
2005-07-01,100.7314
2005-08-01,100.1407
2005-09-01,99.42278
2005-10-01,99.18978
2005-11-01,99.57593
2005-12-01,100.1521
2006-01-01,100.4121
2006-02-01,100.3635
2006-03-01,100.2323
2006-04-01,99.981
2006-05-01,99.69939
