date,USA,CAN,MEX,GBR,DEU,FRA,ESP,CHE,NLD,ITA,IRL,GRC,BEL,AUT,PRT,SWE,FIN,DNK,POL,CZE,TUR,JPN,KOR,AUS,NZL
1975-01-01,96.89253,,,96.91897,99.71506,101.3003,,98.08396,99.79343,94.31562,94.97253,,99.14669,,,,,96.62189,,,,,,99.96062,
1975-02-01,97.29836,,,96.20615,99.99641,101.5331,,97.9999,99.76393,94.68395,95.15717,,99.25037,,,,,96.79384,,,,,,100.6289,
1975-03-01,97.82019,,,95.49467,100.299,101.5043,,98.05235,99.71193,95.12886,95.42643,,99.30368,,,,,97.33311,,,,,,101.0798,
1975-04-01,98.2859,,,94.96516,100.6015,101.3751,,98.16753,99.6404,95.57777,95.82855,,99.26061,,,,,98.18968,,,,,,101.0941,
1975-05-01,98.56734,,,94.76198,100.8116,101.3212,,98.25916,99.56706,95.88956,96.20532,,99.17912,,,,,98.85545,,,,,,100.8346,
1975-06-01,98.71187,,,95.01893,100.8473,101.3978,,98.27284,99.45135,95.9486,96.6171,,99.06936,,,,,99.37466,,,,,,100.4997,
1975-07-01,98.77493,,,95.5587,100.8119,101.5942,,98.25414,99.26771,95.89598,97.1315,,98.97519,,,,,99.88564,,,,,,100.2502,
1975-08-01,98.7894,,,96.13969,100.7652,101.7564,,98.27121,99.12133,95.799,97.577,,98.88901,,,,,100.3089,,,,,,100.1008,
1975-09-01,98.81657,,,96.6718,100.7596,101.9193,,98.36987,98.99792,95.70377,98.02117,,98.84596,,,,,100.6662,,,,,,100.0596,
1975-10-01,98.9277,,,97.1392,100.8866,102.1445,,98.49297,98.91011,95.73219,98.49061,,99.0101,,,,,101.0717,,,,,,100.1656,
1975-11-01,99.17293,,,97.57198,101.2822,102.3568,,98.56164,99.02084,95.90569,98.69218,,99.52257,,,,,101.3752,,,,,,100.42,
1975-12-01,99.46616,,,98.08244,101.8083,102.648,,98.53204,99.44198,96.11681,98.53617,,100.3374,,,,,101.586,,,,,,100.7909,
1976-01-01,99.69358,,,98.68426,102.2328,103.0636,,98.5067,100.1235,96.22719,98.10018,,100.9041,,,,,101.7774,,,,,,101.0691,
1976-02-01,99.77404,,,99.28565,102.4724,103.3123,,98.65282,100.5772,96.12798,97.78512,,101.1064,,,,,101.875,,,,,,101.0519,
1976-03-01,99.78529,,,99.84326,102.5523,103.4062,,99.11649,100.6408,95.90091,97.59315,,101.0859,,,,,101.6737,,,,,,100.9294,
1976-04-01,99.83242,,,100.2645,102.5587,103.4123,,99.76531,100.4589,95.64606,97.44276,,101.0391,,,,,101.1544,,,,,,100.8581,
1976-05-01,99.98558,,,100.3535,102.5591,103.3584,,100.4419,100.2738,95.4374,97.36076,,101.0437,,,,,100.6855,,,,,,100.7519,
1976-06-01,100.1817,,,99.894,102.5957,103.2271,,101.0323,100.1743,95.30611,97.30177,,101.1049,,,,,100.2976,,,,,,100.6849,
1976-07-01,100.323,,,99.06375,102.6851,103.0095,,101.5065,100.1361,95.17774,97.23024,,101.1511,,,,,99.94469,,,,,,100.6658,
1976-08-01,100.3318,,,98.13846,102.7814,102.8368,,101.8038,100.1209,95.00356,97.17943,,101.1672,,,,,99.68496,,,,,,100.7046,
1976-09-01,100.2616,,,97.31464,102.8795,102.6697,,101.8347,100.115,94.88887,97.15751,,101.1487,,,,,99.41106,,,,,,100.7212,
1976-10-01,100.1814,,,96.87927,102.9183,102.4708,,101.6593,100.1442,94.99567,97.19838,,101.0855,,,,,99.10999,,,,,,100.6169,
1976-11-01,100.1403,,,97.0261,102.8752,102.3724,,101.2999,100.2798,95.38589,97.38358,,100.9807,,,,,98.9295,,,,,,100.369,
1976-12-01,100.141,,,97.53544,102.7269,102.3467,,100.7597,100.6095,95.91456,97.80145,,100.9131,,,,,98.85682,,,,,,100.2457,
1977-01-01,100.1856,,,98.13107,102.4926,102.3046,,100.2254,101.1017,96.38263,98.36187,,100.9481,100.2671,,,,98.89919,,,,,,100.1679,
1977-02-01,100.2784,,,98.47466,102.1902,102.1211,,99.95599,101.4203,96.55127,98.7093,,101.0093,100.8086,,,,98.94907,,,,,,100.0535,
1977-03-01,100.3852,,,98.57755,101.8786,101.678,,100.1656,101.4452,96.48833,98.82037,,101.0395,101.186,,,,98.9492,,,,,,100.0067,
1977-04-01,100.4625,,,98.7091,101.5755,101.0463,,100.6411,101.2423,96.39966,98.8219,,100.9385,101.2072,,,,98.84277,,,,,,100.0997,
1977-05-01,100.4725,,,99.04188,101.3773,100.6666,,101.1287,101.0393,96.42062,98.87978,,100.7285,100.9513,,,,98.78063,,,,,,100.1977,
1977-06-01,100.4276,,,99.77203,101.3776,100.6595,,101.4549,100.8498,96.7047,99.19753,,100.46,100.409,,,,98.81299,,,,,,100.1986,
1977-07-01,100.333,,,100.7864,101.4814,100.9422,,101.6348,100.6763,97.13107,99.79285,,100.2268,99.73875,,,,98.9514,,,,,,100.1564,
1977-08-01,100.1848,,,101.9401,101.5965,101.2349,,101.6956,100.5549,97.56346,100.3455,,100.0447,99.13177,,,,99.1365,,,,,,100.2804,
1977-09-01,100.0172,,,103.0492,101.7223,101.5705,,101.6468,100.4399,97.96691,100.9251,,99.89006,98.80492,,,,99.30698,,,,,,100.4235,
1977-10-01,99.87012,,,103.9967,101.8346,102.0021,,101.5683,100.3251,98.24676,101.6045,,99.88163,98.93058,,,,99.42202,,,,,,100.6227,
1977-11-01,99.77582,,,104.6311,101.9516,102.2667,,101.5452,100.3588,98.38827,102.2105,,100.0456,99.2863,,,,99.49815,,,,,,100.9562,
1977-12-01,99.72543,,,105.0775,102.022,102.4105,,101.6305,100.6693,98.44827,102.8025,,100.324,99.4677,,,,99.49426,,,,,,101.3444,
1978-01-01,99.69241,,,105.3559,102.0,102.524,,101.7539,101.1867,98.41366,103.3977,,100.4107,99.54863,,,,99.44292,,,,,,101.6591,
1978-02-01,99.61221,,,105.4379,101.9668,102.5981,,101.8154,101.477,98.41285,103.7098,,100.2525,99.73035,,,,99.45427,,,,,,101.7791,
1978-03-01,99.47431,,,105.4725,101.9606,102.6747,,101.741,101.3813,98.47894,103.7118,,99.96251,99.92209,,,,99.55989,,,,,,101.6075,
1978-04-01,99.47305,,,105.4521,102.0102,102.7724,,101.6007,101.0154,98.55051,103.489,,99.78356,100.0672,,,,99.70148,,,,,,101.2841,
1978-05-01,99.49724,,,105.4295,102.1404,102.8104,,101.4851,100.7202,98.677,103.2379,,99.79336,100.2901,,,,99.83266,,,,,,100.9141,
1978-06-01,99.46143,,,105.2867,102.3232,102.7742,,101.4483,100.5603,98.9472,102.9916,,99.88863,100.4124,,,,99.98481,,,,,,100.4478,
1978-07-01,99.43506,,,105.0094,102.5392,102.6781,,101.4261,100.4745,99.36267,102.7063,,99.9702,100.5765,,,,100.136,,,,,,99.94025,
1978-08-01,99.33629,,,104.5778,102.7875,102.6013,,101.3186,100.4356,99.83916,102.5073,,100.0426,100.7849,,,,100.266,,,,,,99.57409,
1978-09-01,99.24139,,,103.9921,103.0611,102.5195,,101.0574,100.3917,100.334,102.3124,,100.1326,100.9053,,,,100.4131,,,,,,99.72403,
1978-10-01,99.01192,,,103.2003,103.2913,102.3824,,100.7592,100.3048,100.6414,102.0313,,100.2165,100.8006,,,,100.5435,,,,,,100.1042,
1978-11-01,98.62542,,,102.1804,103.458,102.1951,,100.5984,100.1953,100.7115,101.7602,,100.3254,100.5476,,,,100.6117,,,,,,100.3937,
1978-12-01,98.27516,,,101.2281,103.5519,101.8911,,100.7182,100.0837,100.6152,101.4014,,100.461,100.5412,,,,100.638,,,,,,100.6323,
1979-01-01,98.24982,,,100.7176,103.5997,101.5201,,101.0029,99.95596,100.4738,100.9339,,100.487,100.7317,,,,100.6402,,,,,,100.8197,
1979-02-01,98.23451,,,101.0462,103.5703,101.2872,,101.3077,99.87458,100.2837,100.6073,,100.3828,100.97,,,,100.6067,,,,,,100.8992,
1979-03-01,98.0434,,,101.8857,103.5195,101.1327,,101.5232,99.8176,100.0577,100.4168,,100.218,101.1555,,,,100.4952,,,,,,100.791,
1979-04-01,97.84727,,,102.8613,103.4265,100.9644,,101.6199,99.75972,99.74377,100.2636,,100.0615,100.998,,,,100.2654,,,,,,100.5352,
1979-05-01,97.71627,,,103.4673,103.2455,100.8121,,101.5482,99.72938,99.45107,100.1463,,99.95128,100.6786,,,,99.99101,,,,,,99.95616,
1979-06-01,97.53304,,,103.3514,102.9979,100.7323,,101.2569,99.72199,99.2208,99.98272,,99.85628,100.3301,,,,99.67448,,,,,,99.36197,
1979-07-01,97.37135,,,102.7159,102.7621,100.696,,100.8803,99.73029,99.04745,99.72715,,99.78644,100.3561,,,,99.31393,,,,,,99.12593,
1979-08-01,97.40817,,,101.9296,102.5359,100.6688,,100.5826,99.75169,98.83749,99.53421,,99.6929,100.5948,,,,99.01227,,,,,,99.28366,
1979-09-01,97.44877,,,101.1565,102.2808,100.6471,,100.487,99.78006,98.58282,99.35253,,99.53783,100.8007,,,,98.71543,,,,,,99.54757,
1979-10-01,97.37322,,,100.3858,101.9559,100.6854,,100.5258,99.78426,98.29916,99.11775,,99.38793,100.7442,,,,98.30657,,,,,,99.70306,
1979-11-01,97.35517,,,99.70155,101.5808,100.6538,,100.6197,99.67976,98.00919,98.93417,,99.17975,100.345,,,,97.90288,,,,,,99.78789,
1979-12-01,97.39511,,,99.04595,101.1761,100.4637,,100.7221,99.32452,97.75482,98.81322,,98.8696,99.89718,,,,97.43469,,,,,,99.8258,
1980-01-01,97.47986,99.9551162603295,,98.3997,100.7547,100.0997,,100.8092,98.76801,97.61554,98.69168,,98.64175,99.62223,,,,96.84174,,,,,,99.85255,
1980-02-01,97.27154,99.8729586075897,,97.68212,100.5336,99.80946,,100.8624,98.31728,97.69135,98.55256,,98.43898,99.60899,,,,96.33385,,,,,,99.87801,
1980-03-01,96.73009,99.7479083164319,,97.14544,100.3957,99.67564,,100.8674,97.93653,97.97048,98.38125,,98.19051,99.74992,,,,95.94672,,,,,,99.85937,
1980-04-01,96.30981,99.5763377627602,,97.08496,100.3019,99.64217,,100.8464,97.55325,98.25369,98.13917,,98.01473,99.75436,,,,95.63492,,,,,,99.78647,
1980-05-01,96.27487,99.5189346279581,,97.11636,100.2377,99.64811,,100.8221,97.29434,98.41802,97.9351,,97.883,99.5155,,,,95.45152,,,,,,99.81131,
1980-06-01,96.67149,99.6156837369295,,96.99183,100.1144,99.66103,,100.8075,97.14634,98.40517,97.771,,97.79546,99.10595,,,,95.44508,,,,,,99.87769,
1980-07-01,97.24512,99.843270192901,,96.82045,100.0257,99.67113,,100.7989,97.06968,98.32863,97.58056,,97.71786,98.84727,,,,95.63553,,,,,,99.91798,
1980-08-01,97.86894,100.01833026845,,96.94095,99.98682,99.67831,,100.7875,97.00214,98.21503,97.39339,,97.66907,98.70377,,,,95.81321,,,,,,100.1192,
1980-09-01,98.39467,100.146984265563,,97.08553,99.83067,99.68205,,100.764,96.93547,98.0807,97.19457,,97.60389,98.54116,,,,95.97076,,,,,,100.4394,
1980-10-01,98.61813,100.249776440082,,97.26691,99.43913,99.67425,,100.7272,96.8383,98.04527,96.94633,,97.46175,98.27004,,,,96.1254,,,,,,100.739,
1980-11-01,98.50801,100.2330210046,,97.12998,98.89918,99.63547,,100.6665,96.72284,98.19444,96.78694,,97.23194,98.00854,,,,96.1614,,,,,,100.9037,
1980-12-01,98.13569,100.04655812322,,97.02973,98.51011,99.54276,,100.5583,96.59741,98.34404,96.78261,,96.90083,97.84552,,,,96.09035,,,,,,101.0991,
1981-01-01,97.98567,99.7005093470412,,97.16075,98.17068,99.4084,,100.3866,96.43733,98.43371,96.92147,,96.68169,97.59414,,,,96.01512,,,,,,101.273,
1981-02-01,97.88979,99.4517404955396,,97.15374,97.76825,99.3727,,100.1096,96.3103,98.37739,97.11791,,96.56633,97.12424,,,,95.9935,,,,,,101.2933,
1981-03-01,97.99059,99.2545215328695,,96.95194,97.326,99.57418,,99.69068,96.24725,98.24513,97.40454,,96.54412,96.78299,,,,96.1134,,,,,,101.1056,
1981-04-01,98.30675,99.0092954193665,,96.81815,97.02113,99.92142,,99.23315,96.22484,98.04794,97.73581,,96.52256,97.01829,,,,96.30704,,,,,,100.7135,
1981-05-01,98.58509,98.7598970742165,,97.03281,96.85857,100.1555,,98.8749,96.22839,97.87,97.86675,,96.54434,97.36562,,,,96.43851,,,,,,100.2554,
1981-06-01,98.67999,98.3818033705497,,97.02027,96.5916,100.2948,,98.72054,96.27439,97.79435,97.68349,,96.61403,97.56716,,,,96.52502,,,,,,99.84228,
1981-07-01,98.73473,97.8315314805897,,96.89729,96.26866,100.401,,98.67467,96.40689,97.80936,97.2377,,96.67625,97.56301,,,,96.60538,,,,,,99.46228,
1981-08-01,98.70944,97.524732579321,,96.98174,95.92395,100.4398,,98.62023,96.5069,97.88438,96.76446,,96.74096,97.45898,,,,96.65357,,,,,,99.28262,
1981-09-01,98.44422,97.4612196626979,,97.16008,95.90031,100.4387,,98.48825,96.59376,97.95465,96.30084,,96.82113,97.36146,,,,96.70575,,,,,,99.36496,
1981-10-01,98.04984,97.5317664489136,,97.05471,96.04118,100.448,,98.33627,96.72507,98.11792,95.82834,,96.8681,97.31212,,,,96.81207,,,,,,99.51263,
1981-11-01,97.68962,97.581620295023,,97.10501,96.0985,100.5421,,98.2662,96.76527,98.56406,95.57101,,96.8863,97.21614,,,,96.98458,,,,,,99.52068,
1981-12-01,97.64383,97.5541191109566,,97.16146,96.16822,100.8104,,98.36208,96.68819,99.14034,95.64083,,96.88624,97.23016,,,,97.29825,,,,,,99.36062,
1982-01-01,97.75028,97.440837513411,,97.44284,96.24869,101.2628,,98.54611,96.53676,99.71983,95.9642,,96.86634,97.35034,,,,97.71852,,,,,,99.17234,
1982-02-01,97.6624,97.3090880099154,,97.72417,96.36314,101.5616,,98.71565,96.50019,100.168,96.21205,,96.81297,97.56767,,,,97.99506,,,,,,99.09184,
1982-03-01,97.53255,97.1178212292458,,98.31468,96.67131,101.6254,,98.79198,96.63151,100.3066,96.30372,,96.72038,97.91703,,,,98.07126,,,,,,99.10703,
1982-04-01,97.56945,96.8493754249206,,99.02084,96.97072,101.5939,,98.78368,96.88414,100.2792,96.32445,,96.64401,98.09064,,,,98.01519,,,,100.6028,,99.13827,
1982-05-01,97.63757,96.7007432558705,,99.81523,97.15707,101.5003,,98.69614,96.98059,100.1422,96.26835,,96.59828,98.10444,,,,97.94336,,,,100.4187,,99.02318,
1982-06-01,97.63278,96.6863696845534,,100.3822,97.11691,101.3029,,98.5257,96.8829,99.61962,96.18306,,96.63289,97.95521,,,,97.86936,,,,100.2479,,98.70699,
1982-07-01,97.65004,96.7867841460044,,100.583,96.7335,100.9784,,98.33292,96.69612,99.05558,96.06043,,96.68369,97.77605,,,,97.77567,,,,100.1182,,98.24684,
1982-08-01,97.77594,96.9629741191532,,100.644,96.31114,100.7197,,98.19025,96.47689,98.57868,95.92183,,96.73296,97.64703,,,,97.68765,,,,100.0596,,98.01719,
1982-09-01,98.03615,97.3159351186192,,100.7046,95.99802,100.4679,,98.15192,96.27551,98.12333,95.77531,,96.75862,97.60507,,,,97.55987,,,,100.0513,,97.84031,
1982-10-01,98.26945,97.9104807215623,,101.0077,96.01634,100.1712,,98.17376,96.06598,97.63507,95.5888,,96.68492,97.60361,,,,97.36399,,,,100.0801,,97.65917,
1982-11-01,98.32732,98.4222815682169,,101.3352,96.20698,100.037,,98.20953,95.9474,97.25445,95.43662,,96.55172,97.55457,,,,97.21667,,,,100.1488,,97.60352,
1982-12-01,98.32396,99.0182999143992,,101.4613,96.58752,100.036,,98.24712,95.91959,96.99074,95.35513,,96.39323,97.66844,,,,97.16047,,,,100.2471,,97.9494,
