market,oecd_code,fred_id,country,full_start,full_end,n_window,missing_pct,z_min,z_max,usable
sp500,USA,CSCICP03USM665S,USA,1975-01,2024-01,306,-0.3,96.4,103.7,True
nasdaq,USA,CSCICP03USM665S,USA (NASDAQ),1975-01,2024-01,306,-0.3,96.4,103.7,True
djia,USA,CSCICP03USM665S,USA (DJIA),1975-01,2024-01,306,-0.3,96.4,103.7,True
rut,USA,CSCICP03USM665S,USA (Small-Cap),1975-01,2024-01,306,-0.3,96.4,103.7,True
rui,USA,CSCICP03USM665S,USA (Large-Cap),1975-01,2024-01,306,-0.3,96.4,103.7,True
sp400,USA,CSCICP03USM665S,USA (Mid-Cap),1975-01,2024-01,306,-0.3,96.4,103.7,True
wilshire5000,USA,CSCICP03USM665S,USA (Total Mkt),1975-01,2024-01,306,-0.3,96.4,103.7,True
tsx,CAN,CSCICP03CAM665S,Canada,1980-01,2017-12,306,-0.3,96.8,102.7,True
ipc,MEX,CSCICP03MXM665S,Mexico,2001-04,2023-12,171,43.9,94.2,105.5,False
ftse100,GBR,CSCICP03GBM665S,UK,1975-01,2024-01,306,-0.3,95.1,105.4,True
dax,DEU,CSCICP03DEM665S,Germany,1975-01,2024-01,306,-0.3,96.4,102.8,True
cac40,FRA,CSCICP03FRM665S,France,1975-01,2024-01,306,-0.3,96.4,103.2,True
ibex35,ESP,CSCICP03ESM665S,Spain,1986-06,2024-01,306,-0.3,92.8,106.6,True
smi,CHE,CSCICP03CHM665S,Switzerland,1975-01,2023-11,306,-0.3,95.8,103.9,True
aex,NLD,CSCICP03NLM665S,Netherlands,1975-01,2024-01,306,-0.3,97.6,103.0,True
ftsemib,ITA,CSCICP03ITM665S,Italy,1975-01,2024-01,306,-0.3,96.1,104.8,True
iseq,IRL,CSCICP03IEM665S,Ireland,1975-01,2023-01,306,-0.3,95.4,106.0,True
athex,GRC,CSCICP03GRM665S,Greece,1985-01,2024-01,306,-0.3,93.7,106.6,True
bel20,BEL,CSCICP03BEM665S,Belgium,1975-01,2024-01,306,-0.3,97.9,102.9,True
atx,AUT,CSCICP03ATM665S,Austria,1977-01,2024-01,306,-0.3,96.5,103.7,True
psi20,PRT,CSCICP03PTM665S,Portugal,1986-06,2024-01,306,-0.3,93.7,105.7,True
omxstockholm,SWE,CSCICP03SEM665S,Sweden,1995-10,2024-01,237,22.3,97.3,103.4,False
omxhelsinki,FIN,CSCICP03FIM665S,Finland,1987-11,2024-01,306,-0.3,94.7,105.3,True
omxcopenhagen,DNK,CSCICP03DKM665S,Denmark,1975-01,2024-01,306,-0.3,98.7,102.7,True
wig20,POL,CSCICP03PLM665S,wig20,2001-05,2024-01,170,44.3,96.1,103.0,False
px,CZE,CSCICP03CZM665S,px,1995-01,2024-01,246,19.3,95.2,103.9,False
bist100,TUR,CSCICP03TRM665S,Turkey,2004-01,2024-01,138,54.8,93.5,109.0,False
nikkei225,JPN,CSCICP03JPM665S,Japan,1982-04,2024-01,306,-0.3,96.7,103.2,True
topix,JPN,CSCICP03JPM665S,Japan (TOPIX),1982-04,2024-01,306,-0.3,96.7,103.2,True
kospi,KOR,CSCICP03KRM665S,South Korea,1998-12,2023-12,199,34.8,97.0,103.1,False
kosdaq,KOR,CSCICP03KRM665S,South Korea (KQ),1998-12,2023-12,199,34.8,97.0,103.1,False
asx200,AUS,CSCICP03AUM665S,Australia,1975-01,2024-01,306,-0.3,97.0,103.4,True
nzx50,NZL,CSCICP03NZM665S,New Zealand,1988-06,2023-09,306,-0.3,97.2,103.6,True
