market,country,T,c1,c2,beta_mr,beta_ex,n_mr,n_rw,n_ex,verdict,firing_rate_pct,screen_F,screen_p,screen_gate
sp500,USA,436,-1.3046979865771813,0.4226174496644297,-0.15670508786312354,0.0022469106067632767,11,157,268,BOTH TAILS,61.5,3.8427,0.0044,FAIL
nasdaq,USA (NASDAQ),436,-1.3046979865771813,0.2724161073825506,-0.22985085874216912,0.0010322751577106863,11,105,320,BOTH TAILS,73.4,2.407,0.0489,FAIL
djia,USA (DJIA),412,-0.2648993288590602,-0.13838926174496624,-0.09793187527495872,-0.0015765163544269173,32,8,372,BOTH TAILS,90.3,3.2846,0.0115,FAIL
rut,USA (Small-Cap),436,-1.53,0.2724161073825506,-0.2825647175158423,-0.0007157837777968565,9,107,320,BOTH TAILS,73.4,3.449,0.0087,FAIL
rui,USA (Large-Cap),401,-1.296308724832215,0.42879194630872486,-0.1606544947368709,0.0027343282715312214,11,142,248,BOTH TAILS,61.8,4.3659,0.0018,FAIL
sp400,USA (Mid-Cap),436,-1.53,0.2724161073825506,-0.30573800407008417,-0.000553430159911542,9,107,320,BOTH TAILS,73.4,3.7952,0.0048,FAIL
wilshire5000,USA (Total Mkt),436,-1.3046979865771813,0.4226174496644297,-0.1664824131122818,0.001880474551235658,11,157,268,BOTH TAILS,61.5,3.8906,0.0041,FAIL
tsx,Canada,436,-1.53,0.44765100671140967,-0.27739344410087813,0.0023818131086738364,9,172,255,BOTH TAILS,58.5,6.0148,0.0001,FAIL
ipc,Mexico,414,-0.13577181208053712,0.21657718120805347,-0.04050320979916386,-0.004351652075831319,42,42,330,BOTH TAILS,79.7,3.0015,0.0184,FAIL
bovespa,Brazil,397,-0.4114093959731542,0.5753691275167789,-0.23093547359899133,-0.05214166727904995,25,243,129,BOTH TAILS,32.5,1.6683,0.1566,PASS
ipsa,Chile,209,-0.8983892617449665,0.6867114093959734,-0.25404437297001703,-0.04034120467288565,19,152,38,FEAR GAUGE,18.2,0.7916,0.5319,PASS
merval,Argentina,355,-0.40328859060402666,-0.2474496644295301,-0.11380105795024476,0.006369593038496392,25,8,322,BOTH TAILS,90.7,1.0414,0.3858,PASS
eurostoxx50,Eurozone,230,-1.9375838926174498,0.05167785234899336,-0.3781808955809145,-0.01749013973620223,8,31,191,FEAR GAUGE,83.0,1.4729,0.2114,PASS
ftse100,UK,436,-1.53,0.47268456375838963,-0.29433162856088096,-0.004506622955018455,9,184,243,BOTH TAILS,55.7,2.4675,0.0443,FAIL
ftmc,UK (Mid-Cap),436,-1.53,0.22234899328859092,-0.3131140636795891,-0.003241420314603797,9,91,336,BOTH TAILS,77.1,3.052,0.0169,FAIL
dax,Germany,436,-1.3046979865771813,0.4226174496644297,-0.20050305906117236,-0.00047486509411908285,11,157,268,BOTH TAILS,61.5,2.7592,0.0275,FAIL
mdax,Germany (MDAX),363,-1.62,0.487785234899329,-0.3179045735699838,-0.006733855849322879,9,176,178,BOTH TAILS,49.0,4.2912,0.0021,FAIL
cac40,France,434,-1.3040939597315435,0.4278523489932886,-0.16113917381928766,-0.0034351247118928996,11,156,267,BOTH TAILS,61.5,1.9524,0.1009,PASS
ibex35,Spain,394,0.41355704697986573,0.995503355704698,-0.027500270655110154,-0.2791338189430392,143,246,5,FEAR GAUGE,1.3,1.142,0.3363,PASS
smi,Switzerland,426,0.4378523489932886,0.9900671140939599,-0.022338063693793923,0.20263321387009797,166,247,13,FEAR GAUGE,3.1,2.8591,0.0233,FAIL
aex,Netherlands,403,-1.54,0.6865771812080537,-0.21776568571029464,-0.021082852202169385,9,325,69,BOTH TAILS,17.1,2.4503,0.0457,FAIL
ftsemib,Italy,341,-1.69,0.42006711409396,-0.3700983828428962,-0.010416001833327177,8,139,194,BOTH TAILS,56.9,1.0081,0.4033,PASS
iseq,Ireland,346,-0.38744966442953,0.4763087248322151,-0.07010422235281463,-0.01041723503975022,26,153,167,BOTH TAILS,48.3,0.7664,0.5477,PASS
athex,Greece,345,-1.3126174496644294,0.4718120805369128,-0.1650834770168887,-0.003417051043884399,11,162,172,BOTH TAILS,49.9,0.9675,0.4254,PASS
bel20,Belgium,421,-1.309731543624161,0.44261744966442973,-0.12945844419935612,0.0016040328731999835,11,152,258,BOTH TAILS,61.3,1.6891,0.1516,PASS
atx,Austria,402,-1.55,0.42879194630872486,-0.25567818209211823,0.0015351361327773639,9,144,249,BOTH TAILS,61.9,5.1883,0.0004,FAIL
psi20,Portugal,157,0.04335570469798658,0.8606040268456375,-0.18840029631701397,3.824686452992292,4,150,3,WEAK,1.9,0.1009,0.982,PASS
omxstockholm,Sweden,210,0.04798657718120802,0.4365771812080539,-0.10334778784154071,0.00800065784338235,22,69,119,FEAR GAUGE,56.7,3.5527,0.008,FAIL
