market,country,T,F,p,gate,n_lags,direction
sp500,USA,437.0,3.0468,0.0024,FAIL,8,return->d(globalCCI)
nasdaq,USA (NASDAQ),437.0,1.7454,0.0863,PASS,8,return->d(globalCCI)
djia,USA (DJIA),413.0,2.6115,0.0086,FAIL,8,return->d(globalCCI)
rut,USA (Small-Cap),437.0,2.4825,0.0122,FAIL,8,return->d(globalCCI)
rui,USA (Large-Cap),402.0,2.8661,0.0042,FAIL,8,return->d(globalCCI)
sp400,USA (Mid-Cap),437.0,2.6731,0.0072,FAIL,8,return->d(globalCCI)
wilshire5000,USA (Total Mkt),437.0,3.1517,0.0018,FAIL,8,return->d(globalCCI)
tsx,Canada,437.0,2.7766,0.0053,FAIL,8,return->d(globalCCI)
ipc,Mexico,415.0,1.2722,0.2564,PASS,8,return->d(globalCCI)
bovespa,Brazil,398.0,0.8441,0.5642,PASS,8,return->d(globalCCI)
ipsa,Chile,210.0,1.0095,0.4304,PASS,8,return->d(globalCCI)
colcap,Colombia,,,,NO_DATA,8,return->d(globalCCI)
merval,Argentina,356.0,1.4457,0.1764,PASS,8,return->d(globalCCI)
eurostoxx50,Eurozone,231.0,2.9703,0.0036,FAIL,8,return->d(globalCCI)
ftse100,UK,437.0,1.9019,0.0582,PASS,8,return->d(globalCCI)
ftmc,UK (Mid-Cap),437.0,3.1611,0.0017,FAIL,8,return->d(globalCCI)
dax,Germany,437.0,1.7873,0.0777,PASS,8,return->d(globalCCI)
mdax,Germany (MDAX),364.0,2.5391,0.0107,FAIL,8,return->d(globalCCI)
cac40,France,435.0,2.8575,0.0042,FAIL,8,return->d(globalCCI)
ibex35,Spain,395.0,1.7292,0.0902,PASS,8,return->d(globalCCI)
smi,Switzerland,427.0,0.8292,0.5772,PASS,8,return->d(globalCCI)
aex,Netherlands,404.0,1.3627,0.2114,PASS,8,return->d(globalCCI)
ftsemib,Italy,342.0,2.5127,0.0117,FAIL,8,return->d(globalCCI)
iseq,Ireland,347.0,1.7628,0.0836,PASS,8,return->d(globalCCI)
athex,Greece,346.0,1.4533,0.1736,PASS,8,return->d(globalCCI)
bel20,Belgium,422.0,3.5404,0.0006,FAIL,8,return->d(globalCCI)
atx,Austria,403.0,3.4829,0.0007,FAIL,8,return->d(globalCCI)
psi20,Portugal,158.0,1.2895,0.2543,PASS,8,return->d(globalCCI)
omxstockholm,Sweden,211.0,1.9254,0.0585,PASS,8,return->d(globalCCI)
omxhelsinki,Finland,159.0,2.3945,0.0191,FAIL,8,return->d(globalCCI)
omxcopenhagen,Denmark,114.0,1.0084,0.4357,PASS,8,return->d(globalCCI)
oseax,Norway,159.0,1.6345,0.1208,PASS,8,return->d(globalCCI)
bux,Hungary,291.0,1.3433,0.2222,PASS,8,return->d(globalCCI)
ta125,Israel,404.0,0.9372,0.4856,PASS,8,return->d(globalCCI)
ta35,Israel (TA-35),404.0,1.2229,0.2841,PASS,8,return->d(globalCCI)
bist100,Turkey,347.0,0.7629,0.6358,PASS,8,return->d(globalCCI)
nikkei225,Japan,437.0,2.067,0.0379,FAIL,8,return->d(globalCCI)
topix,Japan (TOPIX),221.0,0.7504,0.6469,PASS,8,return->d(globalCCI)
shanghai,China (SSE),347.0,0.5468,0.8208,PASS,8,return->d(globalCCI)
csi300,China (CSI 300),63.0,0.4933,0.8531,PASS,8,return->d(globalCCI)
szse,China (SZSE),346.0,0.4826,0.8683,PASS,8,return->d(globalCCI)
hangseng,Hong Kong,437.0,1.2347,0.2771,PASS,8,return->d(globalCCI)
hscei,Hong Kong (H-shr),395.0,1.0964,0.3648,PASS,8,return->d(globalCCI)
kospi,South Korea,354.0,0.6605,0.7262,PASS,8,return->d(globalCCI)
kosdaq,South Korea (KQ),308.0,1.0214,0.4199,PASS,8,return->d(globalCCI)
nifty50,India,225.0,1.7785,0.0831,PASS,8,return->d(globalCCI)
kse100,Pakistan,291.0,0.9253,0.4959,PASS,8,return->d(globalCCI)
sti,Singapore,437.0,1.2933,0.2451,PASS,8,return->d(globalCCI)
twse,Taiwan,347.0,1.6641,0.1063,PASS,8,return->d(globalCCI)
jkse,Indonesia,434.0,0.7976,0.605,PASS,8,return->d(globalCCI)
lq45,Indonesia (LQ45),352.0,1.0655,0.387,PASS,8,return->d(globalCCI)
klci,Malaysia,390.0,0.6551,0.731,PASS,8,return->d(globalCCI)
set,Thailand,354.0,1.1755,0.3132,PASS,8,return->d(globalCCI)
psei,Philippines,437.0,0.7873,0.6141,PASS,8,return->d(globalCCI)
asx200,Australia,403.0,3.8415,0.0002,FAIL,8,return->d(globalCCI)
aord,Australia (All),437.0,4.0912,0.0001,FAIL,8,return->d(globalCCI)
nzx50,New Zealand,281.0,1.4085,0.1931,PASS,8,return->d(globalCCI)
