market,country,T,F,p,gate,n_lags,direction
sp500,USA,437.0,5.604,0.0002,FAIL,4,return->d(globalCCI)
nasdaq,USA (NASDAQ),437.0,3.7745,0.005,FAIL,4,return->d(globalCCI)
djia,USA (DJIA),413.0,4.8038,0.0009,FAIL,4,return->d(globalCCI)
rut,USA (Small-Cap),437.0,3.978,0.0035,FAIL,4,return->d(globalCCI)
rui,USA (Large-Cap),402.0,5.323,0.0003,FAIL,4,return->d(globalCCI)
sp400,USA (Mid-Cap),437.0,4.091,0.0029,FAIL,4,return->d(globalCCI)
wilshire5000,USA (Total Mkt),437.0,5.7922,0.0002,FAIL,4,return->d(globalCCI)
tsx,Canada,437.0,4.2592,0.0022,FAIL,4,return->d(globalCCI)
ipc,Mexico,415.0,1.8153,0.125,PASS,4,return->d(globalCCI)
bovespa,Brazil,398.0,1.2843,0.2755,PASS,4,return->d(globalCCI)
ipsa,Chile,210.0,0.9745,0.4226,PASS,4,return->d(globalCCI)
colcap,Colombia,,,,NO_DATA,4,return->d(globalCCI)
merval,Argentina,356.0,0.4832,0.7481,PASS,4,return->d(globalCCI)
eurostoxx50,Eurozone,231.0,4.0686,0.0034,FAIL,4,return->d(globalCCI)
ftse100,UK,437.0,2.4912,0.0426,FAIL,4,return->d(globalCCI)
ftmc,UK (Mid-Cap),437.0,4.8186,0.0008,FAIL,4,return->d(globalCCI)
dax,Germany,437.0,3.5835,0.0069,FAIL,4,return->d(globalCCI)
mdax,Germany (MDAX),364.0,3.821,0.0047,FAIL,4,return->d(globalCCI)
cac40,France,435.0,4.0337,0.0032,FAIL,4,return->d(globalCCI)
ibex35,Spain,395.0,2.2817,0.06,PASS,4,return->d(globalCCI)
smi,Switzerland,427.0,1.4617,0.213,PASS,4,return->d(globalCCI)
aex,Netherlands,404.0,1.4064,0.2311,PASS,4,return->d(globalCCI)
ftsemib,Italy,342.0,3.4676,0.0086,FAIL,4,return->d(globalCCI)
iseq,Ireland,347.0,2.9906,0.019,FAIL,4,return->d(globalCCI)
athex,Greece,346.0,1.7361,0.1416,PASS,4,return->d(globalCCI)
bel20,Belgium,422.0,4.8132,0.0008,FAIL,4,return->d(globalCCI)
atx,Austria,403.0,3.8697,0.0043,FAIL,4,return->d(globalCCI)
psi20,Portugal,158.0,2.1922,0.0728,PASS,4,return->d(globalCCI)
omxstockholm,Sweden,211.0,2.4714,0.0459,FAIL,4,return->d(globalCCI)
omxhelsinki,Finland,159.0,3.7267,0.0064,FAIL,4,return->d(globalCCI)
omxcopenhagen,Denmark,114.0,1.7031,0.1552,PASS,4,return->d(globalCCI)
oseax,Norway,159.0,2.6193,0.0374,FAIL,4,return->d(globalCCI)
bux,Hungary,291.0,1.474,0.2102,PASS,4,return->d(globalCCI)
ta125,Israel,404.0,1.2133,0.3046,PASS,4,return->d(globalCCI)
ta35,Israel (TA-35),404.0,1.4333,0.2222,PASS,4,return->d(globalCCI)
bist100,Turkey,347.0,0.8237,0.5108,PASS,4,return->d(globalCCI)
nikkei225,Japan,437.0,1.0764,0.3677,PASS,4,return->d(globalCCI)
topix,Japan (TOPIX),221.0,0.2775,0.8923,PASS,4,return->d(globalCCI)
shanghai,China (SSE),347.0,0.1552,0.9606,PASS,4,return->d(globalCCI)
csi300,China (CSI 300),63.0,0.206,0.9339,PASS,4,return->d(globalCCI)
szse,China (SZSE),346.0,0.0147,0.9996,PASS,4,return->d(globalCCI)
hangseng,Hong Kong,437.0,1.2554,0.2869,PASS,4,return->d(globalCCI)
hscei,Hong Kong (H-shr),395.0,1.4073,0.2308,PASS,4,return->d(globalCCI)
kospi,South Korea,354.0,0.201,0.9377,PASS,4,return->d(globalCCI)
kosdaq,South Korea (KQ),308.0,0.2024,0.9369,PASS,4,return->d(globalCCI)
nifty50,India,225.0,2.642,0.0348,FAIL,4,return->d(globalCCI)
kse100,Pakistan,291.0,1.766,0.1359,PASS,4,return->d(globalCCI)
sti,Singapore,437.0,0.9428,0.439,PASS,4,return->d(globalCCI)
twse,Taiwan,347.0,0.5873,0.672,PASS,4,return->d(globalCCI)
jkse,Indonesia,434.0,0.4958,0.7388,PASS,4,return->d(globalCCI)
lq45,Indonesia (LQ45),352.0,0.5957,0.666,PASS,4,return->d(globalCCI)
klci,Malaysia,390.0,0.3344,0.8547,PASS,4,return->d(globalCCI)
set,Thailand,354.0,0.3877,0.8175,PASS,4,return->d(globalCCI)
psei,Philippines,437.0,0.7203,0.5784,PASS,4,return->d(globalCCI)
asx200,Australia,403.0,6.3204,0.0001,FAIL,4,return->d(globalCCI)
aord,Australia (All),437.0,6.7526,0.0,FAIL,4,return->d(globalCCI)
nzx50,New Zealand,281.0,2.1621,0.0736,PASS,4,return->d(globalCCI)
