code,country,source,n,start,end,corr_dCCI
CHN,China,FRED_live_R4T3,407,1990-01,2023-12,0.2528
NZL,New Zealand,OECD_CCI_MARKETS,423,1988-06,2023-09,0.286
GRC,Greece,OECD_CCI_MARKETS,468,1985-01,2024-01,0.3684
TUR,Turkey,OECD_CCI_MARKETS,240,2004-01,2024-01,0.3758
CZE,px,OECD_CCI_MARKETS,348,1995-01,2024-01,0.4151
AUS,Australia,OECD_CCI_MARKETS,528,1980-01,2024-01,0.4353
FIN,Finland,OECD_CCI_MARKETS,434,1987-11,2024-01,0.4824
IRL,Ireland,OECD_CCI_MARKETS,516,1980-01,2023-01,0.4852
FRA,France,OECD_CCI_MARKETS,528,1980-01,2024-01,0.4855
ITA,Italy,OECD_CCI_MARKETS,528,1980-01,2024-01,0.4939
AUT,Austria,OECD_CCI_MARKETS,528,1980-01,2024-01,0.5006
MEX,Mexico,OECD_CCI_MARKETS,272,2001-04,2023-12,0.5068
DEU,Germany,OECD_CCI_MARKETS,528,1980-01,2024-01,0.5232
DNK,Denmark,OECD_CCI_MARKETS,528,1980-01,2024-01,0.5243
BEL,Belgium,OECD_CCI_MARKETS,528,1980-01,2024-01,0.5342
POL,wig20,OECD_CCI_MARKETS,272,2001-05,2024-01,0.5515
NLD,Netherlands,OECD_CCI_MARKETS,528,1980-01,2024-01,0.5629
PRT,Portugal,OECD_CCI_MARKETS,451,1986-06,2024-01,0.5702
CHE,Switzerland,OECD_CCI_MARKETS,526,1980-01,2023-11,0.5769
CAN,Canada,OECD_CCI_MARKETS,455,1980-01,2017-12,0.5899
KOR,South Korea,OECD_CCI_MARKETS,300,1998-12,2023-12,0.6029
GBR,UK,OECD_CCI_MARKETS,528,1980-01,2024-01,0.617
SWE,Sweden,OECD_CCI_MARKETS,339,1995-10,2024-01,0.6343
JPN,Japan,OECD_CCI_MARKETS,501,1982-04,2024-01,0.6661
ESP,Spain,OECD_CCI_MARKETS,451,1986-06,2024-01,0.7053
USA,USA,OECD_CCI_MARKETS,528,1980-01,2024-01,0.8078
