market,country,c1_A,c2_A,c1_B,c2_B,agree_full_pct,agree_post2015_pct,n_full,n_post2015
ipc,Mexico,99.267,102.011,97.534,102.058,76.09,58.02,414,131
bovespa,Brazil,100.444,102.43,100.395,102.331,98.24,96.18,397,131
merval,Argentina,97.745,101.253,97.54,101.156,96.62,93.13,355,131
ibex35,Spain,97.128,101.189,97.526,101.142,96.45,93.13,394,131
smi,Switzerland,97.284,101.207,97.52,101.188,99.3,99.24,426,131
aex,Netherlands,97.799,101.383,97.788,101.377,99.75,100.0,403,131
athex,Greece,97.552,101.544,97.552,101.502,98.55,100.0,345,130
ta125,Israel,98.092,101.675,97.522,101.709,96.53,93.13,403,131
ta35,Israel (TA-35),98.092,101.675,97.522,101.709,96.53,93.13,403,131
bist100,Turkey,97.33,102.16,97.552,102.148,99.42,100.0,346,131
nikkei225,Japan,97.881,99.872,97.567,101.269,47.94,49.62,436,131
shanghai,China (SSE),100.167,102.237,97.839,100.64,22.54,29.01,346,131
szse,China (SZSE),99.467,101.767,98.196,100.634,38.26,38.17,345,131
hangseng,Hong Kong,98.45,102.006,98.461,102.036,99.54,100.0,436,131
hscei,Hong Kong (H-shr),98.014,101.263,99.267,101.276,78.68,63.36,394,131
kospi,South Korea,98.733,101.257,97.532,101.443,82.72,72.52,353,131
sti,Singapore,97.881,101.721,97.567,101.716,97.94,96.95,436,131
twse,Taiwan,97.023,101.317,97.839,101.286,94.8,95.42,346,131
jkse,Indonesia,97.8,101.284,97.548,101.384,97.46,97.71,433,131
lq45,Indonesia (LQ45),97.884,101.33,97.516,101.301,96.87,95.42,351,131
klci,Malaysia,97.056,101.499,97.555,101.5,97.69,97.71,389,131
set,Thailand,97.739,101.257,97.532,101.159,96.88,93.89,353,131
psei,Philippines,100.157,102.219,97.567,101.269,49.31,52.67,436,131
