date,global_cci,cci_AUS,cci_AUT,cci_BEL,cci_CAN,cci_CHE,cci_CZE,cci_DEU,cci_DNK,cci_ESP,cci_FIN,cci_FRA,cci_GBR,cci_GRC,cci_IRL,cci_ITA,cci_JPN,cci_KOR,cci_MEX,cci_NLD,cci_NZL,cci_POL,cci_PRT,cci_SWE,cci_TUR,cci_USA
1975-01-31,,99.9606,,99.1467,,98.084,,99.7151,96.6219,,,101.3003,96.919,,94.9725,94.3156,,,,99.7934,,,,,,96.8925
1975-02-28,,100.6289,,99.2504,,97.9999,,99.9964,96.7938,,,101.5331,96.2061,,95.1572,94.6839,,,,99.7639,,,,,,97.2984
1975-03-31,,101.0798,,99.3037,,98.0524,,100.299,97.3331,,,101.5043,95.4947,,95.4264,95.1289,,,,99.7119,,,,,,97.8202
1975-04-30,,101.0941,,99.2606,,98.1675,,100.6015,98.1897,,,101.3751,94.9652,,95.8286,95.5778,,,,99.6404,,,,,,98.2859
1975-05-31,,100.8346,,99.1791,,98.2592,,100.8116,98.8555,,,101.3212,94.762,,96.2053,95.8896,,,,99.5671,,,,,,98.5673
1975-06-30,,100.4997,,99.0694,,98.2728,,100.8473,99.3747,,,101.3978,95.0189,,96.6171,95.9486,,,,99.4514,,,,,,98.7119
1975-07-31,,100.2502,,98.9752,,98.2541,,100.8119,99.8856,,,101.5942,95.5587,,97.1315,95.896,,,,99.2677,,,,,,98.7749
1975-08-31,,100.1008,,98.889,,98.2712,,100.7652,100.3089,,,101.7564,96.1397,,97.577,95.799,,,,99.1213,,,,,,98.7894
1975-09-30,,100.0596,,98.846,,98.3699,,100.7596,100.6662,,,101.9193,96.6718,,98.0212,95.7038,,,,98.9979,,,,,,98.8166
1975-10-31,,100.1656,,99.0101,,98.493,,100.8866,101.0717,,,102.1445,97.1392,,98.4906,95.7322,,,,98.9101,,,,,,98.9277
1975-11-30,,100.42,,99.5226,,98.5616,,101.2822,101.3752,,,102.3568,97.572,,98.6922,95.9057,,,,99.0208,,,,,,99.1729
1975-12-31,,100.7909,,100.3374,,98.532,,101.8083,101.586,,,102.648,98.0824,,98.5362,96.1168,,,,99.442,,,,,,99.4662
1976-01-31,,101.0691,,100.9041,,98.5067,,102.2328,101.7774,,,103.0636,98.6843,,98.1002,96.2272,,,,100.1235,,,,,,99.6936
1976-02-29,,101.0519,,101.1064,,98.6528,,102.4724,101.875,,,103.3123,99.2857,,97.7851,96.128,,,,100.5772,,,,,,99.774
1976-03-31,,100.9294,,101.0859,,99.1165,,102.5523,101.6737,,,103.4062,99.8433,,97.5931,95.9009,,,,100.6408,,,,,,99.7853
1976-04-30,,100.8581,,101.0391,,99.7653,,102.5587,101.1544,,,103.4123,100.2645,,97.4428,95.6461,,,,100.4589,,,,,,99.8324
1976-05-31,,100.7519,,101.0437,,100.4419,,102.5591,100.6855,,,103.3584,100.3535,,97.3608,95.4374,,,,100.2738,,,,,,99.9856
1976-06-30,,100.6849,,101.1049,,101.0323,,102.5957,100.2976,,,103.2271,99.894,,97.3018,95.3061,,,,100.1743,,,,,,100.1817
1976-07-31,,100.6658,,101.1511,,101.5065,,102.6851,99.9447,,,103.0095,99.0637,,97.2302,95.1777,,,,100.1361,,,,,,100.323
1976-08-31,,100.7046,,101.1672,,101.8038,,102.7814,99.685,,,102.8368,98.1385,,97.1794,95.0036,,,,100.1209,,,,,,100.3318
1976-09-30,,100.7212,,101.1487,,101.8347,,102.8795,99.4111,,,102.6697,97.3146,,97.1575,94.8889,,,,100.115,,,,,,100.2616
1976-10-31,,100.6169,,101.0855,,101.6593,,102.9183,99.11,,,102.4708,96.8793,,97.1984,94.9957,,,,100.1442,,,,,,100.1814
1976-11-30,,100.369,,100.9807,,101.2999,,102.8752,98.9295,,,102.3724,97.0261,,97.3836,95.3859,,,,100.2798,,,,,,100.1403
1976-12-31,,100.2457,,100.9131,,100.7597,,102.7269,98.8568,,,102.3467,97.5354,,97.8015,95.9146,,,,100.6095,,,,,,100.141
1977-01-31,,100.1679,100.2671,100.9481,,100.2254,,102.4926,98.8992,,,102.3046,98.1311,,98.3619,96.3826,,,,101.1017,,,,,,100.1856
1977-02-28,,100.0535,100.8086,101.0093,,99.956,,102.1902,98.9491,,,102.1211,98.4747,,98.7093,96.5513,,,,101.4203,,,,,,100.2784
1977-03-31,,100.0067,101.186,101.0395,,100.1656,,101.8786,98.9492,,,101.678,98.5776,,98.8204,96.4883,,,,101.4452,,,,,,100.3852
1977-04-30,,100.0997,101.2072,100.9385,,100.6411,,101.5755,98.8428,,,101.0463,98.7091,,98.8219,96.3997,,,,101.2423,,,,,,100.4625
1977-05-31,,100.1977,100.9513,100.7285,,101.1287,,101.3773,98.7806,,,100.6666,99.0419,,98.8798,96.4206,,,,101.0393,,,,,,100.4725
1977-06-30,,100.1986,100.409,100.46,,101.4549,,101.3776,98.813,,,100.6595,99.772,,99.1975,96.7047,,,,100.8498,,,,,,100.4276
1977-07-31,,100.1564,99.7387,100.2268,,101.6348,,101.4814,98.9514,,,100.9422,100.7864,,99.7929,97.1311,,,,100.6763,,,,,,100.333
1977-08-31,,100.2804,99.1318,100.0447,,101.6956,,101.5965,99.1365,,,101.2349,101.9401,,100.3455,97.5635,,,,100.5549,,,,,,100.1848
1977-09-30,,100.4235,98.8049,99.8901,,101.6468,,101.7223,99.307,,,101.5705,103.0492,,100.9251,97.9669,,,,100.4399,,,,,,100.0172
1977-10-31,,100.6227,98.9306,99.8816,,101.5683,,101.8346,99.422,,,102.0021,103.9967,,101.6045,98.2468,,,,100.3251,,,,,,99.8701
1977-11-30,,100.9562,99.2863,100.0456,,101.5452,,101.9516,99.4981,,,102.2667,104.6311,,102.2105,98.3883,,,,100.3588,,,,,,99.7758
1977-12-31,,101.3444,99.4677,100.324,,101.6305,,102.022,99.4943,,,102.4105,105.0775,,102.8025,98.4483,,,,100.6693,,,,,,99.7254
1978-01-31,,101.6591,99.5486,100.4107,,101.7539,,102.0,99.4429,,,102.524,105.3559,,103.3977,98.4137,,,,101.1867,,,,,,99.6924
1978-02-28,,101.7791,99.7304,100.2525,,101.8154,,101.9668,99.4543,,,102.5981,105.4379,,103.7098,98.4129,,,,101.477,,,,,,99.6122
1978-03-31,,101.6075,99.9221,99.9625,,101.741,,101.9606,99.5599,,,102.6747,105.4725,,103.7118,98.4789,,,,101.3813,,,,,,99.4743
1978-04-30,,101.2841,100.0672,99.7836,,101.6007,,102.0102,99.7015,,,102.7724,105.4521,,103.489,98.5505,,,,101.0154,,,,,,99.4731
1978-05-31,,100.9141,100.2901,99.7934,,101.4851,,102.1404,99.8327,,,102.8104,105.4295,,103.2379,98.677,,,,100.7202,,,,,,99.4972
1978-06-30,,100.4478,100.4124,99.8886,,101.4483,,102.3232,99.9848,,,102.7742,105.2867,,102.9916,98.9472,,,,100.5603,,,,,,99.4614
1978-07-31,,99.9403,100.5765,99.9702,,101.4261,,102.5392,100.136,,,102.6781,105.0094,,102.7063,99.3627,,,,100.4745,,,,,,99.4351
