market,exp_drift,exp_sd,exp_drift_sd,mr_drift_sd,rw_drift_sd
ipc,7.2904,0.1049,69.514,3.747,0.155
bovespa,0.0,,,5.044,0.182
merval,1.1257,0.1262,8.918,-1.645,0.241
ibex35,1.3774,0.0776,17.753,100.175,0.083
smi,1.5905,0.0638,24.929,-13.476,0.159
aex,0.7184,0.0555,12.951,-2.478,0.124
athex,2.2669,0.1229,18.449,9.867,0.003
ta125,1.1938,0.0778,15.336,-1.542,0.175
ta35,1.1532,0.0734,15.718,-1.95,0.17
bist100,4.5844,0.2401,19.098,-3.271,0.159
nikkei225,0.3394,0.0573,5.928,-5.545,0.149
shanghai,2.7328,0.0472,57.851,7.156,0.103
szse,3.9795,0.1111,35.817,10.803,0.071
hangseng,8.3822,0.0904,92.759,14.361,0.114
hscei,1.0026,0.1833,5.469,17.03,0.094
kospi,0.5653,0.1438,3.93,-4.618,0.125
sti,2.3892,0.087,27.478,0.14,0.067
twse,1.3409,0.095,14.121,78.181,0.127
jkse,1.6007,0.1305,12.266,0.113,0.143
lq45,1.5803,0.1535,10.293,0.325,0.138
klci,1.809,0.115,15.73,157.897,0.021
set,1.0913,0.1444,7.557,-2.385,0.099
psei,2.3644,0.0776,30.479,2.406,0.009
