market,country,region,market_class,T,c1,c2,rw_pct,mr_pct,exp_pct,beta_mr,se_mr,sig_mr,beta_ex,se_ex,sig_ex,dc_exp,gfc_mr,covid_mr,current_cci,current_regime,verdict
bist100,Turkey,Middle East,EM,346,97.33,102.16,94.22,3.47,2.31,0.058944738014667236,0.022494416965298608,***,-0.9035472083199311,0.16052271796983061,***,20.5,57.1,0.0,97.552,RW,BOTH TAILS
klci,Malaysia,SE Asia,EM,389,97.05636363636364,101.49878787878788,90.23,1.54,8.23,-1.2546981807631492,0.33337099323129676,***,-0.27361078616688767,0.0946693417584249,***,74.4,0.0,0.0,97.552,RW,EUPHORIA GAUGE
sti,Singapore,Asia Pacific,DM,436,97.88111111111111,101.7211111111111,89.22,5.73,5.05,-0.0042376632127662335,0.05036560271359838,,-0.312831036992235,0.11605071323190683,***,56.4,100.0,0.0,97.552,MR,BOTH TAILS
athex,Greece,W. Europe,DM,345,97.55181818181818,101.54373737373737,88.41,4.06,7.54,-0.15825935225745763,0.05598621755511973,***,-0.270240211178605,0.055960462990781536,***,66.7,85.7,0.0,97.552,RW,BOTH TAILS
ta125,Israel,Middle East,DM,403,98.0920202020202,101.67545454545456,87.59,6.95,5.46,0.013218094573180517,0.024874672610756696,,-0.19234218222195731,0.07930259352737319,**,56.4,100.0,0.0,97.552,MR,BOTH TAILS
ta35,Israel (TA-35),Middle East,DM,403,98.0920202020202,101.67545454545456,87.59,6.95,5.46,0.016312681263137143,0.025567175149123086,,-0.18566642730513994,0.07905364703570197,**,56.4,100.0,0.0,97.552,MR,BOTH TAILS
hangseng,Hong Kong,Asia Pacific,DM,436,98.45,102.00555555555555,87.39,10.09,2.52,-0.1363892801565569,0.06853054156027831,**,-0.8645923851775706,0.22314977823692084,***,28.2,100.0,33.3,97.552,MR,BOTH TAILS
twse,Taiwan,Asia Pacific,EM,346,97.02333333333334,101.31666666666666,86.71,1.73,11.56,-0.7991480631090453,0.34092301903664546,**,-0.15152127625255973,0.08686213026261383,*,89.7,0.0,0.0,97.552,RW,EUPHORIA GAUGE
smi,Switzerland,W. Europe,DM,426,97.28444444444445,101.20666666666666,86.38,2.82,10.8,0.07014750566426238,0.04184601480258458,*,-0.17874387863633548,0.06552799766186528,***,97.4,57.1,0.0,97.552,RW,BOTH TAILS
ibex35,Spain,W. Europe,DM,394,97.12838383838384,101.18949494949496,86.04,2.03,11.93,-0.7603178254621563,0.2517728327403444,***,-0.14964257482384916,0.057784615856521976,***,97.4,28.6,0.0,97.552,RW,BOTH TAILS
jkse,Indonesia,SE Asia,EM,433,97.8,101.28444444444445,84.99,5.08,9.93,-0.004343861385746248,0.03148438959278382,,-0.25935227741045086,0.08506141651985072,***,92.3,100.0,0.0,97.552,MR,BOTH TAILS
aex,Netherlands,W. Europe,DM,403,97.79949494949494,101.38292929292929,84.62,5.46,9.93,0.03135288555329842,0.04053264505666686,,-0.11109579541867688,0.04561563723411584,**,87.2,100.0,0.0,97.552,MR,BOTH TAILS
merval,Argentina,Latin America,Frontier,355,97.74525252525252,101.25333333333333,82.54,5.07,12.39,0.03032313653815141,0.01385871993978065,**,-0.18014840333458296,0.08009230021838369,**,94.9,85.7,0.0,97.552,MR,BOTH TAILS
set,Thailand,SE Asia,EM,353,97.73929292929293,101.25666666666666,82.44,5.1,12.46,0.03009278259914075,0.03846777812265284,,-0.1855636009334934,0.08251156282065511,**,94.9,85.7,0.0,97.552,MR,BOTH TAILS
hscei,Hong Kong (H-shr),Asia Pacific,EM,394,98.01444444444445,101.26333333333334,82.23,6.6,11.17,-0.24683034102133106,0.0962663120431107,**,-0.13330055917106998,0.06593934830668642,**,94.9,100.0,0.0,97.552,MR,BOTH TAILS
lq45,Indonesia (LQ45),SE Asia,EM,351,97.88444444444444,101.329898989899,80.91,7.12,11.97,-0.009815471168876953,0.04184719967373392,,-0.3412159207520224,0.10494262827161416,***,89.7,100.0,0.0,97.552,MR,BOTH TAILS
ipc,Mexico,Latin America,EM,414,99.26666666666667,102.0111111111111,70.29,27.05,2.66,-0.02025128853895949,0.007369919696742387,***,-0.8274089043415885,0.24815124133549857,***,28.2,100.0,66.7,97.552,MR,BOTH TAILS
kospi,South Korea,Asia Pacific,EM,353,98.73333333333333,101.25666666666666,69.12,18.41,12.46,0.058449275549623196,0.029218934457116513,**,-0.08902238537824758,0.061943471626161074,,94.9,100.0,33.3,97.552,MR,BOTH TAILS
szse,China (SZSE),China,EM,345,99.46666666666667,101.76666666666667,57.39,37.39,5.22,-0.09814923876051344,0.038280949031878446,**,-0.4739857590144913,0.1803741415537307,***,46.2,100.0,66.7,97.552,MR,BOTH TAILS
psei,Philippines,SE Asia,EM,436,100.15666666666667,102.21888888888888,53.9,44.95,1.15,-0.019834778744413327,0.007572100170888911,***,-0.3253905865307238,0.2889392908782797,,12.8,100.0,66.7,97.552,MR,BOTH TAILS
shanghai,China (SSE),China,EM,346,100.16666666666667,102.23666666666666,52.02,46.82,1.16,-0.06263998381193517,0.02130504470666922,***,-0.3605448530204857,0.09485297178481103,***,10.3,100.0,66.7,97.552,MR,BOTH TAILS
bovespa,Brazil,Latin America,EM,397,100.44444444444446,102.429898989899,50.38,49.62,0.0,-0.05061315243585442,0.003671059739566806,***,0.0,,,0.0,100.0,100.0,97.552,MR,FEAR GAUGE
nikkei225,Japan,Japan,DM,436,97.88111111111111,99.87222222222222,33.72,5.73,60.55,0.04891314703222878,0.02891453211625662,*,-0.03506466055122075,0.01201110043220667,***,100.0,100.0,0.0,97.552,MR,BOTH TAILS
