market,date,state,fwd12
ipc,1991-12,0,20.625
ipc,1992-01,0,1.8128
ipc,1992-02,0,-18.4775
ipc,1992-03,0,-5.7042
ipc,1992-04,0,-10.0338
ipc,1992-05,0,-15.9697
ipc,1992-06,0,4.104
ipc,1992-07,0,12.1789
ipc,1992-08,0,30.6569
ipc,1992-09,0,32.3721
ipc,1992-10,1,23.2999
ipc,1992-11,0,25.4263
ipc,1992-12,0,39.1692
ipc,1993-01,0,52.0925
ipc,1993-02,0,51.3757
ipc,1993-03,0,30.7853
ipc,1993-04,0,32.2448
ipc,1993-05,0,42.9235
ipc,1993-06,0,30.3962
ipc,1993-07,1,32.7895
ipc,1993-08,1,35.3622
ipc,1993-09,1,40.3464
ipc,1993-10,1,23.5603
ipc,1993-11,0,15.7901
ipc,1993-12,0,-9.251
ipc,1994-01,0,-29.7249
ipc,1994-02,0,-52.2523
ipc,1994-03,0,-27.7446
ipc,1994-04,0,-15.3171
ipc,1994-05,0,-24.7482
ipc,1994-06,0,-2.7976
ipc,1994-07,0,-3.8058
ipc,1994-08,0,-7.858
ipc,1994-09,0,-13.7926
ipc,1994-10,0,-10.0492
ipc,1994-11,0,3.701
ipc,1994-12,0,15.7756
ipc,1995-01,0,38.3724
ipc,1995-02,0,61.3803
ipc,1995-03,0,52.0112
ipc,1995-04,0,48.1363
ipc,1995-05,0,50.5019
ipc,1995-06,0,37.9928
ipc,1995-07,0,23.8499
ipc,1995-08,0,27.7219
ipc,1995-09,0,30.2175
ipc,1995-10,0,33.0874
ipc,1995-11,0,19.7881
ipc,1995-12,0,19.0327
ipc,1996-01,0,18.382
ipc,1996-02,0,30.4573
ipc,1996-03,0,19.8763
ipc,1996-04,0,16.4372
ipc,1996-05,0,21.3596
ipc,1996-06,0,32.818
ipc,1996-07,0,52.1897
ipc,1996-08,0,34.0935
ipc,1996-09,0,49.7325
ipc,1996-10,0,36.9095
ipc,1996-11,0,41.7295
ipc,1996-12,0,44.2058
ipc,1997-01,0,22.545
ipc,1997-02,0,21.9649
ipc,1997-03,0,29.145
ipc,1997-04,0,30.5438
ipc,1997-05,0,13.226
ipc,1997-06,0,-4.0135
ipc,1997-07,0,-17.7174
ipc,1997-08,0,-44.0604
ipc,1997-09,0,-39.9223
ipc,1997-10,0,-13.1558
ipc,1997-11,0,-27.7302
ipc,1997-12,0,-27.8138
ipc,1998-01,0,-14.3661
ipc,1998-02,0,-11.5925
ipc,1998-03,0,-1.7259
ipc,1998-04,0,6.0119
ipc,1998-05,0,18.9952
ipc,1998-06,0,30.8368
ipc,1998-07,0,21.4465
ipc,1998-08,0,53.0744
ipc,1998-09,0,34.6947
ipc,1998-10,0,29.0847
ipc,1998-11,0,48.7207
ipc,1998-12,0,58.8136
ipc,1999-01,0,50.9175
ipc,1999-02,0,54.7764
ipc,1999-03,0,41.5916
ipc,1999-04,0,20.4143
ipc,1999-05,0,8.4586
ipc,1999-06,0,17.5568
ipc,1999-07,0,21.3788
ipc,1999-08,0,27.018
ipc,1999-09,0,22.6541
ipc,1999-10,0,15.9714
ipc,1999-11,2,-8.2129
ipc,1999-12,2,-23.2251
ipc,2000-01,2,-1.3572
ipc,2000-02,2,-20.0126
ipc,2000-03,2,-26.5983
ipc,2000-04,2,-10.3582
ipc,2000-05,2,10.1109
ipc,2000-06,2,-4.1456
ipc,2000-07,2,-0.613
ipc,2000-08,2,-5.4596
ipc,2000-09,2,-15.8968
ipc,2000-10,0,-14.3938
ipc,2000-11,0,3.1381
ipc,2000-12,0,11.9914
ipc,2001-01,0,6.4229
ipc,2001-02,0,11.0139
ipc,2001-03,0,25.0965
ipc,2001-04,0,22.27
ipc,2001-05,0,6.4049
ipc,2001-06,0,-3.1269
ipc,2001-07,0,-7.2463
ipc,2001-08,0,-1.5051
ipc,2001-09,0,5.8394
ipc,2001-10,0,7.4907
ipc,2001-11,0,5.406
ipc,2001-12,0,-3.9237
ipc,2002-01,0,-15.143
ipc,2002-02,0,-12.7706
ipc,2002-03,0,-21.8985
ipc,2002-04,0,-13.9011
ipc,2002-05,0,-4.8435
ipc,2002-06,0,8.7959
ipc,2002-07,0,19.9997
ipc,2002-08,0,19.9823
ipc,2002-09,0,31.1555
ipc,2002-10,0,30.1146
ipc,2002-11,0,32.8893
ipc,2002-12,0,36.1495
ipc,2003-01,0,45.9644
ipc,2003-02,0,52.2236
ipc,2003-03,0,57.5713
ipc,2003-04,0,42.4064
ipc,2003-05,0,40.4222
ipc,2003-06,0,37.6642
ipc,2003-07,0,31.8767
ipc,2003-08,0,30.1655
ipc,2003-09,0,33.7011
ipc,2003-10,0,36.0414
ipc,2003-11,0,34.6961
ipc,2003-12,0,38.4397
ipc,2004-01,0,32.8627
ipc,2004-02,0,32.214
ipc,2004-03,0,18.6741
ipc,2004-04,0,21.4082
ipc,2004-05,0,25.5999
ipc,2004-06,0,27.1284
ipc,2004-07,0,35.3742
ipc,2004-08,0,32.7605
ipc,2004-09,0,38.6053
ipc,2004-10,0,30.9531
ipc,2004-11,0,32.9804
ipc,2004-12,0,32.0738
ipc,2005-01,0,36.7145
ipc,2005-02,0,30.4957
ipc,2005-03,0,41.8905
ipc,2005-04,0,51.6064
ipc,2005-05,0,36.5136
ipc,2005-06,0,35.0493
ipc,2005-07,0,33.2618
ipc,2005-08,0,39.0591
ipc,2005-09,0,30.8114
ipc,2005-10,0,38.0075
ipc,2005-11,0,39.4135
ipc,2005-12,0,39.5842
ipc,2006-01,0,37.6882
ipc,2006-02,0,35.3513
ipc,2006-03,0,39.9871
ipc,2006-04,0,33.9652
ipc,2006-05,0,51.9433
ipc,2006-06,0,48.6693
ipc,2006-07,0,42.243
ipc,2006-08,0,36.5856
ipc,2006-09,0,32.2842
ipc,2006-10,0,31.1141
ipc,2006-11,0,17.6164
ipc,2006-12,0,11.0445
ipc,2007-01,0,4.3735
ipc,2007-02,0,8.2108
ipc,2007-03,0,7.2619
ipc,2007-04,0,4.3352
ipc,2007-05,0,1.8194
ipc,2007-06,0,-5.8007
ipc,2007-07,0,-10.8725
ipc,2007-08,0,-14.35
ipc,2007-09,0,-19.66
ipc,2007-10,0,-43.0921
ipc,2007-11,0,-37.1401
ipc,2007-12,0,-27.7456
ipc,2008-01,0,-38.6405
ipc,2008-02,0,-48.7974
ipc,2008-03,1,-45.4283
ipc,2008-04,1,-32.41
ipc,2008-05,1,-27.3189
ipc,2008-06,1,-18.7555
ipc,2008-07,1,-1.6776
ipc,2008-08,1,6.7609
ipc,2008-09,1,16.085
ipc,2008-10,1,33.7261
ipc,2008-11,1,41.0486
ipc,2008-12,1,36.1312
ipc,2009-01,1,44.0417
ipc,2009-02,1,57.7741
ipc,2009-03,1,52.7655
ipc,2009-04,1,40.0553
ipc,2009-05,1,27.5159
ipc,2009-06,1,24.5752
ipc,2009-07,1,17.7891
ipc,2009-08,1,11.8846
ipc,2009-09,1,13.1196
ipc,2009-10,0,21.6438
ipc,2009-11,0,17.3366
ipc,2009-12,0,17.4471
ipc,2010-01,0,19.6271
ipc,2010-02,0,15.7201
ipc,2010-03,0,11.8205
ipc,2010-04,0,12.292
ipc,2010-05,0,11.1924
ipc,2010-06,0,15.9864
ipc,2010-07,0,10.8163
ipc,2010-08,0,12.0061
ipc,2010-09,0,0.5175
ipc,2010-10,0,1.6501
ipc,2010-11,0,0.0321
ipc,2010-12,0,-3.0953
ipc,2011-01,0,1.1839
ipc,2011-02,0,2.13
ipc,2011-03,1,5.4085
ipc,2011-04,1,6.5406
ipc,2011-05,1,5.5374
ipc,2011-06,1,9.4954
ipc,2011-07,1,12.2833
ipc,2011-08,1,9.8574
ipc,2011-09,1,19.702
ipc,2011-10,1,14.0627
ipc,2011-11,1,12.7408
ipc,2011-12,1,16.4471
ipc,2012-01,1,19.0546
ipc,2012-02,1,15.4185
ipc,2012-03,1,10.9102
ipc,2012-04,1,6.8611
ipc,2012-05,1,9.3582
ipc,2012-06,1,1.0486
ipc,2012-07,1,0.3277
ipc,2012-08,1,0.1792
ipc,2012-09,1,-1.5164
ipc,2012-10,1,-1.4066
ipc,2012-11,1,1.5786
ipc,2012-12,1,-1.7239
ipc,2013-01,1,-10.2188
ipc,2013-02,1,-12.8956
ipc,2013-03,1,-8.5587
ipc,2013-04,0,-3.7411
ipc,2013-05,0,-0.5444
ipc,2013-06,0,5.0727
ipc,2013-07,0,7.0428
ipc,2013-08,0,14.4416
ipc,2013-09,0,11.2844
ipc,2013-10,0,9.276
ipc,2013-11,0,3.9026
ipc,2013-12,0,0.434
ipc,2014-01,0,0.1731
ipc,2014-02,0,13.0523
ipc,2014-03,0,7.7562
ipc,2014-04,0,9.0827
ipc,2014-05,0,7.768
ipc,2014-06,0,5.2786
ipc,2014-07,0,2.1119
ipc,2014-08,0,-4.2673
ipc,2014-09,0,-5.3726
ipc,2014-10,0,-1.0824
ipc,2014-11,0,-1.7622
ipc,2014-12,0,-0.3905
ipc,2015-01,0,6.3397
ipc,2015-02,0,-1.0813
ipc,2015-03,0,4.8138
ipc,2015-04,0,2.6613
ipc,2015-05,0,1.6766
ipc,2015-06,0,2.0058
ipc,2015-07,0,4.1745
ipc,2015-08,0,8.3749
ipc,2015-09,0,10.2746
ipc,2015-10,0,7.4945
ipc,2015-11,0,4.2773
ipc,2015-12,0,6.0171
ipc,2016-01,0,7.4408
ipc,2016-02,0,6.9406
ipc,2016-03,0,5.6368
ipc,2016-04,0,7.3188
ipc,2016-05,0,7.0673
ipc,2016-06,0,8.1256
ipc,2016-07,0,8.9157
ipc,2016-08,0,7.4345
ipc,2016-09,0,6.3557
ipc,2016-10,0,1.2754
ipc,2016-11,0,3.8453
ipc,2016-12,0,7.8179
ipc,2017-01,0,7.0935
ipc,2017-02,0,1.2326
ipc,2017-03,0,-5.1068
ipc,2017-04,0,-1.8504
ipc,2017-05,0,-8.8358
ipc,2017-06,0,-4.5009
ipc,2017-07,0,-2.6093
ipc,2017-08,0,-3.3009
ipc,2017-09,0,-1.6864
ipc,2017-10,0,-10.1266
ipc,2017-11,0,-12.0826
ipc,2017-12,0,-16.996
ipc,2018-01,0,-13.719
ipc,2018-02,0,-10.2328
ipc,2018-03,0,-6.3632
ipc,2018-04,0,-8.0961
ipc,2018-05,0,-4.3786
ipc,2018-06,0,-9.9218
ipc,2018-07,0,-19.5738
ipc,2018-08,0,-15.0553
ipc,2018-09,0,-14.0595
ipc,2018-10,0,-1.387
ipc,2018-11,0,2.5723
ipc,2018-12,0,4.4636
ipc,2019-01,0,0.2733
ipc,2019-02,0,-3.5643
ipc,2019-03,0,-22.5182
ipc,2019-04,0,-20.1181
ipc,2019-05,0,-16.8427
ipc,2019-06,0,-13.4845
ipc,2019-07,0,-9.8778
ipc,2019-08,0,-14.5778
ipc,2019-09,0,-13.8223
ipc,2019-10,0,-15.8424
ipc,2019-11,0,-2.4619
