market,base_dominant,base_MR_pct,base_RW_pct,base_EXP_pct,n_alt_specs,dominant_regime_agreement,is_exception
ipc,RW,27.1,70.3,2.7,7,7/7,False
bovespa,RW,49.6,50.4,0.0,7,7/7,False
merval,RW,5.1,82.5,12.4,7,7/7,False
ibex35,RW,2.0,86.0,11.9,7,7/7,False
smi,RW,2.8,86.4,10.8,7,7/7,False
aex,RW,5.5,84.6,9.9,7,7/7,False
athex,RW,4.1,88.4,7.5,7,7/7,False
ta125,RW,6.9,87.6,5.5,7,7/7,False
ta35,RW,6.9,87.6,5.5,7,7/7,False
bist100,RW,3.5,94.2,2.3,7,7/7,False
nikkei225,EXP,5.7,33.7,60.6,7,3/7,True
shanghai,RW,46.8,52.0,1.2,7,7/7,False
szse,RW,37.4,57.4,5.2,7,7/7,False
hangseng,RW,10.1,87.4,2.5,7,7/7,False
hscei,RW,6.6,82.2,11.2,7,7/7,False
kospi,RW,18.4,69.1,12.5,7,7/7,False
sti,RW,5.7,89.2,5.0,7,7/7,False
twse,RW,1.7,86.7,11.6,7,7/7,False
jkse,RW,5.1,85.0,9.9,7,7/7,False
lq45,RW,7.1,80.9,12.0,7,7/7,False
klci,RW,1.5,90.2,8.2,7,7/7,False
set,RW,5.1,82.4,12.5,7,7/7,False
psei,RW,45.0,53.9,1.1,7,7/7,False
