market,dgp,real_rss_impr,null_rss_p50,null_rss_p95,emp_p_rss,real_pctile,band_share_pct
ipc,iid,5.016,3.156,4.99,0.047,95.3,31.3
ipc,block12,5.016,3.264,6.771,0.134,86.6,28.4
bovespa,iid,28.179,3.164,5.077,0.0,100.0,27.2
bovespa,block12,28.179,4.523,23.269,0.016,98.4,15.8
merval,iid,4.475,3.554,5.707,0.214,78.6,32.8
merval,block12,4.475,3.925,7.69,0.389,61.1,27.6
ibex35,iid,5.003,3.462,5.468,0.098,90.2,24.3
ibex35,block12,5.003,3.838,6.606,0.212,78.8,23.2
smi,iid,6.732,3.048,5.134,0.003,99.7,30.0
smi,block12,6.732,3.519,6.763,0.053,94.7,25.3
aex,iid,5.04,3.308,5.331,0.081,91.9,25.3
aex,block12,5.04,3.595,8.949,0.258,74.2,20.5
athex,iid,10.597,4.146,6.463,0.0,100.0,18.0
athex,block12,10.597,4.59,8.085,0.006,99.4,18.1
ta125,iid,4.278,3.199,5.287,0.167,83.3,27.5
ta125,block12,4.278,3.781,7.059,0.372,62.8,24.7
ta35,iid,3.807,3.185,5.156,0.289,71.1,27.1
ta35,block12,3.807,3.575,6.707,0.429,57.1,23.0
bist100,iid,10.492,3.695,6.072,0.0,100.0,34.1
bist100,block12,10.492,4.082,9.99,0.032,96.8,29.0
nikkei225,iid,3.862,3.362,5.144,0.311,68.9,24.0
nikkei225,block12,3.862,3.346,6.349,0.337,66.3,23.0
shanghai,iid,4.298,4.028,6.303,0.416,58.4,24.4
shanghai,block12,4.298,4.946,8.854,0.626,37.4,20.9
szse,iid,5.078,4.091,6.374,0.222,77.8,19.6
szse,block12,5.078,4.732,8.747,0.439,56.1,17.3
hangseng,iid,5.229,3.178,5.054,0.039,96.1,25.4
hangseng,block12,5.229,3.404,6.262,0.135,86.5,22.8
hscei,iid,6.802,3.664,5.778,0.007,99.3,18.9
hscei,block12,6.802,3.975,8.115,0.094,90.6,16.8
kospi,iid,4.093,3.818,6.008,0.398,60.2,28.3
kospi,block12,4.093,4.395,8.693,0.56,44.0,20.0
sti,iid,4.075,3.288,5.102,0.209,79.1,25.1
sti,block12,4.075,3.78,7.678,0.445,55.5,18.2
twse,iid,5.309,4.014,6.203,0.161,83.9,27.9
twse,block12,5.309,4.486,7.919,0.341,65.9,21.8
jkse,iid,7.192,3.153,5.195,0.003,99.7,17.7
jkse,block12,7.192,3.51,7.914,0.074,92.6,16.7
lq45,iid,9.976,3.971,6.401,0.002,99.8,23.7
lq45,block12,9.976,4.135,10.484,0.056,94.4,21.8
klci,iid,7.908,3.702,5.882,0.0,100.0,22.0
klci,block12,7.908,4.162,10.096,0.13,87.0,15.8
set,iid,6.437,3.95,6.3,0.044,95.6,22.9
set,block12,6.437,4.604,9.285,0.215,78.5,21.2
psei,iid,3.571,3.262,5.145,0.382,61.8,23.4
psei,block12,3.571,3.721,6.79,0.536,46.4,19.7
