market,real_c1,real_c2,real_rss_impr_pct,plac_c1_p5,plac_c1_p25,plac_c1_p50,plac_c1_p75,plac_c1_p95,plac_c2_p5,plac_c2_p50,plac_c2_p95,band_share_pct,real_c1_pctile,real_c2_pctile,real_rss_pctile,plac_rss_p50,plac_rss_p95
ipc,99.267,102.011,5.0156,96.811,96.956,97.353,98.599,99.563,99.285,101.578,102.123,32.0,88.0,86.0,92.0,3.1668,5.052
bovespa,100.444,102.43,28.1788,96.768,97.062,97.577,98.716,99.422,99.261,101.695,102.136,26.0,100.0,100.0,100.0,2.9732,4.4486
merval,97.745,101.253,4.4747,96.754,96.983,97.288,98.451,99.846,100.262,101.444,102.092,22.0,58.0,34.0,78.0,3.6817,5.6481
ibex35,97.128,101.189,5.0026,96.833,97.055,97.571,98.661,99.735,99.122,101.411,102.002,32.0,30.0,28.0,86.0,3.3934,5.482
smi,97.284,101.207,6.7316,96.785,96.964,97.819,98.996,99.542,99.624,101.742,102.205,30.0,38.0,24.0,100.0,3.08,4.9505
aex,97.799,101.383,5.0403,96.809,97.068,97.726,98.896,99.635,100.505,101.456,102.187,20.0,52.0,44.0,98.0,3.2611,4.6533
athex,97.552,101.544,10.597,96.784,97.014,97.629,98.78,99.863,99.275,101.237,102.235,10.0,42.0,56.0,100.0,4.3624,6.8764
ta125,98.092,101.675,4.2783,96.776,96.958,97.617,98.896,99.668,100.685,101.529,102.228,28.0,62.0,58.0,90.0,3.0673,4.5811
ta35,98.092,101.675,3.8066,96.922,97.141,97.726,98.915,99.375,99.84,101.822,102.228,34.0,56.0,46.0,76.0,3.2913,5.1196
bist100,97.33,102.16,10.492,96.87,97.023,97.905,98.633,99.826,99.971,101.585,102.237,28.0,40.0,84.0,100.0,3.5964,5.1824
nikkei225,97.881,99.872,3.8622,96.743,97.028,97.454,98.432,99.278,99.652,101.259,102.155,26.0,58.0,10.0,68.0,3.2867,5.0216
shanghai,100.167,102.237,4.2982,96.828,97.023,97.79,99.362,99.902,99.546,101.623,102.237,20.0,96.0,88.0,58.0,3.854,5.9411
szse,99.467,101.767,5.0783,96.818,97.013,97.703,99.045,100.306,99.007,101.537,102.438,24.0,82.0,52.0,94.0,3.909,5.3382
hangseng,98.45,102.006,5.229,96.743,97.046,98.272,99.019,99.588,99.652,101.366,102.084,20.0,58.0,90.0,100.0,3.226,4.4737
hscei,98.014,101.263,6.8017,96.899,97.073,97.756,99.03,99.639,99.51,101.337,102.19,16.0,54.0,42.0,98.0,3.3578,5.0162
kospi,98.733,101.257,4.093,96.745,97.128,97.854,98.714,99.54,98.837,101.563,102.216,32.0,74.0,34.0,60.0,3.8599,5.5107
sti,97.881,101.721,4.0755,96.743,97.028,98.166,99.161,100.022,99.019,101.686,102.219,24.0,44.0,50.0,78.0,3.5225,5.5459
twse,97.023,101.317,5.3094,96.793,97.1,97.713,98.921,100.021,99.599,101.47,102.237,26.0,14.0,44.0,82.0,3.9792,6.8705
jkse,97.8,101.284,7.1916,96.804,96.947,97.8,98.849,99.656,99.219,101.356,102.074,20.0,48.0,42.0,100.0,3.6798,4.896
lq45,97.884,101.33,9.9763,96.813,97.042,97.77,98.995,99.688,99.144,101.521,102.214,20.0,52.0,38.0,100.0,3.9643,6.3191
klci,97.056,101.499,7.9082,96.868,97.13,97.797,98.741,99.648,99.237,101.092,102.132,10.0,12.0,60.0,100.0,3.9551,6.0742
set,97.739,101.257,6.4375,96.898,97.051,97.969,99.307,100.152,99.303,101.563,102.216,20.0,48.0,38.0,90.0,4.012,7.0775
psei,100.157,102.219,3.5715,96.886,97.099,97.774,98.752,99.634,99.833,101.437,102.219,32.0,98.0,92.0,66.0,3.3226,4.5272
