market,sim,c1,c2,rss_impr_pct,b_MR,b_EX
ipc,0,97.3889,102.1556,1.6786,-0.053037,-0.185053
ipc,1,96.8111,101.7944,6.0628,-2.134358,-0.901066
ipc,2,96.8111,100.5667,2.6135,-1.229956,-0.005136
ipc,3,97.8222,101.7222,3.2179,0.036571,-0.195523
ipc,4,98.3278,102.0111,4.9889,0.019994,-0.090958
ipc,5,97.1,101.4333,3.7899,0.057371,-0.353255
ipc,6,99.05,101.65,3.9126,-0.122231,-0.320661
ipc,7,96.8111,101.7944,4.2093,-0.967378,-0.983744
ipc,8,97.3167,101.2167,2.9711,0.052925,-0.107303
ipc,9,99.7,101.7222,2.1418,0.001501,-0.182929
ipc,10,98.6167,101.7944,3.3429,0.026829,-0.437141
ipc,11,99.4833,102.1556,3.7694,-0.018651,-0.535209
ipc,12,97.1,102.0833,4.7704,-0.209629,-0.850703
ipc,13,98.6167,101.9389,1.6935,0.003846,-0.916339
ipc,14,97.8944,99.8444,5.0773,-0.307005,-0.010677
ipc,15,96.8833,101.7944,2.6903,-0.798835,-0.23284
ipc,16,97.0278,102.0833,4.6434,-0.649184,-0.292816
ipc,17,97.8222,101.7944,3.3129,-0.011228,-0.238152
ipc,18,96.9556,100.9278,2.9584,-1.301747,-0.0574
ipc,19,96.8111,101.2889,3.0259,5.497399,-0.17816
ipc,20,96.8111,101.2167,1.7896,-1.458971,-0.145446
ipc,21,98.6167,101.5778,3.1156,-0.017711,-0.232263
ipc,22,99.05,101.5778,3.0462,0.014887,-0.45384
ipc,23,97.0278,101.7222,2.8463,0.435233,-0.150954
ipc,24,96.8111,100.7111,4.2858,2.878917,-0.016369
ipc,25,97.3889,99.6278,1.7451,0.005645,-0.004708
ipc,26,96.8111,98.8333,1.7892,-1.504646,-0.00239
ipc,27,99.2667,101.3611,2.9772,-0.033904,-0.107634
ipc,28,99.1222,101.5778,2.6337,-0.006286,-0.261652
ipc,29,96.9556,100.7111,4.1945,-0.874996,-0.014837
ipc,30,97.6778,102.0111,1.8039,0.011378,-0.514997
ipc,31,97.5333,101.2167,3.4519,0.047343,-0.284365
ipc,32,99.1222,102.1556,5.0211,-0.031133,-0.877312
ipc,33,96.8833,101.0,3.9417,-0.051331,-0.007972
ipc,34,97.1,101.7222,3.2788,-0.262101,-0.156362
ipc,35,98.5444,101.65,4.5873,0.034521,-0.128113
ipc,36,97.0278,101.7222,4.183,-1.3033,-0.084885
ipc,37,99.6278,101.8667,1.8534,-0.007292,-0.206895
ipc,38,99.6278,101.8667,4.3624,0.007631,-0.177952
ipc,39,97.1,99.4833,2.8251,0.058833,-0.00275
ipc,40,96.8111,98.8333,2.8936,-1.555796,-0.002056
ipc,41,97.0278,101.7944,5.8723,-1.450716,-0.286024
ipc,42,97.8222,101.2167,3.0953,-0.03787,-0.334048
ipc,43,97.0278,100.8556,3.5144,-1.791385,-0.019217
ipc,44,96.8111,100.8556,4.4444,-1.842133,-0.003613
ipc,45,97.0278,99.1222,2.8487,-1.172253,-0.035063
ipc,46,96.8111,101.9389,2.9661,-0.217339,-0.826381
ipc,47,99.4833,101.5056,1.9788,-0.007198,-0.102525
ipc,48,97.8944,99.8444,1.82,-0.022384,-0.002962
ipc,49,97.5333,101.4333,4.5974,0.002853,-0.470649
bovespa,0,96.7677,99.1943,2.3141,-1.447639,0.002364
bovespa,1,99.3414,101.621,2.9259,0.002614,-0.233214
bovespa,2,97.0618,102.1358,2.5779,-1.359619,-0.292227
