market,rw_pct_drift,rw_pct_nodrift,c1_nodrift,c2_nodrift,rank_drift,rank_nodrift,rw_pct_constdrift,c1_constdrift,c2_constdrift,rank_constdrift
ipc,70.29,12.08,96.45,98.544,17,21,92.75,97.894,102.228,6
bovespa,50.38,33.5,97.797,99.856,22,18,75.57,97.871,101.033,17
merval,82.54,27.04,100.872,102.855,13,19,58.87,99.194,101.33,20
ibex35,86.04,87.56,97.128,101.337,10,6,87.56,97.128,101.337,11
smi,86.38,87.56,97.284,101.349,9,7,96.71,97.284,102.276,2
aex,84.62,84.62,97.799,101.383,12,10,84.62,97.799,101.383,15
athex,88.41,86.96,97.552,101.467,4,8,86.96,97.552,101.467,14
ta125,87.59,11.17,96.41,98.458,5,22,92.06,97.799,102.041,7
ta35,87.59,11.17,96.41,98.458,6,23,92.06,97.799,102.041,8
bist100,94.22,58.38,99.247,101.393,1,14,87.28,97.023,101.393,12
nikkei225,33.72,70.87,98.948,101.223,23,12,31.65,97.526,99.659,23
shanghai,52.02,60.4,97.407,100.703,21,13,57.51,97.407,100.627,21
szse,57.39,57.39,97.397,100.617,19,15,57.39,97.397,100.617,22
hangseng,87.39,15.6,96.886,98.877,7,20,97.94,96.886,102.219,1
hscei,82.23,98.48,96.833,102.297,15,1,88.58,96.833,101.337,9
kospi,69.12,73.37,98.963,101.868,18,11,73.37,98.963,101.868,19
sti,89.22,93.12,97.881,102.219,3,3,93.12,97.881,102.219,5
twse,86.71,53.47,99.477,101.47,8,17,86.99,96.947,101.317,13
jkse,84.99,93.76,97.8,102.209,11,2,93.76,97.8,102.209,4
lq45,80.91,89.74,97.884,102.019,16,4,88.03,97.884,101.789,10
klci,90.23,85.35,97.797,101.425,2,9,76.86,97.797,101.055,16
set,82.44,88.67,97.816,101.792,14,5,75.07,98.504,101.333,18
psei,53.9,54.59,100.157,102.29,20,16,94.27,97.81,102.29,3
