market,country,MR_mean_ret_pct,MR_resid_sd_pct,MR_drift_sd,MR_beta,MR_t,MR_correction_pass,RW_mean_ret_pct,RW_resid_sd_pct,RW_drift_sd,EXP_mean_ret_pct,EXP_resid_sd_pct,EXP_drift_sd,EXP_beta,EXP_t,EXP_root_pass,n_EXP
ipc,Mexico,0.7495,5.6861,3.873,-0.02025,-2.748,True,1.0082,6.4956,0.155,1.3667,7.0148,103.929,-0.82741,-3.334,False,11
bovespa,Brazil,2.6998,8.069,7.088,-0.05061,-13.787,True,1.788,9.8109,0.182,,,,0.0,,False,0
merval,Argentina,3.8498,14.2832,-1.874,0.03032,2.188,False,2.8348,11.7418,0.241,-0.8596,11.9252,9.44,-0.18015,-2.249,False,44
ibex35,Spain,-3.0575,4.2912,159.021,-0.76032,-3.02,True,0.4583,5.4987,0.083,1.0758,7.2381,19.03,-0.14964,-2.59,False,47
smi,Switzerland,-3.2833,4.3961,-15.252,0.07015,1.676,False,0.6024,3.7984,0.159,0.9841,5.9006,26.955,-0.17874,-2.728,False,46
aex,Netherlands,-2.962,8.846,-2.515,0.03135,0.774,False,0.5918,4.7806,0.124,1.8901,5.1592,13.925,-0.1111,-2.435,False,40
athex,Greece,-3.7161,8.5428,12.736,-0.15826,-2.827,True,0.0289,8.5022,0.003,3.1809,8.7509,25.905,-0.27024,-4.829,False,26
ta125,Israel,-1.6917,7.2502,-1.55,0.01322,0.531,False,0.8996,5.1335,0.175,2.1503,6.8423,17.447,-0.19234,-2.425,False,22
ta35,Israel (TA-35),-1.5075,6.7884,-1.965,0.01631,0.638,False,0.8776,5.1625,0.17,2.1586,6.4954,17.754,-0.18567,-2.349,False,22
bist100,Turkey,5.5935,8.6892,-4.249,0.05894,2.62,False,1.6518,10.3987,0.159,6.1807,9.5786,47.861,-0.90355,-5.629,False,8
nikkei225,Japan,-0.7276,8.2952,-5.88,0.04891,1.692,False,0.8958,6.0157,0.149,-0.2202,5.6351,6.023,-0.03506,-2.919,False,264
shanghai,China (SSE),-0.229,6.7398,7.347,-0.06264,-2.94,True,0.7291,7.0829,0.103,7.3863,1.6472,165.904,-0.36054,-3.801,False,4
szse,China (SZSE),-0.1691,8.2177,11.079,-0.09815,-2.564,True,0.5517,7.8012,0.071,2.1679,9.286,42.855,-0.47399,-2.628,False,18
hangseng,Hong Kong,-1.7561,8.866,15.022,-0.13639,-1.99,True,0.7385,6.4885,0.114,1.508,5.5323,151.512,-0.86459,-3.874,False,11
hscei,Hong Kong (H-shr),-2.0602,11.4167,19.221,-0.24683,-2.564,True,0.7569,8.0365,0.094,-2.4718,17.5009,5.729,-0.1333,-2.022,False,44
kospi,South Korea,1.7141,9.1353,-4.762,0.05845,2.0,False,0.6582,5.2852,0.125,-0.4292,14.0413,4.026,-0.08902,-1.437,False,44
sti,Singapore,-2.3012,7.5703,0.14,-0.00424,-0.084,False,0.3739,5.5852,0.067,1.4209,7.4468,32.084,-0.31283,-2.696,False,22
twse,Taiwan,-2.0309,6.3463,120.452,-0.79915,-2.344,True,0.7325,5.7781,0.127,-1.5224,9.1369,14.676,-0.15152,-1.744,False,40
jkse,Indonesia,-2.3169,10.748,0.113,-0.00434,-0.138,False,0.8282,5.7942,0.143,-0.6435,11.7822,13.586,-0.25935,-3.049,False,43
lq45,Indonesia (LQ45),-2.5568,11.4035,0.325,-0.00982,-0.235,False,0.8454,6.1139,0.138,-0.8209,13.6541,11.574,-0.34122,-3.251,False,42
klci,Malaysia,-0.8861,2.7188,336.484,-1.2547,-3.764,True,0.1036,5.0023,0.021,-0.1,10.1711,17.785,-0.27361,-2.89,False,32
set,Thailand,-2.3173,9.5263,-2.43,0.03009,0.782,False,0.5441,5.4912,0.099,-1.2087,13.6424,7.999,-0.18556,-2.249,False,44
psei,Philippines,0.9808,7.0829,2.448,-0.01983,-2.619,True,0.0639,7.1841,0.009,-7.4198,6.5037,36.355,-0.32539,-1.126,False,5
