market,scheme,n_ok,boundary_frac,degenerate_frac,c1_lo,c1_hi,c1_med,c2_lo,c2_hi,c2_med,MR_lo,MR_hi,MR_med,RW_lo,RW_hi,RW_med,EXP_lo,EXP_hi,EXP_med,bMR_lo,bMR_hi,bMR_med,bRW_lo,bRW_hi,bRW_med,bEXP_lo,bEXP_hi,bEXP_med
ipc,wild,1000,0.0,0.002,97.1,99.9889,99.1944,101.2167,102.2278,102.0111,1.6908,42.029,25.8454,55.314,95.8937,71.0145,1.2077,11.1111,2.657,-0.2594,0.1935,-0.0281,0.0,0.0,0.0,-1.9937,0.0112,-0.8559
ipc,block12,1000,0.006,0.008,96.9288,100.0658,97.8363,100.8425,102.0855,101.7073,0.9662,43.4903,6.5217,43.6534,95.4167,82.971,1.2077,28.2729,5.314,-1.1164,0.1658,-0.0231,0.0,0.0,0.0,-1.3072,0.0219,-0.5691
ipc,block24,1000,0.021,0.01,96.9271,100.0704,97.7927,100.8405,102.1287,101.709,1.2077,45.4227,4.5894,44.4384,95.8937,86.9565,0.9601,25.3623,5.0725,-1.0689,0.1588,-0.0239,0.0,0.0,0.0,-1.452,0.0182,-0.7657
ipc,block36,1000,0.033,0.009,96.9261,100.0425,97.6711,100.7472,102.086,101.7196,0.9662,42.0531,3.6232,37.657,95.8998,88.4058,0.9662,30.93,5.314,-1.1085,0.1633,-0.0495,0.0,0.0,0.0,-1.4847,0.0213,-0.7911
bovespa,wild,1000,0.0,0.677,99.7091,100.5915,100.4444,102.0604,102.577,102.4299,37.5315,56.1713,49.6222,43.8287,59.9559,50.3778,0.0,2.5315,0.0,-0.0613,-0.0425,-0.0528,0.0,0.0,0.0,-0.6938,0.9108,0.0
bovespa,block12,1000,0.002,0.577,97.5289,101.0154,100.4047,99.8978,102.9856,102.3644,1.7569,82.3741,43.073,17.6259,92.9534,54.4081,0.0,58.7091,0.0,-1.0765,0.0985,-0.0537,0.0,0.0,0.0,-0.7492,0.0,0.0
bovespa,block24,1000,0.009,0.401,97.5043,100.8182,98.4121,99.8421,102.7814,102.0246,1.5113,75.063,12.8463,23.4194,93.961,71.5365,0.0,62.2229,3.5264,-1.0874,0.1025,-0.0551,0.0,0.0,0.0,-0.7966,0.0,-0.1793
bovespa,block36,1000,0.02,0.292,97.0617,100.7056,98.0436,99.5333,102.6797,101.885,1.5113,70.2834,9.3199,26.1902,93.4572,77.33,0.0,65.2456,5.2897,-1.0874,0.0374,-0.0582,0.0,0.0,0.0,-0.7768,0.0,-0.1971
merval,wild,1000,0.001,0.002,96.7538,99.1942,97.669,100.0331,101.4821,101.3296,0.8451,29.2958,4.7887,38.5915,88.4507,83.0986,9.0141,56.0563,11.831,-0.5954,0.4205,0.033,0.0,0.0,0.0,-0.3493,0.0183,-0.197
merval,block12,1000,0.003,0.0,96.7522,99.2055,97.8959,99.1965,101.4286,101.2157,1.1268,34.9366,8.169,32.0986,90.4296,71.9718,3.662,65.3732,15.493,-1.1091,0.0742,0.0147,0.0,0.0,0.0,-0.6017,0.0236,-0.1871
