market,c1_free,c2_free,b2_rw,se_b2,t_b2,n_rw,sig5
ipc,96.96,102.01,-0.004694,0.002653,-1.769,398,False
bovespa,97.8,100.44,-0.050335,0.003609,-13.948,175,True
merval,96.75,101.25,0.004683,0.002771,1.69,308,False
ibex35,97.13,101.19,-0.013474,0.007522,-1.791,339,False
smi,97.28,101.28,-0.009532,0.003515,-2.711,370,True
aex,97.73,101.38,-0.015009,0.00584,-2.57,345,True
athex,97.55,101.54,-0.009161,0.007776,-1.178,305,False
ta125,98.09,101.68,0.001983,0.003401,0.583,353,False
ta35,98.09,101.68,0.001635,0.003367,0.486,353,False
bist100,97.33,102.16,-0.004438,0.003903,-1.137,326,False
nikkei225,98.66,101.22,-0.015931,0.008297,-1.92,325,False
shanghai,100.17,102.24,0.00242,0.012445,0.194,180,False
szse,99.47,101.77,0.000877,0.009575,0.092,198,False
hangseng,96.89,102.01,-0.016743,0.005854,-2.86,421,True
hscei,97.65,101.26,-0.0226,0.007935,-2.848,333,True
kospi,98.96,101.26,-0.015468,0.006982,-2.216,229,True
sti,97.88,101.72,-0.007252,0.008336,-0.87,389,False
twse,97.02,101.32,0.010209,0.007215,1.415,300,False
jkse,97.8,101.28,-0.001003,0.002607,-0.385,368,False
lq45,97.88,101.33,-0.008708,0.004443,-1.96,284,True
klci,97.06,101.5,-0.006339,0.007604,-0.834,351,False
set,97.74,101.26,-0.014982,0.006443,-2.325,291,True
psei,97.03,101.44,-0.009471,0.004943,-1.916,396,False
