market,country,T,c1,c2,beta_mr,beta_ex,n_mr,n_rw,n_ex,verdict
cac40,France,434,-1.3040939597315435,0.4278523489932886,-0.16113917381928766,-0.0034351247118928996,11,156,267,BOTH TAILS
shanghai,China,346,-0.8585906040268455,-0.7015436241610737,-0.15885026944356934,-0.00983712311199653,20,2,324,BOTH TAILS
hangseng,Hong Kong,436,-1.53,1.0734899328859064,-0.3100498386222201,0.9633222329136849,9,422,5,FEAR GAUGE
kospi,South Korea,353,0.06422818791946328,0.4278523489932886,-0.06397311143581362,0.01812228490889047,62,87,204,BOTH TAILS
nifty50,India,224,-0.41288590604026876,-0.16590604026845668,-0.18870043744569787,-0.0022439779412644226,23,5,196,FEAR GAUGE
asx200,Australia,402,0.04825503355704708,1.0122818791946309,-0.07742541748075664,0.12474047301453997,61,329,12,FEAR GAUGE
bovespa,Brazil,397,-0.4114093959731542,0.5753691275167789,-0.23093547359899133,-0.05214166727904995,25,243,129,BOTH TAILS
eurostoxx50,Eurozone,230,-1.9375838926174498,0.05167785234899336,-0.3781808955809145,-0.01749013973620223,8,31,191,FEAR GAUGE
ibex35,Spain,394,0.41355704697986573,0.995503355704698,-0.027500270655110154,-0.2791338189430392,143,246,5,FEAR GAUGE
sti,Singapore,436,0.14724832214765127,0.572818791946309,-0.08997709671740163,-0.026713785832277015,84,199,153,BOTH TAILS
twse,Taiwan,346,-0.12570469798657702,0.05751677852349002,-0.09618149788367122,0.00845307239492585,42,19,285,BOTH TAILS
jse,South Africa,171,0.05053691275167785,0.6758389261744967,-0.27415675205309276,-0.13965506093148508,4,146,21,WEAK
ta125,Israel,403,-1.54,0.45885906040268454,-0.34262448474096785,0.004247125075116332,9,159,235,BOTH TAILS
klci,Malaysia,389,0.055033557046979986,0.5849664429530201,-0.11171443159318396,-0.03212224778115948,61,216,112,BOTH TAILS
