,CAC40_ANFCI_A,CAC40_ANFCI_B,SHANGHAI_ANFCI_A,SHANGHAI_ANFCI_B,HANGSENG_ANFCI_A,HANGSENG_ANFCI_B,KOSPI_ANFCI_A,KOSPI_ANFCI_B,NIFTY50_ANFCI_A,NIFTY50_ANFCI_B,ASX200_ANFCI_A,ASX200_ANFCI_B,BOVESPA_ANFCI_A,BOVESPA_ANFCI_B,EUROSTOXX50_ANFCI_A,EUROSTOXX50_ANFCI_B,IBEX35_ANFCI_A,IBEX35_ANFCI_B,STI_ANFCI_A,STI_ANFCI_B,TWSE_ANFCI_A,TWSE_ANFCI_B,JSE_ANFCI_A,JSE_ANFCI_B,TA125_ANFCI_A,TA125_ANFCI_B,KLCI_ANFCI_A,KLCI_ANFCI_B
2024-06,RW,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,MR,EXP,RW,RW,EXP,EXP,RW,MR,RW,RW,RW,RW
2024-07,RW,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,MR,RW,RW,RW,EXP,EXP,RW,MR,RW,RW,RW,RW
2024-08,RW,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,MR,RW,RW,RW,RW
2024-09,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2024-10,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2024-11,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2024-12,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2025-01,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2025-02,EXP,RW,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2025-03,RW,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,MR,RW,RW,RW,RW
2025-04,RW,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,MR,EXP,RW,RW,EXP,EXP,RW,MR,RW,RW,RW,RW
2025-05,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2025-06,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2025-07,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2025-08,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2025-09,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,EXP
2025-10,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2025-11,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2025-12,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2026-01,EXP,EXP,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2026-02,EXP,RW,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2026-03,RW,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,MR,EXP,RW,RW,EXP,EXP,RW,MR,RW,RW,RW,RW
2026-04,EXP,RW,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,RW,EXP,RW,RW,RW
2026-05,EXP,RW,EXP,EXP,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,EXP,EXP,RW,EXP,RW,RW,EXP,EXP,RW,MR,RW,RW,RW,RW
