,SP500_BCI_A,SP500_BCI_B,FTSE100_BCI_A,FTSE100_BCI_B,DAX_BCI_A,DAX_BCI_B,CAC40_BCI_A,CAC40_BCI_B,NIKKEI225_BCI_A,NIKKEI225_BCI_B,SHANGHAI_BCI_A,SHANGHAI_BCI_B,HANGSENG_BCI_A,HANGSENG_BCI_B,KOSPI_BCI_A,KOSPI_BCI_B,NIFTY50_BCI_A,NIFTY50_BCI_B,TSX_BCI_A,TSX_BCI_B,ASX200_BCI_A,ASX200_BCI_B,BOVESPA_BCI_A,BOVESPA_BCI_B,EUROSTOXX50_BCI_A,EUROSTOXX50_BCI_B,IBEX35_BCI_A,IBEX35_BCI_B,SMI_BCI_A,SMI_BCI_B,STI_BCI_A,STI_BCI_B,TWSE_BCI_A,TWSE_BCI_B,JSE_BCI_A,JSE_BCI_B,AEX_BCI_A,AEX_BCI_B,IPC_BCI_A,IPC_BCI_B,JKSE_BCI_A,JKSE_BCI_B,TA125_BCI_A,TA125_BCI_B,KLCI_BCI_A,KLCI_BCI_B
2021-11,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP
2021-12,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP
2022-01,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,RW,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP
2022-02,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,RW,EXP,EXP,RW,EXP,RW,EXP,RW,EXP,EXP,EXP,EXP,EXP,RW,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP
2022-03,EXP,EXP,EXP,EXP,RW,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,RW,RW,EXP,RW,EXP,RW,RW,RW,EXP,EXP,EXP,EXP,EXP,RW,EXP,RW,EXP,EXP,EXP,EXP,EXP,RW,EXP
2022-04,EXP,EXP,EXP,EXP,RW,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,RW,RW,EXP,RW,EXP,RW,RW,RW,EXP,EXP,EXP,EXP,EXP,RW,EXP,RW,EXP,EXP,EXP,EXP,EXP,RW,EXP
2022-05,EXP,EXP,RW,EXP,RW,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,EXP,EXP,EXP,EXP,EXP,EXP,EXP,RW,RW,RW,EXP,RW,EXP,RW,RW,RW,EXP,EXP,EXP,EXP,EXP,RW,EXP,RW,EXP,RW,EXP,EXP,EXP,RW,RW
2022-06,EXP,EXP,RW,EXP,RW,EXP,RW,EXP,EXP,EXP,EXP,EXP,RW,RW,RW,RW,EXP,EXP,EXP,EXP,RW,RW,MR,MR,RW,EXP,RW,EXP,RW,RW,RW,RW,EXP,EXP,EXP,EXP,RW,RW,RW,RW,RW,EXP,RW,RW,RW,RW
2022-07,EXP,EXP,RW,EXP,RW,EXP,RW,RW,EXP,EXP,EXP,RW,RW,RW,RW,RW,EXP,RW,RW,RW,RW,RW,MR,MR,RW,EXP,RW,EXP,RW,RW,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,RW,EXP,RW,RW,RW,RW
2022-08,RW,RW,RW,RW,RW,EXP,RW,RW,EXP,EXP,EXP,RW,RW,RW,RW,RW,EXP,RW,RW,RW,RW,RW,MR,MR,RW,EXP,RW,EXP,RW,RW,RW,RW,EXP,RW,EXP,EXP,RW,RW,RW,RW,RW,EXP,RW,RW,RW,RW
