market,country,T,c1,c2,beta_mr,beta_ex,n_mr,n_rw,n_ex,verdict
sp500,USA,435,97.20808080808081,100.47373737373738,0.05979701703208642,-0.008455398265716242,10,281,144,BOTH TAILS
ftse100,UK,435,98.87171717171718,101.27474747474747,-0.07646991452696557,-0.3509020147050233,41,368,26,FEAR GAUGE
dax,Germany,435,98.9949494949495,101.58282828282829,-0.027908198806131327,-1.4654406349830646,47,378,10,FEAR GAUGE
cac40,France,433,99.06010101010102,101.59050505050506,-0.0654843384458179,-0.531203164556091,52,371,10,FEAR GAUGE
nikkei225,Japan,435,97.20808080808081,99.85757575757576,0.059039472166182536,-0.025255575589545637,10,190,235,BOTH TAILS
shanghai,China,345,96.9688888888889,99.09555555555556,-0.07855841842837266,-0.021182042401166997,9,28,308,BOTH TAILS
hangseng,Hong Kong,435,98.31717171717172,100.96666666666667,-0.13407311024897864,0.04767492415712002,18,360,57,BOTH TAILS
kospi,South Korea,352,99.0439393939394,101.98515151515151,-0.08072402916254813,0.19530148398069194,33,314,5,FEAR GAUGE
nifty50,India,223,96.62515151515152,98.84838383838384,0.922371822073288,-0.0007104490577445713,7,12,204,FEAR GAUGE
tsx,Canada,435,98.31717171717172,100.65858585858587,-0.14196804502045118,-0.013731394162516482,18,303,114,BOTH TAILS
asx200,Australia,401,98.31737373737374,100.96040404040404,-0.1853536507702698,0.02081734272014851,18,325,58,BOTH TAILS
bovespa,Brazil,396,100.84545454545454,102.78686868686869,-0.03929583644590195,0.0,316,80,0,FEAR GAUGE
eurostoxx50,Eurozone,229,99.0960606060606,101.5990909090909,-0.22303139038753672,-1.1777763857385812,22,197,10,FEAR GAUGE
ibex35,Spain,393,98.55040404040405,101.72888888888889,-0.13684625599603725,-1.1623610984816286,21,364,8,FEAR GAUGE
smi,Switzerland,425,99.29272727272728,101.77757575757576,-0.02720906278065542,-0.9137651815404401,87,330,8,FEAR GAUGE
sti,Singapore,435,99.05656565656567,101.95252525252525,-0.1584553313628199,-1.4970576608074897,51,378,6,FEAR GAUGE
twse,Taiwan,345,96.9688888888889,99.16,0.03002953399464209,0.00743733542679411,9,33,303,BOTH TAILS
jse,South Africa,170,98.0769696969697,100.10262626262626,-1.210332747502416,-0.0441497703290854,4,87,79,WEAK
aex,Netherlands,402,99.25515151515151,101.77636363636363,-0.03169505703963691,-0.6182269020933928,66,328,8,FEAR GAUGE
ipc,Mexico,413,99.3710101010101,101.68444444444445,-0.01461568478620657,-1.0599573707173238,96,308,9,FEAR GAUGE
jkse,Indonesia,432,99.11545454545455,101.15545454545455,-0.023701620585747304,0.030632901524455674,62,338,32,FEAR GAUGE
ta125,Israel,402,98.30969696969697,100.89393939393939,-0.08758151701236051,0.01618302832117395,18,314,70,BOTH TAILS
klci,Malaysia,388,99.13424242424242,101.5569696969697,-0.06824732589891071,-1.416698982264619,43,335,10,FEAR GAUGE
