market,country,T,c1,c1_pct,c2,c2_pct,n_mr,n_rw,n_ex,mr_pct,rw_pct,exp_pct,beta_mr,se_mr,beta_ex,se_ex,dotcom_exp_pct,gfc_mr_pct,verdict,p_value
ftse100,UK,422,-1.398,12.8,-0.817,24.2,54,48,320,0.128,0.1137,0.7583,0.0629,0.0291,-0.013,0.0061,1.0,0.1333,BOTH TAILS,0.1265
dax,Germany,422,-1.624,11.6,1.251,89.8,49,330,43,0.1161,0.782,0.1019,0.0545,0.0207,-0.0395,0.0228,0.5,0.1333,BOTH TAILS,0.1388
nikkei225,Japan,422,-1.877,10.2,1.069,82.2,43,304,75,0.1019,0.7204,0.1777,0.052,0.0219,-0.1131,0.0375,0.7167,0.1667,BOTH TAILS,0.9162
shanghai,China,332,-0.474,32.2,-0.111,42.5,107,34,191,0.3223,0.1024,0.5753,-0.0805,0.0293,0.0014,0.0134,0.975,0.6,BOTH TAILS,0.2098
kospi,South Korea,339,-1.958,10.0,1.364,89.4,34,269,36,0.1003,0.7935,0.1062,0.0934,0.0496,0.0568,0.0451,0.5957,0.1333,BOTH TAILS,0.8612
nifty50,India,210,-1.504,11.0,0.356,61.0,23,105,82,0.1095,0.5,0.3905,0.0425,0.0403,-0.0474,0.0161,,0.0,WEAK,0.8493
tsx,Canada,422,-1.383,12.8,1.302,89.8,54,325,43,0.128,0.7701,0.1019,0.0593,0.0246,-0.0217,0.0262,0.6,0.1333,BOTH TAILS,0.1179
bovespa,Brazil,383,0.28,47.0,1.123,83.6,180,140,63,0.47,0.3655,0.1645,-0.0294,0.0075,-0.033,0.0197,0.7,0.8667,BOTH TAILS,0.5489
eurostoxx50,Eurozone,216,-0.54,27.3,0.346,63.4,59,78,79,0.2731,0.3611,0.3657,0.0367,0.0291,-0.1502,0.0456,,0.25,FEAR GAUGE,0.4707
ibex35,Spain,380,-0.131,38.4,0.35,50.0,146,44,190,0.3842,0.1158,0.5,-0.0386,0.0231,-0.0141,0.0092,0.9,0.7667,BOTH TAILS,0.1491
sti,Singapore,422,-1.897,10.2,-0.956,21.1,43,46,333,0.1019,0.109,0.7891,0.0505,0.0392,-0.0177,0.0098,1.0,0.1667,BOTH TAILS,0.8983
twse,Taiwan,332,-1.907,10.2,0.308,50.0,34,132,166,0.1024,0.3976,0.5,0.0569,0.0291,-0.0355,0.0177,0.95,0.1333,BOTH TAILS,0.8395
jse,South Africa,157,0.528,54.1,0.842,67.5,85,21,51,0.5414,0.1338,0.3248,-0.0174,0.0189,-0.204,0.0706,,,WEAK,0.1454
aex,Netherlands,389,0.908,73.5,1.255,87.7,286,55,48,0.7352,0.1414,0.1234,-0.0079,0.0074,-0.0629,0.0211,0.4667,0.9667,BOTH TAILS,0.1444
ipc,Mexico,400,-1.554,12.2,-0.252,34.8,49,90,261,0.1225,0.225,0.6525,0.0749,0.0327,-0.0067,0.0037,0.9833,0.1,BOTH TAILS,0.1468
jkse,Indonesia,419,-1.853,10.3,1.302,90.0,43,334,42,0.1026,0.7971,0.1002,0.0403,0.0262,-0.076,0.0537,0.65,0.1667,BOTH TAILS,0.9831
ta125,Israel,389,-1.643,11.6,1.279,90.0,45,305,39,0.1157,0.7841,0.1003,0.0354,0.0206,-0.0559,0.022,0.5167,0.1667,BOTH TAILS,0.4389
klci,Malaysia,375,-1.99,10.1,1.318,89.1,38,296,41,0.1013,0.7893,0.1093,0.0504,0.0455,-0.1468,0.0719,0.6,0.1667,BOTH TAILS,0.9992
ftsemib,Italy,327,-1.767,10.1,-0.753,25.1,33,49,245,0.1009,0.1498,0.7492,0.0425,0.035,-0.0264,0.0111,1.0,0.0,EUPHORIA GAUGE,0.7035
nasdaq,USA (NASDAQ),422,-1.637,11.1,1.356,89.8,47,332,43,0.1114,0.7867,0.1019,0.0241,0.0132,-0.0865,0.0459,0.5667,0.1667,BOTH TAILS,0.7719
rut,USA (Small),422,-1.135,18.0,0.092,43.4,76,107,239,0.1801,0.2536,0.5664,0.0337,0.0167,-0.0077,0.0053,0.9833,0.2333,BOTH TAILS,0.2838
ipsa,Chile,196,-1.356,21.9,-0.483,32.1,43,20,133,0.2194,0.102,0.6786,-0.004,0.0307,-0.0263,0.0079,,0.4333,FEAR GAUGE,0.631
iseq,Ireland,332,-1.093,17.5,-0.064,42.8,58,84,190,0.1747,0.253,0.5723,-0.0027,0.0159,-0.047,0.0139,0.975,0.0,EUPHORIA GAUGE,0.7086
athex,Greece,331,-0.498,31.1,1.236,87.0,103,185,43,0.3112,0.5589,0.1299,-0.0645,0.0183,-0.0512,0.0213,0.575,0.5,BOTH TAILS,0.784
wilshire5000,USA (Total),422,-1.741,10.2,1.259,87.0,43,324,55,0.1019,0.7678,0.1303,0.04,0.0192,-0.0617,0.0221,0.6167,0.0667,BOTH TAILS,0.2335
bel20,Belgium,407,0.647,62.7,0.93,78.9,255,66,86,0.6265,0.1622,0.2113,-0.0117,0.0084,-0.0059,0.0145,0.65,0.8667,BOTH TAILS,0.061
atx,Austria,388,-1.744,10.1,-0.305,35.8,39,100,249,0.1005,0.2577,0.6418,0.0502,0.0504,0.0001,0.0063,0.9667,0.0333,EUPHORIA GAUGE,0.1365
set,Thailand,339,-1.809,11.2,1.332,88.2,38,261,40,0.1121,0.7699,0.118,0.083,0.0461,0.0076,0.0573,0.617,0.1333,BOTH TAILS,0.9526
psei,Philippines,422,0.419,52.6,1.156,86.0,222,141,59,0.5261,0.3341,0.1398,-0.0144,0.0066,-0.0886,0.0531,0.7333,0.8667,BOTH TAILS,0.9962
