components,n_comp,exog_pass,both_tails,avg_var_exp,avg_mr_pct,avg_rw_pct,avg_exp_pct,beta3_neg,score
CCI+YC+EPU,3,19,11,0.5442,0.2873,0.5693,0.1434,17,49
CCI+EPU,2,18,10,0.7901,0.2602,0.4878,0.2521,18,46
YC+EPU,2,21,2,0.5382,0.2945,0.4558,0.2496,9,44
VIX+EPU,2,18,5,0.675,0.0995,0.4151,0.4854,16,41
VIX+YC+EPU,3,16,1,0.4647,0.0469,0.4775,0.4756,15,33
CCI+VIX+EPU,3,13,2,0.6044,0.1223,0.5482,0.3295,12,28
CCI+VIX+YC+EPU,4,13,2,0.4648,0.0936,0.5888,0.3176,10,28
ANFCI+YC+EPU,3,10,8,0.3861,0.1615,0.503,0.3355,8,28
CCI+BCI+EPU,3,10,6,0.6038,0.4054,0.2386,0.356,8,26
CCI+ANFCI+YC+EPU,4,10,6,0.4288,0.189,0.6431,0.1678,6,26
VIX+YC,2,10,4,0.5555,0.0688,0.573,0.3582,6,24
CCI+BCI+YC+EPU,4,9,6,0.4666,0.3006,0.3124,0.3871,8,24
CCI+ANFCI+EPU,3,9,5,0.5544,0.1661,0.6345,0.1995,7,23
BCI+EPU,2,9,4,0.6179,0.3217,0.3375,0.3408,9,22
BCI+YC+EPU,3,9,2,0.4339,0.234,0.2794,0.4867,9,20
CCI+VIX+YC,3,7,5,0.4526,0.1076,0.3764,0.516,5,19
ANFCI+EPU,2,8,2,0.5359,0.183,0.682,0.135,6,18
CCI+VIX+BCI+YC+EPU,5,6,5,0.4322,0.2378,0.3605,0.4017,6,17
CCI+VIX+BCI+EPU,4,6,4,0.5281,0.2323,0.3724,0.3953,5,16
VIX+BCI+YC+EPU,4,6,3,0.4303,0.2674,0.4299,0.3027,5,15
VIX+BCI+EPU,3,6,2,0.5587,0.1943,0.5162,0.2895,5,14
CCI+VIX+ANFCI+EPU,4,5,3,0.514,0.1367,0.5701,0.2932,5,13
CCI+VIX+ANFCI+YC+EPU,5,5,3,0.4193,0.1647,0.6802,0.1551,4,13
CCI+VIX,2,5,2,0.6268,0.2322,0.3504,0.4174,3,12
VIX+ANFCI+EPU,3,5,2,0.5728,0.1025,0.4864,0.4111,5,12
VIX+BCI,2,4,3,0.7076,0.1567,0.1954,0.6479,3,11
CCI+BCI+ANFCI+EPU,4,4,3,0.4939,0.2643,0.2568,0.4789,4,11
CCI+BCI+ANFCI+YC+EPU,5,4,3,0.4051,0.3179,0.5286,0.1535,4,11
VIX+ANFCI+YC+EPU,4,4,2,0.4387,0.1586,0.2287,0.6127,3,10
VIX+BCI+ANFCI+EPU,4,3,2,0.5186,0.1546,0.3736,0.4718,3,8
BCI+ANFCI+EPU,3,3,2,0.4933,0.3498,0.2738,0.3765,3,8
CCI+VIX+BCI+YC,4,3,2,0.442,0.2515,0.2699,0.4786,3,8
VIX+BCI+ANFCI+YC+EPU,5,3,2,0.4222,0.1871,0.1941,0.6189,2,8
BCI+ANFCI+YC+EPU,4,3,2,0.3822,0.284,0.6206,0.0954,3,8
CCI+VIX+BCI,3,3,1,0.5668,0.2276,0.7243,0.0481,3,7
VIX+BCI+YC,3,3,1,0.4923,0.2114,0.7431,0.0455,2,7
CCI+VIX+BCI+ANFCI+EPU,5,3,1,0.4828,0.2347,0.6135,0.1517,3,7
CCI+VIX+BCI+ANFCI+YC+EPU,6,3,1,0.4092,0.2531,0.6254,0.1215,3,7
VIX+BCI+ANFCI+YC,4,2,1,0.4955,0.2315,0.6859,0.0826,2,5
CCI+VIX+ANFCI+YC,4,2,1,0.4556,0.3013,0.4415,0.2572,2,5
CCI+VIX+BCI+ANFCI+YC,5,2,1,0.4421,0.3873,0.4277,0.185,2,5
VIX+ANFCI,2,2,0,0.7989,0.1539,0.3946,0.4515,1,4
VIX+BCI+ANFCI,3,2,0,0.6469,0.1522,0.8183,0.0295,1,4
VIX+ANFCI+YC,3,2,0,0.547,0.1578,0.3724,0.4698,1,4
CCI+VIX+BCI+ANFCI,4,2,0,0.5415,0.5082,0.3134,0.1783,1,4
CCI+YC,2,1,1,0.5824,0.6168,0.3096,0.0736,1,3
BCI+YC,2,1,1,0.556,0.0668,0.072,0.8612,1,3
CCI+VIX+ANFCI,3,1,0,0.5927,0.0255,0.4968,0.4777,1,2
BCI+ANFCI,2,0,0,0.6918,,,,0,0
CCI+BCI,2,0,0,0.6849,,,,0,0
CCI+ANFCI,2,0,0,0.6315,,,,0,0
CCI+BCI+ANFCI,3,0,0,0.5611,,,,0,0
ANFCI+YC,2,0,0,0.5451,,,,0,0
CCI+BCI+YC,3,0,0,0.4849,,,,0,0
BCI+ANFCI+YC,3,0,0,0.4776,,,,0,0
CCI+ANFCI+YC,3,0,0,0.4435,,,,0,0
CCI+BCI+ANFCI+YC,4,0,0,0.4345,,,,0,0
