market,country,orth_cci,orth_vix,orth_bci,max_orth,granger_bic,test_lag,F,p_value,verdict,robust,var_exp,p_buf2,v_buf2,p_buf4,v_buf4,p_buf6,v_buf6,p_buf8,v_buf8
sp500,USA,5,12,12,12,1,16,6.25,0.0,FAIL,True,0.5147,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
ftse100,UK,5,12,12,12,1,16,6.484,0.0,FAIL,True,0.5271,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
dax,Germany,6,12,12,12,1,16,7.206,0.0,FAIL,True,0.5297,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
cac40,France,11,10,12,12,1,16,8.536,0.0,FAIL,True,0.5027,,FAIL,,FAIL,0.0,FAIL,0.0,FAIL
nikkei225,Japan,1,12,12,12,1,16,6.532,0.0,FAIL,True,0.5783,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
shanghai,China,9,12,12,12,1,16,2.412,0.0021,FAIL,True,0.5956,0.0004,FAIL,0.0021,FAIL,0.002,FAIL,0.0071,FAIL
hangseng,Hong Kong,6,12,12,12,1,16,4.415,0.0,FAIL,True,0.5503,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
kospi,South Korea,1,12,12,12,1,16,2.708,0.0005,FAIL,True,0.6233,0.0002,FAIL,0.0005,FAIL,0.0013,FAIL,0.0026,FAIL
nifty50,India,10,12,12,12,1,16,3.138,0.0001,FAIL,True,0.6204,0.0,FAIL,0.0001,FAIL,0.0003,FAIL,0.0007,FAIL
tsx,Canada,6,12,12,12,1,16,8.051,0.0,FAIL,True,0.5233,,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
asx200,Australia,12,12,12,12,1,16,10.18,0.0,FAIL,True,0.486,,FAIL,,FAIL,,FAIL,,FAIL
bovespa,Brazil,1,12,12,12,1,16,1.542,0.0833,PASS,True,0.5926,0.0541,PASS,0.0833,PASS,0.1695,PASS,0.2518,PASS
eurostoxx50,Eurozone,7,12,12,12,1,16,5.179,0.0,FAIL,True,0.6123,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
ibex35,Spain,10,12,12,12,1,16,4.407,0.0,FAIL,True,0.5691,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
smi,Switzerland,7,12,12,12,1,16,6.982,0.0,FAIL,True,0.5385,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
sti,Singapore,1,12,12,12,1,16,4.817,0.0,FAIL,True,0.5662,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
twse,Taiwan,1,12,12,12,1,16,3.465,0.0,FAIL,True,0.6264,0.0,FAIL,0.0,FAIL,0.0002,FAIL,0.0003,FAIL
jse,South Africa,1,12,1,12,1,16,0.402,0.9795,PASS,True,0.6225,0.9991,PASS,0.9795,PASS,0.9523,PASS,0.9818,PASS
aex,Netherlands,10,12,12,12,1,16,5.681,0.0,FAIL,True,0.5131,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
ipc,Mexico,10,12,12,12,1,16,4.402,0.0,FAIL,True,0.5518,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
jkse,Indonesia,1,12,12,12,1,16,5.068,0.0,FAIL,True,0.5867,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
ta125,Israel,1,12,12,12,1,16,4.342,0.0,FAIL,True,0.5869,0.0,FAIL,0.0,FAIL,0.0,FAIL,0.0,FAIL
klci,Malaysia,1,12,12,12,1,16,0.985,0.473,PASS,True,0.6188,0.2867,PASS,0.473,PASS,0.394,PASS,0.5585,PASS
