market,country,T,c1,c2,beta_mr,beta_ex,se_mr,se_ex,tstat_mr,tstat_ex,n_mr,n_rw,n_ex,verdict
sp500,USA,428,5.465100671140938,7.7379865771812035,-0.00164638153429257,-0.08294902724865576,0.0027417400010144063,0.04121872232491574,-0.6004878411823993,-2.012411413308535,336,42,50,BOTH TAILS DEGENERATE
ftse100,UK,428,10.455771812080535,14.555637583892619,-0.01678633793393059,-0.19986106839732404,0.0064248726883522345,0.07036461950609765,-2.612711371598513,-2.840363094410032,390,16,22,FEAR GAUGE DEGENERATE
dax,Germany,428,-6.886241610738253,9.357516778523493,0.01736206821659394,0.051499804021106356,0.013221883136624838,0.02861248353711974,1.3131312716341228,1.7999068118045147,112,272,44,BOTH TAILS
nikkei225,Japan,428,-27.7,15.699999999999996,-0.24399692791910332,-0.2807824542910258,0.07743541423027722,0.06945049656688634,-3.150973367218078,-4.042914999471746,23,357,48,WEAK
shanghai,China,338,-7.51107382550336,24.327516778523485,-0.09020029551353509,-1.1611205321974574,0.0551976991453804,0.3522571405373253,-1.63413143863052,-3.2962299371030763,48,287,3,WEAK
hangseng,Hong Kong,428,10.98946308724831,14.651208053691263,-0.01995820187614755,-0.08306555636278913,0.008037734945090117,0.034150103391553374,-2.483062953990427,-2.432366175012355,272,18,138,FEAR GAUGE DEGENERATE
nifty50,India,216,14.614697986577177,17.400067114093957,-0.0026570683577473954,-0.17018575738730812,0.006762096020446189,0.11650019533321299,-0.39293561489120526,-1.4608195024956319,196,5,15,FEAR GAUGE DEGENERATE
tsx,Canada,428,-0.21040268456376054,7.805637583892615,-0.006122430688652302,0.006278885166444379,0.005755718171704414,0.004360451743664966,-1.0637127298467595,1.4399620808937028,169,138,121,WEAK
asx200,Australia,394,10.445436241610736,12.655503355704703,-0.0074710904834350755,-0.09194976276441771,0.004576790967633915,0.04790249296768465,-1.6323862147668589,-1.9195193625193505,349,7,38,BOTH TAILS DEGENERATE
bovespa,Brazil,234,5.248791946308726,7.786241610738259,-0.03376553653631259,-0.23089647422972373,0.013758731530443099,0.09771394710977872,-2.454116970129235,-2.3629838017936007,141,59,34,FEAR GAUGE DEGENERATE
ibex35,Spain,386,-44.39637583892617,-39.32255033557046,-0.14540474474982648,-0.017663610023565396,0.06668463354034175,0.008452101499350115,-2.1804835241669576,-2.089848308722222,60,6,320,EUPHORIA GAUGE DEGENERATE
sti,Singapore,428,-17.839127516778518,-15.146510067114093,-0.04367825479550227,-0.030705966254172826,0.03406918362260941,0.010788351887142762,-1.282045830018538,-2.8462147485907727,61,29,338,EUPHORIA GAUGE DEGENERATE
jse,South Africa,163,-6.5211409395973154,-3.595436241610738,-0.24862214987295922,-0.11357251771524941,0.11829943371537965,0.038613803653359945,-2.1016343194940994,-2.9412413947820704,34,67,62,WEAK
aex,Netherlands,395,-14.983154362416116,-11.929194630872487,-0.015184728995666285,-0.020909029110983624,0.023040704967832795,0.007897529054553024,-0.6590392532201482,-2.6475406379074107,88,13,294,EUPHORIA GAUGE DEGENERATE
ipc,Mexico,406,-9.550268456375838,10.556577181208059,-0.32632874192065964,-0.18904191127738426,0.10378483825914463,0.08275897086065907,-3.144281451842089,-2.2842467627548597,37,335,34,WEAK
ta125,Israel,297,-2.047986577181206,-1.1145637583892594,-0.02800046496466311,0.015278689565695242,0.009984220654137283,0.007614702566603079,-2.8044717694675763,2.00647227282458,209,12,76,BOTH TAILS DEGENERATE
klci,Malaysia,381,20.837852348993295,35.26892617449664,-0.02251089244153241,-0.1106883389929169,0.007526360819282506,0.4550118418712459,-2.990939842248806,-0.24326474347944166,361,16,4,FEAR GAUGE DEGENERATE
