market,country,T,rev_F,rev_p,gate,fwd_F,fwd_p,predictive
sp500,USA,202,1.432,0.225,PASS,1.046,0.3847,no
ftse100,UK,166,1.763,0.1391,PASS,0.934,0.4462,no
dax,Germany,150,2.203,0.0718,PASS,2.171,0.0755,no
cac40,France,141,3.145,0.0167,FAIL,0.285,0.887,no
nikkei225,Japan,202,0.713,0.5841,PASS,0.789,0.5339,no
shanghai,China,112,1.92,0.113,PASS,0.522,0.72,no
hangseng,Hong Kong,147,0.628,0.6432,PASS,2.288,0.0632,no
kospi,South Korea,114,6.373,0.0001,FAIL,3.676,0.0078,YES
nifty50,India,71,0.257,0.9041,PASS,0.138,0.9675,no
tsx,Canada,184,1.543,0.1919,PASS,0.836,0.5041,no
asx200,Australia,131,2.142,0.0798,PASS,1.556,0.1906,no
bovespa,Brazil,78,0.441,0.7784,PASS,1.716,0.1571,no
ibex35,Spain,128,1.003,0.4091,PASS,2.895,0.0252,YES
smi,Switzerland,139,2.799,0.0288,FAIL,0.92,0.4543,no
sti,Singapore,150,2.114,0.0823,PASS,1.322,0.265,no
jse,South Africa,54,2.417,0.064,PASS,1.4,0.251,no
aex,Netherlands,131,1.185,0.321,PASS,1.533,0.197,no
ipc,Mexico,135,2.052,0.0913,PASS,0.551,0.6988,no
jkse,Indonesia,141,6.794,0.0001,FAIL,8.363,0.0,YES
ta125,Israel,99,1.157,0.3355,PASS,1.129,0.3484,no
klci,Malaysia,126,1.166,0.3296,PASS,2.678,0.0353,YES
