market,country,T,c1,c2,pct_mr,pct_rw,pct_exp,gate,note
sp500,USA,428,0.866,1.617,72.0,18.5,9.6,PASS,DEGENERATE
ftse100,UK,428,0.816,1.104,93.0,1.6,5.4,FAIL,DEGENERATE
dax,Germany,428,2.294,2.958,93.0,2.1,4.9,FAIL,DEGENERATE
nikkei225,Japan,428,0.335,1.364,55.4,33.6,11.0,PASS,DEGENERATE
shanghai,China,327,-1.667,-1.347,8.6,13.5,78.0,PASS,DEGENERATE
hangseng,Hong Kong,411,-1.127,-0.743,14.4,13.4,72.3,PASS,DEGENERATE
nifty50,India,216,1.66,2.02,90.7,0.5,8.8,PASS,DEGENERATE
tsx,Canada,428,-0.373,1.012,39.5,33.2,27.3,PASS,
asx200,Australia,394,-2.481,-1.404,5.8,33.0,61.2,PASS,DEGENERATE
bovespa,Brazil,204,0.76,2.429,59.3,39.2,1.5,PASS,DEGENERATE
ibex35,Spain,386,2.471,3.296,88.1,6.5,5.4,PASS,DEGENERATE
sti,Singapore,428,-1.131,-0.826,18.2,6.1,75.7,FAIL,DEGENERATE
jse,South Africa,163,-1.492,-0.759,20.9,73.0,6.1,PASS,
aex,Netherlands,395,-1.81,-1.415,29.4,3.5,67.1,FAIL,DEGENERATE
ipc,Mexico,387,0.783,1.137,88.6,9.6,1.8,PASS,DEGENERATE
ta125,Israel,267,0.691,1.317,80.5,16.5,3.0,PASS,DEGENERATE
klci,Malaysia,381,1.333,3.096,93.2,5.0,1.8,PASS,DEGENERATE
