,SP500_CCI_A,SP500_CCI_B,FTSE100_CCI_A,FTSE100_CCI_B,DAX_CCI_A,DAX_CCI_B,CAC40_CCI_A,CAC40_CCI_B,NIKKEI225_CCI_A,NIKKEI225_CCI_B,TSX_CCI_A,TSX_CCI_B,ASX200_CCI_A,ASX200_CCI_B,IBEX35_CCI_A,IBEX35_CCI_B,SMI_CCI_A,SMI_CCI_B,AEX_CCI_A,AEX_CCI_B
2023-02,RW,RW,MR,MR,RW,MR,MR,MR,RW,RW,N/A,N/A,MR,MR,RW,RW,MR,MR,RW,MR
2023-03,RW,RW,MR,MR,RW,MR,MR,MR,RW,RW,N/A,N/A,MR,MR,RW,RW,MR,MR,RW,MR
2023-04,RW,RW,RW,MR,RW,RW,MR,MR,RW,RW,N/A,N/A,MR,MR,RW,RW,MR,MR,RW,MR
2023-05,RW,RW,RW,RW,RW,RW,MR,MR,RW,RW,N/A,N/A,MR,MR,RW,RW,MR,MR,RW,MR
2023-06,RW,RW,RW,RW,RW,RW,MR,MR,RW,RW,N/A,N/A,MR,MR,RW,RW,MR,MR,RW,MR
2023-07,RW,RW,RW,RW,RW,RW,MR,MR,RW,RW,N/A,N/A,MR,MR,RW,RW,MR,MR,RW,MR
2023-08,RW,RW,RW,RW,RW,RW,MR,MR,RW,RW,N/A,N/A,MR,MR,RW,RW,MR,MR,RW,MR
2023-09,RW,RW,RW,RW,RW,RW,MR,MR,RW,RW,N/A,N/A,MR,MR,RW,RW,MR,MR,RW,MR
2023-10,RW,RW,RW,RW,RW,MR,MR,MR,RW,RW,N/A,N/A,MR,MR,RW,RW,MR,MR,RW,MR
2023-11,RW,RW,RW,RW,RW,MR,MR,MR,RW,RW,N/A,N/A,MR,MR,RW,RW,MR,MR,RW,MR
2023-12,RW,RW,RW,RW,RW,MR,MR,MR,RW,RW,N/A,N/A,MR,MR,RW,RW,N/A,N/A,RW,MR
2024-01,RW,RW,RW,RW,RW,MR,MR,RW,RW,RW,N/A,N/A,MR,MR,RW,RW,N/A,N/A,RW,MR
