market,country,T,c1,c2,beta_mr,beta_ex,n_mr,n_rw,n_ex,verdict
sp500,USA,404,35.24973154362416,36.292684563758385,-0.0029357008658274556,-0.0026640602422528157,359,3,42,BOTH TAILS
ftse100,UK,404,36.03194630872483,41.50744966442953,-0.012545295835457966,-1.0418418393038313,362,26,16,BOTH TAILS
dax,Germany,404,15.172885906040268,16.47657718120805,-0.05176167235625512,-0.0064966063568899024,4,11,389,BOTH TAILS
cac40,France,402,26.17510067114094,27.2148322147651,-0.024232232946800207,-0.046107657981574554,210,38,154,BOTH TAILS
nikkei225,Japan,404,15.172885906040268,16.998053691275167,0.15081528044791723,-0.009896120683590384,4,15,385,BOTH TAILS
shanghai,China,314,25.89818791946309,27.417114093959732,-0.07134300710006182,-0.018201917382416617,120,54,140,BOTH TAILS
hangseng,Hong Kong,404,35.24973154362416,42.02892617449665,-0.018610238958781368,-0.38263741138439333,359,32,13,BOTH TAILS
kospi,South Korea,321,38.97335570469798,40.47657718120805,-0.01116516129555144,-0.2915711557244961,299,2,20,BOTH TAILS
nifty50,India,192,16.1206711409396,24.83798657718121,0.922371822073288,-0.025970386911399235,7,70,115,FEAR GAUGE
tsx,Canada,404,35.24973154362416,36.292684563758385,-0.004858204141693152,-0.0076400802580243125,359,3,42,BOTH TAILS
asx200,Australia,370,16.488389261744963,18.97496644295302,-0.5748993430109703,-0.010513601678139405,9,3,358,BOTH TAILS
bovespa,Brazil,365,22.063959731543626,38.94073825503356,-0.05595730461871712,-0.18868997362120843,75,268,22,BOTH TAILS
eurostoxx50,Eurozone,198,24.883489932885908,32.4241610738255,-0.16393082711669893,-0.35697927819451175,79,99,20,FEAR GAUGE
ibex35,Spain,362,16.42758389261745,27.583959731543622,-0.6136446972178177,-0.11047243369452815,9,206,147,BOTH TAILS
smi,Switzerland,394,24.58865771812081,25.612818791946314,-0.02010696659755109,-0.03570400175469457,144,28,222,BOTH TAILS
sti,Singapore,404,35.24973154362416,42.02892617449665,-0.024743618869256585,-0.5848045974371966,359,32,13,BOTH TAILS
twse,Taiwan,314,15.01255033557047,40.58114093959732,0.3009467621542387,-0.3216246326039456,3,293,18,BOTH TAILS
jse,South Africa,139,30.15711409395973,32.199530201342284,-0.029042924590771763,-0.1658346528783064,95,23,21,WEAK
aex,Netherlands,371,16.45671140939597,26.911610738255035,-0.6360690818752146,-0.0658457048804013,9,201,161,BOTH TAILS
ipc,Mexico,382,35.214899328859055,36.21919463087248,-0.00693541740160472,-0.004439475660720531,337,3,42,BOTH TAILS
jkse,Indonesia,401,15.814496644295302,42.02704697986577,0.15687865502830822,-0.4993606838465456,10,378,13,BOTH TAILS
ta125,Israel,371,38.86006711409396,39.85577181208053,-0.0035961183573334815,-0.09287673065337994,349,1,21,BOTH TAILS
klci,Malaysia,357,35.3510067114094,42.03758389261745,-0.02101612863601738,-0.48084794623929533,313,31,13,BOTH TAILS
